params,mean,std
"{'gmm__n_components': 40, 'pca__n_components': 500}",0.6368369399195407,0.10739139688858447
"{'gmm__n_components': 31, 'pca__n_components': 400}",0.6365883919602241,0.1086827135158345
"{'gmm__n_components': 40, 'pca__n_components': 400}",0.6355125103355026,0.11464842584219233
"{'gmm__n_components': 30, 'pca__n_components': 500}",0.6347107639459165,0.09766639995921986
"{'gmm__n_components': 29, 'pca__n_components': 400}",0.6334921530628561,0.10660382184233273
"{'gmm__n_components': 32, 'pca__n_components': 500}",0.6324270211425566,0.09896194652128203
"{'gmm__n_components': 31, 'pca__n_components': 500}",0.6313920304448667,0.09950746774554264
"{'gmm__n_components': 40, 'pca__n_components': 450}",0.6311153903756138,0.10694530183737393
"{'gmm__n_components': 30, 'pca__n_components': 450}",0.6293686534875655,0.09914506030619824
"{'gmm__n_components': 35, 'pca__n_components': 350}",0.6290235664118423,0.11091900739547268
"{'gmm__n_components': 29, 'pca__n_components': 450}",0.6287674359331273,0.10050480154766367
"{'gmm__n_components': 35, 'pca__n_components': 150}",0.6284403347520509,0.12030506075589623
"{'gmm__n_components': 40, 'pca__n_components': 350}",0.6280655266365145,0.10825032774582434
"{'gmm__n_components': 30, 'pca__n_components': 350}",0.6280414013508565,0.10848671119200959
"{'gmm__n_components': 35, 'pca__n_components': 400}",0.6271595606949977,0.1095920517814934
"{'gmm__n_components': 35, 'pca__n_components': 450}",0.6262913659330662,0.10259765194073911
"{'gmm__n_components': 35, 'pca__n_components': 500}",0.6255643345908297,0.09832437047755119
"{'gmm__n_components': 32, 'pca__n_components': 450}",0.6255061084005739,0.10144144154160788
"{'gmm__n_components': 31, 'pca__n_components': 450}",0.6243893859125502,0.09643661076889622
"{'gmm__n_components': 40, 'pca__n_components': 150}",0.6242135292861233,0.11938285645385635
"{'gmm__n_components': 31, 'pca__n_components': 350}",0.6233342102402444,0.10875238047309228
"{'gmm__n_components': 31, 'pca__n_components': 200}",0.6232620830861806,0.12033033206242644
"{'gmm__n_components': 30, 'pca__n_components': 200}",0.6226731151539928,0.11502682788464763
