params,mean,std
"{'gmm__n_components': 10, 'pca__n_components': 450}",0.6390010865310151,0.12467502190267402
"{'gmm__n_components': 10, 'pca__n_components': 400}",0.6379247521039965,0.12339808802978704
"{'gmm__n_components': 9, 'pca__n_components': 450}",0.6361279058975745,0.12238954890293302
"{'gmm__n_components': 9, 'pca__n_components': 500}",0.6360247877153077,0.1247059305530583
"{'gmm__n_components': 9, 'pca__n_components': 400}",0.634446571824528,0.12548429854417353
"{'gmm__n_components': 10, 'pca__n_components': 500}",0.634329413442741,0.12020894848195919
"{'gmm__n_components': 8, 'pca__n_components': 450}",0.6319958203589622,0.12323153130638212
"{'gmm__n_components': 9, 'pca__n_components': 4}",0.6319857426873365,0.08748200662341636
"{'gmm__n_components': 10, 'pca__n_components': 4}",0.6312875535874511,0.08831317168910391
"{'gmm__n_components': 8, 'pca__n_components': 4}",0.6309584890170652,0.08825154088606407
"{'gmm__n_components': 8, 'pca__n_components': 500}",0.6309525202583373,0.12227127449911802
"{'gmm__n_components': 8, 'pca__n_components': 400}",0.6296678710857136,0.12247905724424721
"{'gmm__n_components': 6, 'pca__n_components': 4}",0.6291479562711566,0.08832483174653476
"{'gmm__n_components': 5, 'pca__n_components': 4}",0.6282316529103746,0.08898553663845024
"{'gmm__n_components': 7, 'pca__n_components': 4}",0.6278873005692097,0.08985285611101136
"{'gmm__n_components': 6, 'pca__n_components': 500}",0.627275879965788,0.12376019438254166
"{'gmm__n_components': 4, 'pca__n_components': 4}",0.6272568132081916,0.08734723117847154
"{'gmm__n_components': 7, 'pca__n_components': 450}",0.626619479313827,0.11995570676772646
"{'gmm__n_components': 7, 'pca__n_components': 500}",0.6258708002771294,0.12011201499710113
"{'gmm__n_components': 6, 'pca__n_components': 450}",0.6247208670784904,0.12283597416600578
"{'gmm__n_components': 7, 'pca__n_components': 400}",0.624085169854254,0.11934508990155317
"{'gmm__n_components': 6, 'pca__n_components': 400}",0.6233977365561968,0.12198820100496466
"{'gmm__n_components': 5, 'pca__n_components': 450}",0.6228567597367266,0.12406392887814016
"{'gmm__n_components': 3, 'pca__n_components': 4}",0.6225386260319467,0.08564741942980594
"{'gmm__n_components': 5, 'pca__n_components': 400}",0.6212068021683699,0.12425901489235519
"{'gmm__n_components': 5, 'pca__n_components': 500}",0.6207187748482708,0.12799080209858182
"{'gmm__n_components': 4, 'pca__n_components': 450}",0.6170519926759963,0.123740432441893
"{'gmm__n_components': 4, 'pca__n_components': 500}",0.6144197139764301,0.1276311307429039
"{'gmm__n_components': 4, 'pca__n_components': 400}",0.6123509379719343,0.12856694977219707
"{'gmm__n_components': 10, 'pca__n_components': 350}",0.6105910788156483,0.11526387634298459
"{'gmm__n_components': 2, 'pca__n_components': 4}",0.6094103844515599,0.0814088014090608
"{'gmm__n_components': 3, 'pca__n_components': 450}",0.6093013844071961,0.13264993234432046
"{'gmm__n_components': 3, 'pca__n_components': 500}",0.6084580056451131,0.1348089431813942
"{'gmm__n_components': 3, 'pca__n_components': 400}",0.6080135019461047,0.13266680833255967
"{'gmm__n_components': 9, 'pca__n_components': 350}",0.6075076445883677,0.11715721562359437
"{'gmm__n_components': 10, 'pca__n_components': 300}",0.6072702900720953,0.11482113782857266
"{'gmm__n_components': 9, 'pca__n_components': 300}",0.6070766660045742,0.11705712724048796
"{'gmm__n_components': 10, 'pca__n_components': 250}",0.6065488491002898,0.11120330405990285
"{'gmm__n_components': 8, 'pca__n_components': 350}",0.6058899623318282,0.11820908092682798
"{'gmm__n_components': 10, 'pca__n_components': 200}",0.6045080549260125,0.10938672105450188
"{'gmm__n_components': 9, 'pca__n_components': 250}",0.6030329657020821,0.11103971245794919
"{'gmm__n_components': 8, 'pca__n_components': 300}",0.6021052621410354,0.1150332169795593
"{'gmm__n_components': 7, 'pca__n_components': 350}",0.6013594403548144,0.11593023813248689
"{'gmm__n_components': 9, 'pca__n_components': 200}",0.6012181638169578,0.10830224214556294
"{'gmm__n_components': 8, 'pca__n_components': 200}",0.5997557044518047,0.10867130618155019
"{'gmm__n_components': 2, 'pca__n_components': 450}",0.5994579886666859,0.1337494431445183
"{'gmm__n_components': 2, 'pca__n_components': 500}",0.5992927685532309,0.1356906743429327
"{'gmm__n_components': 8, 'pca__n_components': 250}",0.598789775887083,0.11187184368432809
"{'gmm__n_components': 7, 'pca__n_components': 250}",0.598673099684393,0.11076399040092154
"{'gmm__n_components': 2, 'pca__n_components': 400}",0.5980026270956375,0.13190347725158783
"{'gmm__n_components': 7, 'pca__n_components': 300}",0.5974994938749046,0.11400960706804422
"{'gmm__n_components': 6, 'pca__n_components': 350}",0.5959088034987112,0.11641112982054688
"{'gmm__n_components': 7, 'pca__n_components': 200}",0.5937814837975801,0.10665414478269358
"{'gmm__n_components': 6, 'pca__n_components': 250}",0.5937142425054323,0.11232662152135815
"{'gmm__n_components': 6, 'pca__n_components': 300}",0.5923230015383237,0.11579272103325954
"{'gmm__n_components': 10, 'pca__n_components': 150}",0.5905726773914571,0.11115009148364616
"{'gmm__n_components': 5, 'pca__n_components': 350}",0.5901190656663018,0.12101834452130769
"{'gmm__n_components': 5, 'pca__n_components': 300}",0.5898404706325548,0.11702885021335352
"{'gmm__n_components': 9, 'pca__n_components': 150}",0.5890435015048565,0.11111457038176771
"{'gmm__n_components': 6, 'pca__n_components': 200}",0.5867808118733381,0.10790736162192718
"{'gmm__n_components': 8, 'pca__n_components': 150}",0.5862546556166185,0.11088650065226427
"{'gmm__n_components': 5, 'pca__n_components': 250}",0.5856522867124144,0.1165301291830119
"{'gmm__n_components': 10, 'pca__n_components': 10}",0.5851496264996628,0.09126402994231639
"{'gmm__n_components': 9, 'pca__n_components': 10}",0.583820557773588,0.08922067945095077
"{'gmm__n_components': 7, 'pca__n_components': 150}",0.5827286284612978,0.1101355975569696
"{'gmm__n_components': 4, 'pca__n_components': 300}",0.5827163172898253,0.12029030124309197
"{'gmm__n_components': 4, 'pca__n_components': 350}",0.5818966592280499,0.12383476129918641
"{'gmm__n_components': 7, 'pca__n_components': 10}",0.5817471616884479,0.08896848793110604
"{'gmm__n_components': 8, 'pca__n_components': 10}",0.5811984005165788,0.08950536528325848
"{'gmm__n_components': 5, 'pca__n_components': 200}",0.5808357737594303,0.1079273993039841
"{'gmm__n_components': 6, 'pca__n_components': 10}",0.5803293252786965,0.08860490374464527
"{'gmm__n_components': 4, 'pca__n_components': 250}",0.5793662424457713,0.1181043878512199
"{'gmm__n_components': 10, 'pca__n_components': 100}",0.5785570734560022,0.10667183838993159
"{'gmm__n_components': 6, 'pca__n_components': 150}",0.578406621604653,0.11191063620509517
"{'gmm__n_components': 3, 'pca__n_components': 350}",0.5777334180454572,0.12659135895669457
"{'gmm__n_components': 5, 'pca__n_components': 10}",0.5773182272612307,0.08812692656998586
"{'gmm__n_components': 4, 'pca__n_components': 10}",0.5762420661882243,0.08748505956459066
"{'gmm__n_components': 9, 'pca__n_components': 100}",0.575888904982562,0.10656809951890651
"{'gmm__n_components': 3, 'pca__n_components': 10}",0.5754350133372229,0.08750869343481618
"{'gmm__n_components': 4, 'pca__n_components': 200}",0.5750346401326536,0.1128574780963527
"{'gmm__n_components': 3, 'pca__n_components': 300}",0.573277516243761,0.11917319628693054
"{'gmm__n_components': 5, 'pca__n_components': 150}",0.5731719001682543,0.11385419008743414
"{'gmm__n_components': 8, 'pca__n_components': 100}",0.5727638827568714,0.1074059585828883
"{'gmm__n_components': 3, 'pca__n_components': 200}",0.5714887614524541,0.11447086284261167
"{'gmm__n_components': 7, 'pca__n_components': 100}",0.5708104575811427,0.10747490077549637
"{'gmm__n_components': 2, 'pca__n_components': 10}",0.5706270302230518,0.08472952322634378
"{'gmm__n_components': 3, 'pca__n_components': 250}",0.5681824173142589,0.11704488091479925
"{'gmm__n_components': 6, 'pca__n_components': 100}",0.56772416651766,0.1087058836232219
"{'gmm__n_components': 4, 'pca__n_components': 150}",0.567681193932296,0.11484631783445773
"{'gmm__n_components': 3, 'pca__n_components': 150}",0.5635655894628069,0.11541445227351795
"{'gmm__n_components': 5, 'pca__n_components': 100}",0.5620485253308146,0.11074021516192883
"{'gmm__n_components': 2, 'pca__n_components': 350}",0.5619591439921057,0.12350868470215434
"{'gmm__n_components': 2, 'pca__n_components': 300}",0.5615399982325832,0.12506057254805486
"{'gmm__n_components': 2, 'pca__n_components': 250}",0.5605890146876262,0.12352191021008335
