params,mean,std
"{'gmm__n_components': 32, 'pca__n_components': 500}",0.6470290886973985,0.1191296383168108
"{'gmm__n_components': 32, 'pca__n_components': 400}",0.6443659824566896,0.1226504885816695
"{'gmm__n_components': 35, 'pca__n_components': 400}",0.6438872255414706,0.1235351425595425
"{'gmm__n_components': 40, 'pca__n_components': 450}",0.6434572097422832,0.1201980242011525
"{'gmm__n_components': 35, 'pca__n_components': 450}",0.6432477436303767,0.1292458281125919
"{'gmm__n_components': 30, 'pca__n_components': 450}",0.6430111968166723,0.1214851325306751
"{'gmm__n_components': 31, 'pca__n_components': 450}",0.642999620068654,0.1224196774885378
"{'gmm__n_components': 11, 'pca__n_components': 450}",0.6416535124101045,0.1237350573926865
"{'gmm__n_components': 32, 'pca__n_components': 450}",0.6415004967996294,0.1180214206339457
"{'gmm__n_components': 25, 'pca__n_components': 500}",0.6412174254783964,0.1159347714865397
"{'gmm__n_components': 12, 'pca__n_components': 500}",0.6409139317409864,0.1209437410973835
"{'gmm__n_components': 30, 'pca__n_components': 500}",0.6406364552294617,0.1159304140548326
"{'gmm__n_components': 40, 'pca__n_components': 500}",0.6398169197153258,0.1235894103899256
"{'gmm__n_components': 35, 'pca__n_components': 500}",0.6395834985286957,0.1162139129363395
"{'gmm__n_components': 40, 'pca__n_components': 400}",0.6390242635346238,0.117774503348345
"{'gmm__n_components': 10, 'pca__n_components': 450}",0.6390010865310151,0.124675021902674
"{'gmm__n_components': 10, 'pca__n_components': 400}",0.6383561750613871,0.1225325494853509
"{'gmm__n_components': 10, 'pca__n_components': 400}",0.6379247521039965,0.123398088029787
"{'gmm__n_components': 10, 'pca__n_components': 450}",0.6379162618327975,0.1231642139908581
"{'gmm__n_components': 11, 'pca__n_components': 500}",0.6374056065721175,0.1180850209418776
"{'gmm__n_components': 31, 'pca__n_components': 400}",0.6372377990431654,0.1212851568376053
"{'gmm__n_components': 29, 'pca__n_components': 450}",0.6371555116972224,0.1202277441149034
"{'gmm__n_components': 12, 'pca__n_components': 400}",0.6370474172219223,0.1146110370199428
"{'gmm__n_components': 9, 'pca__n_components': 450}",0.6361279058975745,0.122389548902933
"{'gmm__n_components': 10, 'pca__n_components': 500}",0.6361268398767165,0.1231718805803491
"{'gmm__n_components': 9, 'pca__n_components': 500}",0.6360247877153077,0.1247059305530583
"{'gmm__n_components': 11, 'pca__n_components': 400}",0.6359460904862525,0.1232093970629895
"{'gmm__n_components': 30, 'pca__n_components': 400}",0.6359386987592097,0.1198264706372656
"{'gmm__n_components': 12, 'pca__n_components': 450}",0.6349532291190633,0.1178651701681621
"{'gmm__n_components': 30, 'pca__n_components': 500}",0.6348254010462158,0.1170006462760406
"{'gmm__n_components': 29, 'pca__n_components': 500}",0.6347302225323935,0.1108155162563269
"{'gmm__n_components': 9, 'pca__n_components': 400}",0.634446571824528,0.1254842985441735
"{'gmm__n_components': 10, 'pca__n_components': 500}",0.634329413442741,0.1202089484819591
"{'gmm__n_components': 29, 'pca__n_components': 400}",0.6338173742248997,0.121882393764641
"{'gmm__n_components': 12, 'pca__n_components': 4}",0.6324372553494161,0.087553105888731
"{'gmm__n_components': 15, 'pca__n_components': 4}",0.6323491911999668,0.08763760580309
"{'gmm__n_components': 15, 'pca__n_components': 450}",0.6322014813408658,0.1124922640861974
"{'gmm__n_components': 30, 'pca__n_components': 450}",0.6320600081906693,0.1151291638641218
"{'gmm__n_components': 8, 'pca__n_components': 450}",0.6319958203589622,0.1232315313063821
