params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'gmm__n_components': 2, 'pca__n_components': 4}",0.6374877401247115,0.63097890596047,0.663870434309314,0.5516531541752909,0.5937516139621403,0.532049788212375,0.528023490269129,0.6309504252611473,0.5837348384037688,0.5736464025221959,0.584760395574504,0.6377518908757706,0.6697486567217732,0.6587591412403887,0.639143966473561,0.6010080536187232,0.6387478789655179,0.6064196486154914,0.4371563729452331,0.6493193933447311,0.6059207873966911,0.569330861494509,0.9322541046493786,0.609193182712182,0.6315804351574669,0.6156857134909376,0.6128600926111445,0.767070738069664,0.6387230099343243,0.5364311991535222,0.5000774017218499,0.5830280830280831,0.5781427998240257,0.5687654444667067,0.906239497251385,0.6339502658872861,0.6208584470057452,0.570879501956834,0.4761964266808309,0.6172587970023935,0.9103942406313184,0.6453777298484895,0.6484411068332084,0.6405278753622897,0.5925965381854114,0.5923460406219027,0.4887913909924272,0.5495829558842602,0.6018301162488913,0.560739793666341,0.5725561360457245,0.6458754611691668,0.5542759961127308,0.6472890487118422,0.7348986775994798,0.5606805655403786,0.6262133554951235,0.5573659631863586,0.6329694184713095,0.6093026337247228,0.6269403768056923,0.6369840415108018,0.6360115435148826,0.6478710439786866,0.6423844158990424,0.4830385389477466,0.6302296828816112,0.5814975680138035,0.5460670692420582,0.5847322529505019,0.4421832776982992,0.5726449418366835,0.6374742729160988,0.5999446620973777,0.6419252390706056,0.543938749376923,0.5486714151618374,0.41784428896375,0.6025196879548826,0.5728312219543927,0.6737008710404322,0.7049947052594424,0.4815904853966719,0.659532444894287,0.5981902385478907,0.5915506481790894,0.5137741113593806,0.750005995392627,0.5851074318947352,0.6451336122349233,0.6348921911780765,0.5734975547596087,0.5073515386975961,0.6252962447164603,0.6884656060137135,0.630997745067726,0.6363038064745642,0.6035525306535344,0.635163312167129,0.6107390550498482
"{'gmm__n_components': 2, 'pca__n_components': 10}",0.6206801309632601,0.605337424950067,0.6445222098960866,0.5731675394311089,0.5652915101336154,0.5240910174540387,0.5464307248594996,0.5500668429187758,0.5642164452919773,0.4937353491297281,0.557352348586194,0.5164142802149918,0.5842785616682065,0.6481523258072805,0.6191010312666914,0.554516572677753,0.6089868885785199,0.5217146024776527,0.4325694822532474,0.6238122159195397,0.5821539051960738,0.4980012579239121,0.915870593606964,0.5216418835219199,0.5604642923438028,0.5571355054581293,0.5824386673790601,0.6637539556474132,0.5310422181282051,0.5010007778065854,0.4953419833910366,0.55457036381207,0.5026112321687289,0.5108751307909793,0.9007554185658884,0.5372627937671123,0.6053804941665786,0.5514542772374237,0.4639288156342471,0.592224759120902,0.905465007050167,0.6124550704838858,0.5782474999682334,0.6190359752843679,0.5684572030145875,0.5825986084606773,0.4270418493423674,0.5442705599425259,0.5751918435966269,0.5680005669101057,0.5878823517071121,0.6228219208735759,0.5235899304776855,0.5535386402567274,0.6808698120659337,0.6135250419362569,0.5549110134745493,0.4895131093065571,0.6103296045957747,0.5717384213959557,0.6187859512335834,0.615112764710269,0.542506581857288,0.6286358954767108,0.6152739771281955,0.4205769281518732,0.5993146720150487,0.4988759810994263,0.526163967878948,0.5561116493453114,0.3664739310125576,0.5873864900358093,0.6204377846534433,0.5687356498433752,0.6195938749134333,0.5371425543008073,0.4820336713276669,0.3361319858339812,0.5799361052677863,0.5423549130277707,0.6062929625154743,0.5875225543056876,0.4316439964095836,0.556834580154599,0.5454562171826906,0.5830225279629486,0.4579013524495477,0.6461870184004537,0.5840801597589602,0.6146107184048495,0.6135597068171499,0.5873081883026435,0.4921808374461909,0.5980024641975826,0.5573007705578843,0.6150430061182995,0.5934212532398232,0.6113743232877931,0.5610971181104769,0.586448077280327
"{'gmm__n_components': 2, 'pca__n_components': 20}",0.6180372724115899,0.5987143881631023,0.6313408619708244,0.5730302623809481,0.5411598156861315,0.5056871595095634,0.5444649207566717,0.4983232685639687,0.5385390622193243,0.4402925988091446,0.5435280594514528,0.4999299104148897,0.525959954312095,0.6388230907575558,0.6046078310530425,0.5179044375979677,0.5964449755246011,0.4592247890418022,0.4495712515053567,0.6140548566709894,0.5694186010451071,0.4505008774294343,0.9036909097033275,0.5223042464352017,0.5136534400732706,0.5246956998605167,0.557721491276891,0.6485906350374905,0.5265777056656522,0.4723285847423778,0.4901180729131709,0.540592503862646,0.452721517163734,0.4740421647855027,0.90463674736999,0.5303064737360945,0.598055428273785,0.5362647312999873,0.4435087916658649,0.5822855840764085,0.905725343536301,0.6004780158481857,0.5380081068374439,0.6159248978097736,0.5412774876997768,0.5624294244983901,0.4407193304105221,0.5420126495435478,0.5569972070826216,0.5575713426941562,0.5904980745510628,0.6152407546903804,0.4997673245122224,0.5440911294023404,0.649391203039746,0.6008243469925714,0.515751059949955,0.4452108561608595,0.5987090923124421,0.5393764269406393,0.6220631872094208,0.6105180005584258,0.5422730268189064,0.6227656936074245,0.6073255570666388,0.4231621543034767,0.5873564631694592,0.4426413204619038,0.4989863716809726,0.5326228641888321,0.328129470672389,0.5862400160747476,0.6177714358861263,0.5431294224088632,0.6131076245976609,0.526227246944774,0.48415732039862,0.3045766030347528,0.5614544209091519,0.524875577692625,0.59938772912662,0.5727030626841927,0.4266093580979999,0.5471594508248644,0.5201119183414811,0.562603543366309,0.4645028443285494,0.637125355959677,0.5745854625352226,0.608682534487696,0.6101502697581085,0.5808396856010164,0.4735989086445457,0.5816501048854636,0.5319346131121333,0.6120246918207173,0.5672002845962292,0.5977223840279244,0.5118348310142203,0.5658245092575391
"{'gmm__n_components': 2, 'pca__n_components': 25}",0.6204802822953953,0.599679879664522,0.6278840041382577,0.5711419820800169,0.5323939648150176,0.4994457865463846,0.540977007217363,0.485478549300577,0.5280361697821326,0.427380945088334,0.5337306516097262,0.5066245361812669,0.5100801930373786,0.637881550830623,0.6002270019310572,0.5079920604892229,0.5944320895228107,0.4445103700974314,0.4544259684316815,0.6148033578888795,0.5659946736753966,0.4404686591741344,0.90827226727845,0.5363312188221996,0.5032519968980591,0.5151017512905187,0.5499686472687876,0.6553716501579739,0.5387211140262324,0.4639928806172,0.48088142903109,0.5381056542193983,0.4418074095863011,0.4654739642467552,0.9106532088606424,0.5364568168961065,0.5976182643466137,0.5312955837750659,0.4372143451616876,0.584115617421031,0.9118307489258056,0.6003300112568998,0.5290795732262586,0.6172986642098279,0.5304920080051496,0.5550193050193051,0.4451201275408529,0.5364170673103343,0.5524466111182129,0.5526373030452801,0.590870885397995,0.6165641186002917,0.4920918367346939,0.5539881423130135,0.6376364989278591,0.6057033309369758,0.5067566310660234,0.4374175488668341,0.5964422165130331,0.5298138861709066,0.6251359218221513,0.6127972272948783,0.5526415868949841,0.6221208903818622,0.6100818462622715,0.4234057146620189,0.5882674659431872,0.4298507092673301,0.489733743052179,0.5251842228876754,0.3076518041646797,0.5844295976289747,0.6181858333564909,0.5352370140862702,0.6137971584141456,0.5286737196124603,0.4808272326297095,0.2894561054965304,0.5572217709555514,0.521142414927913,0.603540474024851,0.5800939934931374,0.426494280650878,0.5533228389196435,0.5139077494115517,0.5560889416554128,0.462909018646064,0.6467743753318057,0.5694637414227156,0.6098131947868513,0.6126687578975372,0.5770253593240574,0.4670954084063362,0.5776780696886246,0.5346052389235407,0.6140305508968197,0.5611996239264115,0.5934742432495526,0.5013856891242388,0.5603032695522943
"{'gmm__n_components': 2, 'pca__n_components': 42}",0.623012943918056,0.597523756259016,0.630240858231435,0.5732808713519721,0.5125098539835382,0.4869578024227515,0.5388395146078793,0.4650971175405894,0.5070334084232295,0.4037731351024642,0.5100308534590019,0.5424796544197003,0.4823206047069306,0.6411792905081497,0.5995665392990673,0.4916130659603985,0.5847201352753564,0.4147207702233362,0.4673493170964011,0.6136424172243967,0.5661158146097905,0.421937936307975,0.9064575949580272,0.5919726227221423,0.4845868774328141,0.5073695672043331,0.5411527787053734,0.6906544137140692,0.5873222498390234,0.44966049793636,0.4562548340068656,0.5434916584205683,0.4191610341545899,0.4573816202497829,0.924718733347816,0.5671295061446014,0.6053800046213074,0.5248416092827144,0.4251664274061304,0.5872580128241555,0.9235257894912308,0.5981016430647338,0.5157380229312528,0.6189795997958126,0.5089546511169554,0.5408080494287392,0.4693968911917098,0.5184672557133554,0.5507993321789791,0.5469032235205238,0.5955623045164904,0.6185510087319886,0.4853760185392839,0.597988493964891,0.6030343696524042,0.6005080277977475,0.4903989876365567,0.4254672564637683,0.5885036717681824,0.5194573548597521,0.6287587067736791,0.6162447907724484,0.5992573015048689,0.6176811763407138,0.6170652072172271,0.4255260940060667,0.5924342457200436,0.4055596047340681,0.4727249930629638,0.5182248546767658,0.261502543315848,0.586926063337376,0.6153371556147864,0.5273168656839565,0.6092123750824008,0.5247024986106097,0.4819692883101241,0.2476591517664334,0.5573756644612455,0.5233189416059114,0.6266857217521375,0.6145716075272141,0.4337182673939561,0.5867050725485876,0.5152133690928844,0.5447779033001848,0.464586049622668,0.6893287144675297,0.5662177616728645,0.6128944078293403,0.6184002453316781,0.5745527582617748,0.4560151708072164,0.5728840535701196,0.554482315187043,0.6136332830502176,0.5568366620927987,0.5911460475560546,0.4858099989302279,0.5575585175552665
"{'gmm__n_components': 2, 'pca__n_components': 100}",0.6200624304825475,0.568918991551409,0.6087944208308923,0.5907174386985885,0.5043353637037847,0.4869454987500808,0.5478368127112778,0.4273974923136119,0.5211868400955146,0.3649547099229782,0.4970753366214627,0.6409503224704763,0.4370064555096085,0.6160052387845518,0.5702267964994454,0.4452146730807343,0.5499917454017033,0.3626559274011453,0.535974126653294,0.5886531249295547,0.5302677893039338,0.3845750289267489,0.9049264213295808,0.6868745738903196,0.4388410217559888,0.4628521357637606,0.5077101746105954,0.7440537473364323,0.6792643127602339,0.4403439166415573,0.4334714773070653,0.5246847675757629,0.3698056498428831,0.429918297379728,0.9358724697204236,0.6334530354181971,0.5934806277145286,0.4941061038910998,0.4351587326875648,0.5761576289177659,0.9303519004073212,0.5732470572613039,0.4827329445100954,0.6098548794529879,0.5116583600483987,0.512694960970823,0.5678284575528099,0.4993970542410141,0.5231490627651044,0.5467408374054975,0.5948074273398323,0.5989565957949077,0.4758316513418554,0.6904208345501193,0.5488684402456161,0.5760939372154326,0.4473964170096767,0.401668955735025,0.5557017156970846,0.4941709474885845,0.6245772990407348,0.6177764510831205,0.7003470364617814,0.6033047736679269,0.6013112470474229,0.4989510683365966,0.5851979215403851,0.354356998715832,0.489683228626066,0.4988271387469908,0.2761425051661103,0.6090562544402902,0.5988262211976391,0.5016985464198227,0.5812451800953017,0.5606261136607137,0.5566902374544738,0.258244795715643,0.5397328732727479,0.5079465433202841,0.6833311073001745,0.6596201246396713,0.4438105595065479,0.6484902876467726,0.4898011723700887,0.5659223154273769,0.5302750136925217,0.7571774043957068,0.5843118903308793,0.614473546334913,0.6220078649000816,0.5923087814360717,0.457860976370637,0.5406575149300357,0.6099357186715413,0.5964868967197294,0.5141675560298826,0.6414668952944185,0.4543938021991457,0.5343210105888909
"{'gmm__n_components': 2, 'pca__n_components': 150}",0.6146723438132231,0.5510505863046979,0.5914259954047059,0.6000258256368339,0.528443228653755,0.5073094170239707,0.5531637269648811,0.4211914321323511,0.5589405886322221,0.356330094827375,0.4951532470229567,0.6855905210188963,0.4412852115308139,0.5994679751095069,0.5462334113973458,0.4283191899536962,0.5385366142198036,0.3626776431711376,0.5857634233575922,0.5695613756168053,0.4976624645299344,0.3753236036769519,0.8935340778526706,0.7169512214523848,0.4241668716096077,0.4335010312228038,0.4870618965990634,0.7591172028107063,0.7074936820618305,0.4559007490767926,0.4217580935497892,0.5034315342372214,0.3601358769624558,0.4223602484472049,0.932411250860921,0.6689004629786706,0.5773412992139861,0.4669732648579024,0.4701686504373571,0.5674529663530712,0.92520155240951,0.552274291112079,0.4703498985586433,0.5969318605687437,0.5414866725003317,0.504588332174539,0.619087764049422,0.482013539427665,0.5058773285609697,0.544995787209331,0.5807925284806631,0.5788106446163392,0.4725919488674591,0.709437340881554,0.5556350827980998,0.6421279654924514,0.4262383930892218,0.4015903941695611,0.5372681713932872,0.4870117824527071,0.6252156367009423,0.6185007136403287,0.7290022924726963,0.5927592607470094,0.5817912025591754,0.5660909264566351,0.5749732926881848,0.3454937601332758,0.5379648614415733,0.4895704891080969,0.2972639484978541,0.6166283216958859,0.5919147188187152,0.4935628789366018,0.5724911167115135,0.5769335441768794,0.6145844373369995,0.2774581785724569,0.5326196377370018,0.4960965647400703,0.7160592314501213,0.6671451775017697,0.4469608046215103,0.6678703110798976,0.4744237167300381,0.6061342430174376,0.5844513539844026,0.7717584291197866,0.602398886892458,0.6116462227351447,0.6200340451072013,0.6043499640293276,0.4859119438741168,0.5099152539414945,0.6453329481056183,0.5885630896944598,0.4864511866646338,0.6934742432495525,0.4483756179843966,0.5252422750634714
"{'gmm__n_components': 2, 'pca__n_components': 200}",0.6213289854232249,0.5517405721046906,0.5748968551734452,0.6024141955752911,0.5589800975064132,0.5371581269229818,0.5523043468834434,0.4161404292695321,0.5916429320701442,0.3505710776506334,0.4811735181223638,0.7098941194087431,0.4429727188190514,0.5755292049705789,0.5217593163235958,0.4045081647238287,0.5511195059836274,0.3618466063388566,0.6215895127241446,0.5690824950080144,0.4672522134871532,0.3685260469099264,0.8848695906016909,0.7303588888942407,0.4132693251770754,0.4043833923455053,0.4651632197214244,0.7544378647215998,0.7169447839004166,0.4805504908590207,0.404923175838449,0.4823663698071281,0.3536789689589346,0.4154561544112736,0.9300216167876422,0.6904679259204898,0.5566516474177466,0.438080376064424,0.5101596071759307,0.5773034951619612,0.9190544735711892,0.5442502291116104,0.4623070178782449,0.5981648813141512,0.5682225393945475,0.4975763941281182,0.6573155838979674,0.4599989888369571,0.4826188345670977,0.5380650709508416,0.5634570092079713,0.5704132879015277,0.4622140614487553,0.7094272246233664,0.5699257639612405,0.6432973879702851,0.4097937716722247,0.4023781664161939,0.543459731839633,0.4667869373776908,0.6384057094942365,0.6301208896311442,0.739171183115635,0.5958256342262853,0.5775334350102687,0.6206842787114931,0.5881295380473403,0.3466911600648529,0.5834391167573468,0.4701610298866773,,0.6093180431865317,0.6004336281145218,0.4760375501099645,0.5818990541155737,0.6007304325157417,0.6557654662040334,,0.5188172416266891,0.4734996772225742,0.731244341662322,0.6637398043543128,0.4692829524269833,0.6790398472141893,0.457416711931921,0.6383340495626177,0.6296047667747527,0.7703814425857067,0.6061581273367,0.6207582520348837,0.6246088692163755,0.6029130504660881,0.529645106024411,0.479352746742617,0.6676404345349711,0.5973577159597361,0.4539220917822838,0.731096801805307,0.4405438358205534,0.5071258282246579
"{'gmm__n_components': 2, 'pca__n_components': 250}",0.623612041662956,0.5538970713706353,0.5636475251473942,0.5976840922852805,0.5837527568053884,0.5637727981877299,0.54753691449385,0.4147955395220166,0.6167927116914363,0.3467529179224555,0.4691219794815696,0.7162620126070062,0.4431678193294522,0.5624643593455279,0.5054038785488311,0.3963854806647088,0.557332893676654,0.3552195604447949,0.6585172873173218,0.5648854305209343,0.4442809849436355,0.3633916635952052,0.8655191675056232,0.7362035337017636,0.4009736909799665,0.3882136598276129,0.4513290589728177,0.7432426249332078,0.7205118998660927,0.5028194437631824,0.3955719416885904,0.4683668095990371,0.3440444597540402,0.4159014002983147,0.9218040227292876,0.7037972623406956,0.5357686252393876,0.4151364279384162,0.549152595454203,0.5833237678741496,0.9098299331067604,0.5327849660532545,0.4560015586813894,0.5974218639589958,0.5855862625590502,0.4952575728437797,0.6814922279792746,0.4439515887880362,0.4757198250649808,0.5227390405887217,0.5378660929090044,0.5586702262382612,0.4574194512970023,0.6994818685319735,0.5878090546639676,0.6708171579199617,0.3972319883922093,0.4033899161455416,0.5559849545715168,0.4572661855838226,0.6444332855397563,0.6377991349603985,0.744894750113514,0.5973328482197507,0.5678674272248253,0.6633078256717945,0.5960038036960685,0.3472608546906841,0.6164577391858077,0.4605785039046445,,0.5897595246467503,0.6089709402942451,0.4631818013696486,0.5849501329410535,0.6165308072213915,0.6828241627153653,,0.5048002045742241,0.4568411046687237,0.7318867802686595,0.6551245240325866,0.4767888789155101,0.691208905964545,0.4465898288973384,0.6594018470302508,0.6567708913952801,0.7659669947697957,0.5947685447019785,0.6251761974789766,0.6230018564087154,0.587363387978142,0.5656401688998451,0.461089412676307,0.680480031719814,0.5977492840121554,0.4341286781521573,0.7554284269150816,0.4330251052579297,0.4952589943649761
"{'gmm__n_components': 2, 'pca__n_components': 300}",0.6254234550465263,0.5637415140109495,0.5532302092811647,0.597805573072135,0.6059624320676952,0.5843769426250507,0.545189059516143,0.4151343173954406,0.6391238634694235,0.3445843849288998,0.4659352100873926,0.7132065404119977,0.4473860269163953,0.5500590616559823,0.4962200583425777,0.4002291167444403,0.5620174885656892,0.3477603102039368,0.6991693122835239,0.5603711391455903,0.4448731218309532,0.3601047414196203,0.8410578150203782,0.7368710051875365,0.3888980759862466,0.3958633858283362,0.4535228225620932,0.7279129950535591,0.7171896135132839,0.5224959883399085,0.4059199786605152,0.4696225312339056,0.3379154609284925,0.433524789064761,0.9064289729249492,0.7167162244224614,0.5220055494851942,0.4129621678748947,0.5930295525650088,0.5877114724139734,0.8949530021552528,0.5269411110228086,0.4508375794694554,0.5990408251209177,0.5998401850279256,0.4995771633702669,0.6973640494220805,0.4362503012075819,0.4759164139095808,0.5157381812154578,0.5139042649881745,0.5488432553522673,0.4627195933318382,0.6833511815162894,0.592958107195174,,0.3881136284451201,0.4021095166707642,0.5743187105808671,0.4540341650358773,0.6502499971719777,0.643324644784009,0.7513526502677017,0.5997796326276068,0.5598865219330363,0.699163493643341,0.6033594923934062,0.3453117950090982,0.640554512023686,0.4583876460571898,,0.5713434613811366,0.620578651708645,0.4620202744418553,0.5871629566036944,0.6265541117356205,0.701876253198928,,0.5022933603630498,0.4561225053845592,0.7244604678559906,0.6399033297529539,0.4778562222375658,0.7092218297575441,0.4486663724425131,0.6733296742261667,0.6805926478832736,0.7577513531007366,0.5793698479987588,0.6289159082280276,0.6220295202649055,0.5685003099600496,0.5982311038847643,0.4541331155345668,0.694978677314966,0.5978553938792018,0.4322521217665295,0.7768664473026,0.4260104570219074,0.4907695522942596
