params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'gmm__n_components': 29, 'pca__n_components': 4}",0.6260180702044837,0.610959921249721,0.7065046680045372,0.5872507857387324,0.599016279437332,0.5380385095209108,0.561442160017204,0.6742157912836251,0.6054826295478564,0.6103634232600688,0.6202891853259522,0.696312086764067,0.7073697909658746,0.6697858114162892,0.6418772340687785,0.6009570053270393,0.6456058168874073,0.6303415540365415,0.4847377688022677,0.6477943610436483,0.6284200508598099,0.5961343594765129,0.9229009869122782,0.6522015247191416,0.6694406989355216,0.6337360864399169,0.6211138382421693,0.8278447074594748,0.7161257984172211,0.549177276836079,0.5094369319996923,0.6009640701583829,0.6061247413817943,0.5790255793762105,0.9034867420607744,0.6932976923933759,0.6118292740239446,0.5711547247496849,0.4888583170699272,0.6329304286159141,0.9077845021836888,0.6326841670045078,0.6907821785113745,0.6568034982149049,0.6043054404572451,0.5851504213573179,0.5196919888401754,0.5968650610499162,0.6120527361680864,0.5898854589359506,0.5930298810176835,0.6365117086353491,0.5754728264932346,0.7094232855493818,0.7758612795444282,0.4499496764917325,0.6557205120741033,0.587722768250776,0.668572613901998,0.6374836921069799,0.611912884893836,0.6191378305680855,0.7038847371619243,0.6552070623906544,0.6516860660386188,0.500383135454665,0.6690451078113098,0.6090699945955862,0.5608698834661413,0.6120588926075979,0.4546733428707677,0.6047205218551981,0.6385538348653796,0.6142969525744219,0.6381910418592684,0.5698064736989865,0.58173225975477,0.3654026662059831,0.6229557041264286,0.5747821992691609,0.7109612228648219,0.7908608759051581,0.5509821860111855,0.7246209760894912,0.5894158518920877,0.6027685823360247,0.5408614736869316,0.8083038907837905,0.6213058242951737,0.6383004873959592,0.6310787943278133,0.6040064249743613,0.5293953463531909,0.6468920046212431,0.7523097703694474,0.6288255769284824,0.6424683640798902,0.6423931711817868,0.670380542756497,0.6323843581645923
"{'gmm__n_components': 29, 'pca__n_components': 10}",0.6281863722184801,0.6150055890447207,0.6595348199483965,0.5908953347115364,0.5593983295035927,0.5157624056043351,0.5642879702609724,0.5740488847709855,0.5739836452712039,0.5101078242794017,0.5968707166287949,0.561094847695415,0.6209372748121503,0.6423628735610575,0.6125785775915198,0.5409812682797928,0.6295885119534235,0.5359027058783421,0.4508869312256874,0.6429171644810292,0.5880025895086136,0.5149190509459184,0.921809095910508,0.5762104871987201,0.581633720322142,0.5684640542355639,0.580766676313661,0.7360398686024145,0.5768702957780467,0.4994579178608217,0.5157701039234059,0.5463618793002679,0.5213125914114028,0.512347225005009,0.9066995480834706,0.5829354950209619,0.5825701322555504,0.5294694805445008,0.4619101303303182,0.6200190475757528,0.933138138167584,0.6267545523043447,0.6171433775100912,0.6487564764238479,0.566357508271154,0.5902170643549954,0.4607451574332403,0.5690540600053258,0.5866705016017633,0.583385330120042,0.6046152773467123,0.6384193977526175,0.5270109142558123,0.6020821766033688,0.7450815781132626,0.5856506110711718,0.579163543251941,0.4999140444048452,0.6443619613637367,0.5725721624266146,0.6242747890295358,0.621739517811526,0.587063270027263,0.6489236084821282,0.6353640272875934,0.4461783660779979,0.6395774416231659,0.5213290891331618,0.5290226947539864,0.5540404262814866,0.3811893975520584,0.6080785653287788,0.6321107560939414,0.5720893543532009,0.6307713047286223,0.5371991325621501,0.5268069424042732,0.3329950188592324,0.5737907788862738,0.5412404918851584,0.6529637864576358,0.6693217461989905,0.4546997629404589,0.6236050003672184,0.5386692581024806,0.5817936647192186,0.500254058883498,0.7485956798388316,0.6075229853704436,0.6350235193131815,0.6244719580472977,0.6013932895562597,0.4934069592771995,0.6065521128923607,0.6385522940712368,0.6233187949541986,0.623751079941048,0.6112922007181208,0.5774488706263514,0.5768143538299585
"{'gmm__n_components': 29, 'pca__n_components': 20}",0.6216220718994993,0.6012915692248479,0.6710303264487018,0.5927715797642344,0.5370186380712697,0.4966729529094592,0.5618627675601305,0.5221545396600101,0.5415445255339439,0.4578445455881993,0.5768442791588891,0.5037700745774315,0.5717779262834026,0.6722743907406363,0.6288015119766629,0.5211430012792102,0.6116067303374291,0.4885455150863891,0.4668341846476672,0.6197409150609063,0.5787978167496239,0.4701463115873863,0.946291968098444,0.5424010786969754,0.5392548180436477,0.5715159968685797,0.5641562219402332,0.6571774452270235,0.5322800588620946,0.4750234393065609,0.5087821140089627,0.583851246173521,0.4740169067821939,0.5280560564571786,0.9246783053763356,0.5305778469471792,0.5878112039288945,0.5340409311337527,0.4366349625356719,0.5981211544012857,0.9411742499269488,0.6080193339013759,0.5714316573272851,0.6311211810433172,0.5486816695679596,0.5611411904515353,0.4690474292546831,0.5577388878373837,0.5733741230975429,0.5692756342156673,0.6094600906667094,0.6276210105434685,0.5003999401958585,0.5453642560190394,0.7035913984148445,0.5723556194584232,0.5282525116779261,0.4674410064260278,0.6307354838353989,0.5542634947814742,0.6233046890023868,0.6140416538766365,0.5411850976438463,0.6377774351671127,0.6241099597513504,0.4271862265890921,0.6052874888420126,0.4761338113016704,0.4998612592759377,0.5294595150020551,0.3537593387378795,0.60561869837602,0.6228495971468286,0.5587349954620074,0.6200941951850609,0.521193572136567,0.5013020227163096,0.3925858742909792,0.5834530925652082,0.5320191257963323,0.6046413486051894,0.5752528034826616,0.4830749844645446,0.5557758148806081,0.5162516408654717,0.5587903094906942,0.477423899468617,0.6521303871092854,0.5957595307330794,0.6221193865313356,0.616566313037638,0.5959900353584057,0.4682951449347848,0.5815960042303222,0.5422358094853498,0.6164856006021481,0.6150645423590995,0.6075065031070401,0.5449535890852685,0.5972088054987925
"{'gmm__n_components': 29, 'pca__n_components': 25}",0.6238484234144044,0.6062194754341377,0.6811110972615204,0.5914147308931031,0.5397752732489574,0.4954955767078564,0.5593202541458673,0.5109642830284697,0.5339314914077026,0.4444941314841587,0.5671015230745757,0.5081773499486519,0.5398576887541375,0.6191196836676505,0.6173528082501335,0.5599547171624357,0.6035282595657698,0.4752732100718208,0.4663902060343249,0.6246296795044438,0.5969253461723342,0.4695703438019741,0.9473394162359609,0.5431772897972027,0.5335093486960446,0.5849298410843933,0.5969824387601386,0.6586893476790772,0.5411621542103554,0.465190142177438,0.4982993801812991,0.5817144940367689,0.467830927017523,0.5491690598633095,0.9216963771666712,0.5398212914233016,0.6172279792746114,0.5562569149726704,0.432524750357917,0.5939539289602705,0.9356130507513968,0.6078945925636055,0.5553403897550583,0.633079746603763,0.5345080607692001,0.5554174864519692,0.458988282184137,0.5503879447535078,0.546725197847788,0.5661073033515557,0.6121741684411484,0.6290514443887977,0.5255120729610525,0.552435072870183,0.7010356298129284,0.4977138749101366,0.517096453560542,0.4641959516455104,0.6093889207427337,0.560445205479452,0.6225178801710388,0.6181035723638231,0.5503759289714202,0.6346661963877727,0.623641126301474,0.4234628520821142,0.599252195269173,0.4587330864160803,0.4922612734144106,0.555528154541718,0.4130384676522015,0.6031285477470237,0.6255212672299773,0.5319409235881722,0.6158930046144442,0.5276624727135221,0.487349727560785,0.3524200282168668,0.5770827113952934,0.5147278305211227,0.6066668273518282,0.5826345400589873,0.4803649105848235,0.5583912419556216,0.5269738479992757,0.5538948234402271,0.472324949794087,0.6627140747837311,0.5916474392020059,0.6248016432657754,0.6184405797315637,0.5932916609266657,0.4629515383585078,0.6083732107517198,0.5318715446835384,0.6135901832366711,0.600029221934238,0.6005295585668708,0.52755069000298,0.6246191714657254
"{'gmm__n_components': 29, 'pca__n_components': 42}",0.6326944351970336,0.610220603767174,0.6169774514814215,0.5928075601417652,0.5352251036461563,0.4886278128053458,0.5510653769910446,0.5500237655598706,0.5170725469418563,0.4620233617570426,0.5395487124776761,0.5431387912240611,0.6237254928343543,0.6203087498981696,0.6142364106988785,0.5210364004348113,0.6068408401621374,0.4772561167252992,0.4982980375665601,0.6221430300254731,0.5965105596129693,0.4751761735274863,0.9466189740154268,0.6063990854779484,0.5665402616296874,0.57162527866859,0.5760614476427941,0.7183362866269973,0.5875009567313982,0.4613329222403632,0.475240177226034,0.5451915120161566,0.4808053793446891,0.538597252832877,0.9520409793505612,0.5654012048573874,0.5510860072296047,0.495098282059327,0.4220863586281073,0.6049528811163061,0.9212322789787356,0.6041016762620252,0.5871590913904031,0.6615958974089671,0.5242550514759853,0.5064177477970582,0.496365404543643,0.53482907137712,0.5457635588197697,0.5625794890242239,0.6090073124484392,0.6268943694123839,0.5085482544666218,0.5934218538750372,0.6884668135573895,0.5905871075964534,0.526949601535237,0.4676347916208391,0.6370601872270982,0.5241102005870841,0.6361901307677514,0.6180523038529641,0.6034288207570054,0.6301986673055215,0.6560539530120416,0.4272620063030322,0.6093714320388737,0.462523613321632,0.478247207860323,0.525220920674065,0.334899062152281,0.6067630194691027,0.6206322344027799,0.5522452393755495,0.6254549956708341,0.4827497178248738,0.4847437011122414,0.393959287092223,0.5522948645852859,0.5465900094957763,0.6288964112902228,0.6101207458664816,0.4674560979539229,0.5911870736823743,0.519916711931921,0.5446028001031551,0.4656556011703673,0.7226617183415879,0.5880141991281326,0.6272279471450626,0.6205111815577576,0.5887975272076044,0.4551037652356579,0.572446885372928,0.5616076290219275,0.621490644529603,0.5825113076180312,0.6021207354624988,0.5765679801939344,0.5425335934113567
"{'gmm__n_components': 29, 'pca__n_components': 100}",0.6733901237253764,0.6308186954485556,0.6659084015771914,0.5912851012402575,0.5769793437161859,0.4770711314299024,0.5447492322359528,0.5546166151563671,0.5697381849018442,0.4780535578643012,0.5183588280604238,0.7177613903638469,0.687982705573147,0.6600946866442328,0.6193413862525166,0.5069305563062657,0.6469918831254822,0.5431426968931504,0.5265554374988174,0.6500474283117657,0.5922997007334357,0.5002284800575051,0.9441643244497506,0.7261453383035364,0.559702705529502,0.5424867769021988,0.5197735553626157,0.7569359519660633,0.6618759097725635,0.4736874338689221,0.4469361506369438,0.5729678431100231,0.5417330548363056,0.5196631714864534,0.9484219452770876,0.6305233113189928,0.6099273906453773,0.5231104579156828,0.4246894125050823,0.6546936477016758,0.9552976268686864,0.6457517023671681,0.5629957178617263,0.6965790117917443,0.5689315152410883,0.5014189065913204,0.6252722200079712,0.5025960891033234,0.6027607659023912,0.5498423881808852,0.6012491199578444,0.6482868400496068,0.5041778799431861,0.6501637670009089,0.7078672595466907,0.5562329259525521,0.5376773056331068,0.5519445990002039,0.6886641048824593,0.5282789057403784,0.6602135616395742,0.6696068561498801,0.762336318385013,0.6786500847600162,0.6866582058242163,0.5464959387641806,0.6841207665517466,0.507009871731941,0.5203798573517138,0.5045351124420175,0.3038527261166746,0.6020951711171232,0.6537609729966871,0.5275387863217224,0.6352366943968795,0.4996569495293261,0.6358615388729802,0.2915061472459762,0.5822040095622251,0.5422112918796307,0.6881044835328216,0.7830475791111585,0.4834518631038689,0.6474977938206321,0.5121339172551149,0.552487043092549,0.5914462534190914,0.7647373454883886,0.5851951441684475,0.6685750540255203,0.6483317569048798,0.5923569017771042,0.4740280671801592,0.6040922782658472,0.6810101138825493,0.667766492705825,0.571817350205824,0.6092178763186855,0.5759793667713514,0.591257198588148
"{'gmm__n_components': 29, 'pca__n_components': 150}",0.6830665347391522,0.6960036075084888,0.6590248087717767,0.5941469829763921,0.5858508224824014,0.4613227958670868,0.5637391530072735,0.5340241773502168,0.5913691260653001,0.4918526867756242,0.5435051184230502,0.793661710685206,0.574793387811974,0.6605411739639927,0.6103866222934383,0.5327594904779922,0.6910904927627333,0.4751931185760433,0.5001176569974733,0.6954897722135941,0.5927396846071545,0.5066154695301855,0.9540353185103126,0.71244414688226,0.5178992924521635,0.5396911497637527,0.5733626082504062,0.8278054510449301,0.749238769494792,0.4978898317555305,0.4463013816221753,0.56197593875319,0.485833893466716,0.5220396714085354,0.9352421830325264,0.7208130255800698,0.6321762441303522,0.54105636012352,0.4424383711627782,0.6561475027900834,0.9558599732897708,0.6390506278814997,0.5505597275696006,0.711021562465972,0.5824690766983549,0.5708960191718814,0.6186528497409327,0.4878999636845417,0.5684458441311936,0.5752335951889511,0.5922329222459232,0.6725105676489369,0.5043012259848995,0.726962997234233,0.7206868672427091,0.6251234124131321,0.485454062802129,0.4841955696206431,0.7215978256075508,0.5627170988258317,0.6902402652402122,0.7177625121180117,0.7945956865310648,0.6900387185372149,0.7029408768809774,0.5910512631606726,0.6927551326742603,0.4937442671069528,0.5398208143370796,0.542943749633022,0.3076299475441106,0.6119722423555246,0.6787084841285843,0.5365792071742959,0.6590280272667466,0.5038541254862865,0.5755762527697079,0.2960438801071089,0.6014054064061354,0.5566765572776932,0.6943088638224064,0.7314288823263343,0.467697760592879,0.7210981896132272,0.5437913045446315,0.5821185198496468,0.6238910673058126,0.8127784840720614,0.6239281835426249,0.6967801974129473,0.6569459736621501,0.6015279882444781,0.5150205487464756,0.5769328767936114,0.6697326868001738,0.6993301570644656,0.5785345835239111,0.6161322909834699,0.594656440791937,0.5922603566784321
"{'gmm__n_components': 29, 'pca__n_components': 200}",0.7059440895895803,0.6844403550828734,0.6888183944723514,0.5978928286218261,0.5804279096910675,0.4709555970198799,0.5568535649389803,0.5109365382888359,0.5372796790947381,0.4417395636797269,0.5485461711074079,0.7186723603542168,0.6397883944349261,0.6571079214683636,0.6212067052878096,0.4756814946939804,0.721494856252277,0.5012427024505196,0.5070259748808307,0.7206694896250938,0.5693119970228404,0.4871495554174161,0.9469913584359106,0.762188944494484,0.5260216287828462,0.5226074240094102,0.5644525887337949,0.8718824471971384,0.6458227176133841,0.5015986377873856,0.4458022312551436,0.5544416089439786,0.4744192137146454,0.5100876021282754,0.9526705354124676,0.6621534014979968,0.6413855697719502,0.5301823075779845,0.4155472111923293,0.7107743248679966,0.9476576580110097,0.679396025580022,0.5877444440208898,0.7382894402531801,0.5778678419172184,0.5392029960995479,0.6915807094459945,0.4792624027977835,0.556587566288209,0.5643255000849764,0.5884962987324308,0.698499463523271,0.5112235553562084,0.6033718652356846,0.726187145949098,0.5642080038341721,0.4778693811842983,0.4862347813924313,0.7784756373219247,0.5438295009784736,0.695539448790172,0.6998033587052848,0.7329734352084384,0.7247138157381405,0.729411521795387,0.6075397667970094,0.7877036183018142,0.4063563839017884,0.5192450222416549,0.5269970935353179,,0.6125200754939039,0.6741553593632396,0.5499485030314928,0.6855433353173954,0.5074976938987149,0.7037261919029936,,0.5879565025213078,0.5542804037580373,0.6000395913740098,0.5572706854120324,0.4723353817118921,0.6478555448832705,0.5149714828897338,0.5417095030109113,0.6010750447127479,0.7159359987814603,0.6211705647118883,0.7159279470732918,0.6794232160289931,0.5998160329705653,0.4805981134826564,0.5807652973965369,0.608740196612723,0.7138697854691164,0.5673171723331809,0.6382186767010906,0.5670357857857857,0.56277633289987
"{'gmm__n_components': 29, 'pca__n_components': 250}",0.701482720225014,0.678540943605148,0.685690810658091,0.5951565647891262,0.586754300859564,0.4696001221109058,0.5537764146869263,0.5275870326927948,0.5589645099752889,0.4399467463837364,0.5682912155751917,0.7375526763128395,0.6530167322981794,0.6877792504026218,0.6279479436295659,0.4968290002342216,0.7193711732359145,0.4561953223764431,0.5523634932322575,0.716793359680418,0.5857697198058643,0.4773747898111831,0.9450999636971972,0.6141495197431001,0.5116103709608574,0.5262643904261196,0.5680920100625572,0.8926700449287012,0.8171132154390583,0.5050763441689032,0.4491973640205571,0.5757425828515876,0.4354233941803754,0.4729401812150759,0.959005062751031,0.7960165502686641,0.6443908881917765,0.5413797469051197,0.4328393324533656,0.7123381353832586,0.9574504282069436,0.694817550703833,0.5507283023503051,0.7403411605164613,0.5797409967221868,0.5608650522443626,0.6791244320446393,0.4734401047728639,0.5638681324640813,0.5611505632768365,0.5847792968424612,0.6872665465570816,0.5104881513044778,0.7717583256357262,0.7143556388047912,0.6294751976994968,0.480768060878558,0.4864855622327752,0.7600444361134389,0.5600405658838878,0.701360755958643,0.7225471757011972,0.6974818807196236,0.7251249726184401,0.7511409748872653,0.664931157882555,0.7634047550991404,0.4641013054882069,0.5032454475091099,0.548486583289296,,0.6004084708178745,0.703833815897845,0.5442589415523632,0.6562422306635588,0.5209783598893072,0.6516317463084594,,0.5604274999595017,0.5382738021206576,0.7564215921954373,0.8259127029413582,0.4660895532693503,0.73003457877753,0.5441477684229585,0.5106700215586698,0.6562712557213737,0.6655490335388775,0.6082784870946591,0.7192628701313335,0.6799431500488939,0.5901090217507768,0.4854140140077346,0.5849572255787897,0.7746523079498375,0.7135844834424883,0.5667225694973828,0.6422093333481552,0.5671370320702381,0.6162602947550933
"{'gmm__n_components': 29, 'pca__n_components': 300}",0.6820885836878063,0.6798398233155251,0.6764898350929238,0.5971860085224602,0.5889707359181042,0.5149051685292518,0.5563754153777821,0.5156995069467718,0.5550055721611769,0.4268454481226467,0.5758062770593719,0.4968371831448922,0.6075646672228153,0.6762348115980173,0.6053422490652861,0.503688989784336,0.7457482933139813,0.4672712990840615,0.537397203361126,0.6794771555114724,0.5772229846025027,0.4493925841167852,0.9377668910953342,0.5911431365087928,0.5024067839411424,0.5235253911294969,0.5633213859020311,0.5708523243975036,0.6221616675939452,0.5098257292812647,0.4600787728874471,0.5410843763924332,0.47115345332444,0.497629065651506,0.9505770484073814,0.8066058471922973,0.6445211072339125,0.5309391702583242,0.4375329783390984,0.7098841689188115,0.9498138912803455,0.6695535316385278,0.5780069208842129,0.703246571713869,0.571857979213899,0.5775862068965516,0.6969335990434437,0.475771995316511,0.5853786320515353,0.5581507440394867,0.5789640152999301,0.6901520044721421,0.5103199521566868,0.5317988909358147,0.7344106829473339,,0.47689930010372,0.4990135132054289,0.7564618433819961,0.5477097602739726,0.6844410519960181,0.6886636759674032,0.7460017705364718,0.7083610279630027,0.7260739396875912,0.6619602541453077,0.7954277800754672,0.4518531189417265,0.5201757122742818,0.5485328225001468,,0.5892537441962268,0.7247655812561972,0.561751551310612,0.679521745477038,0.5096544715447154,0.6357165945411785,,0.5810648504918807,0.5325338916297003,0.5785373796273325,0.7706609572693773,0.4592827222720891,0.600248761785416,0.5506673795944234,0.6659828555910137,0.6302021484737887,0.8514403001787738,0.6029130234583411,0.7201298622071121,0.6720739394208102,0.5793147586903614,0.4947036538451757,0.5848394257651752,0.5558355969796193,0.7213556452947809,0.5789246328200437,0.6654976822259524,0.5593059662716151,0.5831839432782215
