params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'gmm__n_components': 29, 'pca__n_components': 4}",0.6254473116345982,0.6238603668404963,0.5564497528830313,0.5717563989408649,0.5142294598605278,0.5443646864686469,0.603078474923135,0.6275576356324011,0.6430217546887467,0.6475498406180777,0.4724137931034483,0.6756465323176113,0.6673503887171024,0.8310057429892338,0.6836890834872636,0.577059833370513,0.4757203866476317,0.6285677107410566,0.4876237336071131,0.6636118464890954,0.6108163999280705,0.651418360007193,0.610541958041958,0.4603814002089864,0.6000881352497663,0.5822038567493113,0.6097323399558499,0.6265578007095647,0.6933261194379097,0.7666078777189889,0.6641791380769717,0.6179801294731164,0.6121593999315648,0.6919102238006111,0.6365963855421686,0.6601796407185629,0.4535997910135841,0.6562319637832768,0.5706254856254857,0.6218322295805739,0.6208270582329318,0.6108289660885695,0.52992956824549,0.6868724224877208,0.7927267658035043,0.7162793192913489,0.5915073815073815,0.5424661818750488,0.8011635830688048,0.6050413223140496,0.6403776541142148,0.6206887250494515,0.5871342134213421,0.4765423465423465,0.6736203139642524,0.622320625786729,0.6333443348368721,0.6541426119519427,0.5513806581767746,0.4689556980415706,0.5766199119911991,0.5185455321377652,0.6143790408269851,0.6114720231225086,0.6477988980716254,0.523521421107628,0.4941653617592422,0.5715289256198346,0.4423301985370951,0.6036998741233591,0.5381123730638293,0.5146775446775447,0.7570016248568823,0.6452401534388676,0.6525879301961208,0.4742132867132867,0.6392690163639633,0.7580327694435578,0.7341907824222937,0.79139785683434,0.6398328108672936,0.6196457471677757,0.8077827886956432,0.4819050611368575,0.500940170940171,0.5263894886037905,0.6196444972715975,0.6180745369537852,0.625962596259626,0.7268108389786347,0.8928142932558156,0.551855911079212,0.6172041550682328,0.7895756928250277,0.5441005596345403,0.7033139310338523,0.5637658402203857,0.5549724061810155,0.5878837205107856,0.493014763014763
"{'gmm__n_components': 29, 'pca__n_components': 10}",0.6316017802553497,0.6173102859197985,0.5617023613399231,0.5414585414585414,0.4880827909954123,0.5412898789878988,0.5585695857540518,0.5962996313202354,0.4980783871921396,0.6337997730833649,0.4140752351097179,0.6750274641165559,0.6109393245191402,0.7521921856039052,0.5933274041641011,0.5282018951921865,0.4901583321685727,0.5010689577633272,0.4489510489510489,0.6464040016568516,0.6061567164179105,0.6523714260025175,0.5772397047397048,0.3921055381400209,0.56960945220036,0.5450798898071625,0.6267466887417219,0.6190006663425001,0.586504536649899,0.7165320709180358,0.6394456750769896,0.6232017622729724,0.6144038035550272,0.5615765910913965,0.642660942276569,0.6584909999278552,0.3849529780564263,0.6370324110814516,0.535538073038073,0.6335430463576158,0.6085950946643718,0.6080712986475049,0.4768517791218286,0.6206290014576177,0.6928197780047854,0.5772931227149816,0.5206643356643357,0.4732765136706023,0.7406832883035589,0.5835895316804408,0.6415324977038197,0.6162830426182341,0.5551292629262926,0.4346192696192696,0.5465690051330518,0.6143634238446323,0.5740462307626486,0.5425859468455817,0.4872118173089048,0.4252774925905119,0.5825522552255226,0.4797008816426292,0.6133390062492121,0.5644995780918111,0.6260826446280991,0.4931922675026123,0.4370814164972718,0.5737823691460054,0.3899686520376175,0.5971048372594858,0.4855086660911903,0.4667016317016317,0.6315128537377424,0.6346372035226107,0.6420952869775065,0.4209634809634809,0.6177081460169035,0.7285995470642773,0.5785703931230575,0.7452002733233236,0.5483542319749216,0.6270409998201762,0.7368012537567616,0.3798392375566203,0.4566530691530691,0.4958095175364769,0.6246398148648405,0.6190141161661572,0.6080500550055006,0.667231196803891,0.8100380047397372,0.511666973802896,0.5584667759425042,0.6591674114557114,0.5055798570361677,0.6416207890268455,0.5551101928374655,0.5640645695364239,0.6048941274078349,0.4528671328671328
"{'gmm__n_components': 29, 'pca__n_components': 20}",0.6261823413055205,0.6098588383384282,0.556068094453597,0.525916801644957,0.472236501362715,0.5398047304730473,0.5394566598450093,0.5790583047088432,0.4338941223873884,0.6158625533524231,0.4248432601880877,0.660300394402723,0.5640136196519295,0.5654364831789604,0.5539828054092266,0.5078824088532827,0.4846041024395275,0.4431237993486948,0.4153574956899056,0.6315170997892917,0.5909593598273691,0.6509530659953245,0.5603010878010878,0.3693155694879833,0.561380036877644,0.5285289256198347,0.6319232891832229,0.6140075999063519,0.5589228010460149,0.6725765029858597,0.6106578781493688,0.612009980219385,0.6083211770850218,0.5071221750686165,0.6224802193850028,0.6399317329197027,0.3526227795193312,0.6129608253372772,0.5117871017871017,0.6387113686534216,0.6026651247848537,0.59820447710123,0.4635928049642605,0.5619681606963692,0.6020654650495798,0.504108610217935,0.4948834498834499,0.4574399874892485,0.6609263691847956,0.5653608815426997,0.6342770183874511,0.6053025534975723,0.5402805280528052,0.3991511266511267,0.4536170494482854,0.5963270994425462,0.5560709963695039,0.5087845217662662,0.4460180596102926,0.3843519361524902,0.5928767876787678,0.4517036361696555,0.6058426531237056,0.5306887287469811,0.6175895316804407,0.515496342737722,0.4104710310551757,0.5767493112947659,0.382048066875653,0.5824199784211473,0.4644617518403926,0.4207536907536907,0.5513281091099396,0.6065044933095611,0.6160178831919607,0.3667191142191142,0.5917236108613558,0.7127410970771966,0.5009045905258268,0.6428799959778507,0.4830721003134796,0.6272680273332134,0.624418579433321,0.3569083339879035,0.4241977466977467,0.4783584237784721,0.6183208168998865,0.6239435353353714,0.5937623762376237,0.6366162932082682,0.6389172648471012,0.489415438930002,0.5212903601253116,0.5496314863706458,0.463631514116951,0.5869744067901193,0.5647410468319559,0.5643239514348786,0.6018933518505158,0.4276709401709402
"{'gmm__n_components': 29, 'pca__n_components': 25}",0.637646106815321,0.6106006114008271,0.5612987369577155,0.5256704460587955,0.4684616354519267,0.5335918591859186,0.5287721986751113,0.5682644419951377,0.4479520869502686,0.608825436274245,0.4230094043887147,0.6678125056278927,0.5629886072958508,0.5510744394700818,0.5748876878520445,0.5081423430937994,0.4791267774298077,0.447342558444538,0.4079266993394417,0.6340811677202081,0.590345711203021,0.6486176047473475,0.555963480963481,0.3839655172413793,0.5549584928139863,0.5231900826446281,0.6330298013245034,0.6114525366038144,0.5780441896752264,0.6667285497694854,0.6046472887063951,0.6161414313972307,0.6122697066292074,0.5082762576643653,0.6184027153389678,0.6400286775845898,0.3459665621734587,0.6068465478681191,0.5030089355089356,0.6379525386313466,0.6014257924555364,0.5914712662308426,0.4738145733511377,0.534167268775818,0.6058339446543124,0.5074769971475435,0.491466588966589,0.4681835952771913,0.6696115796718819,0.5577355371900826,0.6378788697390458,0.6056284840855961,0.5257948294829483,0.3918142968142968,0.4563656349198196,0.6050395612299946,0.5518659772391116,0.5101523898684143,0.4396554901409271,0.3785967495108769,0.6017271727172717,0.4513661096185368,0.6003273182415763,0.5230439463449172,0.6141487603305785,0.5074033437826542,0.402262271803301,0.5760275482093664,0.3826541274817137,0.5795967451897142,0.4588401889372763,0.4096134421134421,0.5580526398782386,0.6065810326507826,0.6171772290957552,0.3536421911421911,0.5897253191871965,0.7104061222318483,0.5008532257641078,0.6357235412281724,0.4696290491118077,0.6289021758676496,0.6210102421334867,0.3530175686644149,0.4259848484848484,0.4630998470422061,0.6169273506582382,0.6267442905952167,0.5876925192519252,0.6348606665177796,0.6242661291612676,0.480387573591457,0.5178181042258712,0.5504076649921754,0.4633405429521935,0.6065252515557262,0.562779614325069,0.5721274834437086,0.5996207885433952,0.4282770007770008
"{'gmm__n_components': 29, 'pca__n_components': 42}",0.6339844452436612,0.6019735659054126,0.5511641954969797,0.5211409949274026,0.4608769870905793,0.5243371837183719,0.5117620243833836,0.5502485883373466,0.5002882133852002,0.6086543483350442,0.4534587251828631,0.685265726583464,0.6173211108029225,0.5678931936550595,0.6343515541264737,0.5049920952833573,0.4603516498808892,0.4727213164902572,0.4031226391337195,0.6328070128045815,0.5933555115986333,0.6540797518431937,0.5443725718725718,0.4375914315569487,0.5354936642108019,0.513633608815427,0.6358967991169978,0.6322104561744737,0.6277504403101518,0.6626257000526006,0.6014776595169917,0.6281311814421866,0.624128802204333,0.5831727901603604,0.6141723610861356,0.6708074814226967,0.4002769070010449,0.6144217588918548,0.4898581973581974,0.6339210816777042,0.5986221672403902,0.592623858663353,0.4985468541355745,0.5660978875385663,0.638375645886324,0.5341832489239082,0.488475135975136,0.4880131362889983,0.7029290470010398,0.5496280991735536,0.6365731986240928,0.6084404783312354,0.5238146314631463,0.376052836052836,0.4751662791480754,0.6103241323502967,0.5650555575928711,0.5332605190617361,0.4323753915986925,0.3760261898766053,0.6073377337733774,0.4434652725914862,0.6008720982585048,0.5111548645529228,0.6187300275482094,0.5323563218390804,0.3956758123656593,0.5838457300275481,0.4388610240334378,0.5757170472936523,0.456524058465806,0.39497668997669,0.5906640431284094,0.637761809570119,0.6403146217155617,0.3346814296814296,0.5840046754180903,0.7020655692854864,0.5811751572617788,0.6911023659835869,0.4849216300940439,0.6431442186657076,0.6718682048700643,0.354740397455031,0.4117501942501942,0.4366170468655849,0.6242931366722496,0.6357017622729725,0.5775770077007701,0.600864785726693,0.645400695191932,0.4652784109094788,0.5109705828152431,0.5868115837810628,0.4540217064488909,0.6710350406899814,0.5836749311294765,0.5828587196467991,0.5948682454368371,0.4273368298368298
"{'gmm__n_components': 29, 'pca__n_components': 100}",0.670985434274411,0.6253933645027873,0.5496622734761121,0.545590331998099,0.4490325208771811,0.5236716171617162,0.5807163710076331,0.5225979116501216,0.6820258718597583,0.6569394168602662,0.451060606060606,0.7097740738739713,0.7553542056896176,0.8457985680234565,0.7707703359102415,0.5317672618643492,0.4220176990718333,0.5679356045689526,0.3947872072525812,0.6881764727069715,0.6134103578493076,0.6732736917820537,0.5658547008547008,0.5349686520376176,0.4982583522492494,0.5040881542699724,0.618926600441501,0.6507329767500495,0.7702842297625693,0.6690924842971627,0.6830821042015597,0.6432453695378529,0.6461766347902823,0.672561629153269,0.6397994964934364,0.6965699624846692,0.4634743991640543,0.6667560962412524,0.529024864024864,0.6359740618101546,0.6260690081755593,0.6003498298125236,0.5675699735553636,0.709843885367549,0.6887564931429212,0.633094658407213,0.4810003885003885,0.5618786978392889,0.7774718720857632,0.5520165289256198,0.6736992814306553,0.6253663909368818,0.5342409240924092,0.401969696969697,0.5214801726312569,0.6591103218845532,0.569498942633271,0.57710511260207,0.4483516483516484,0.4116033550936597,0.6073817381738174,0.4678486561981708,0.6420390080501377,0.5378563184388427,0.6184077134986226,0.6041954022988505,0.4391977980295087,0.5866694214876033,0.52880355276907,0.5910919798597375,0.5057757776204378,0.4345629370629371,0.7236452098716339,0.6727425396653881,0.6557080339294397,0.3332770007770008,0.6322581370257148,0.7271366254768745,0.7088405603553072,0.8671616652611998,0.754858934169279,0.6587102139902895,0.804474898040948,0.5339303013641243,0.4124358974358975,0.4110344289209767,0.6654487906784087,0.6502202841215609,0.5863586358635864,0.6051018635698157,0.9253948447930308,0.4905385876259663,0.5515668797222195,0.8282191152248577,0.4783527152459191,0.7701124602070036,0.597900826446281,0.6016887417218544,0.6058275016232595,0.4779603729603729
"{'gmm__n_components': 29, 'pca__n_components': 150}",0.6893791584247437,0.6378034526164358,0.5569769357495882,0.5294647100472344,0.4296790588052724,0.5408058305830583,0.599926287304928,0.5076086431594345,0.5887623032872307,0.6694761107209105,0.46260710553814,0.715145334702037,0.7186809072614935,0.8489477280570048,0.7604490205468518,0.5325431849703695,0.3997128890478524,0.6116504411091592,0.4004222923890513,0.7025343526572657,0.6341665168135229,0.6926272253191872,0.5691491841491841,0.5836154649947753,0.4828957190316597,0.5174490358126722,0.6122792494481236,0.6388783834891134,0.7272063162676767,0.6294501686314551,0.7082140220073118,0.6784750944074807,0.700578097141931,0.716301359532151,0.6738513756518612,0.6875653812856215,0.5588610240334377,0.6903204133900873,0.5271561771561771,0.6515645695364238,0.6496880378657488,0.6415144884470617,0.649370303458749,0.7357077550517244,0.7193796748915048,0.7267588721211479,0.4956429681429681,0.5641879740401908,0.8947946950474097,0.5912286501377411,0.7195643560790246,0.6302800755259845,0.5563283828382838,0.4480944055944056,0.7302836362142116,0.6979387700053947,0.5905423741244636,0.53973578821449,0.442305267547986,0.4598551033454081,0.6154647964796479,0.4875338253979031,0.6467551821636321,0.5405545910400279,0.658137741046832,0.5300365726227795,0.4567474250367157,0.5991460055096419,0.5347283176593522,0.5926946592339507,0.5435341357671455,0.4756138306138306,0.7287368851653538,0.6695594035334163,0.6804437480865164,0.3432847707847707,0.695016633698975,0.7490557506117672,0.7558416002063721,0.8772993096072235,0.6053187042842215,0.6735187016723612,0.8007983225410262,0.5520488047547979,0.4356585081585081,0.4398884408307048,0.6781520701640643,0.6746875561949289,0.5897882288228823,0.6611392342241743,0.8436777984217635,0.5044043335305471,0.6029776049193525,0.8119844262042469,0.4882457348476766,0.8368378593938895,0.6230027548209367,0.6013438189845475,0.6155422588557824,0.512480574980575
"{'gmm__n_components': 29, 'pca__n_components': 200}",0.7102432116525804,0.6887879877719836,0.5549725425590335,0.5328981697913737,0.4402025159306713,0.5274037403740374,0.5977653414546619,0.5213398400940925,0.7045361933232658,0.7389783348641201,0.4869383490073145,0.7437012624488988,0.6908800153409421,0.7334126336621897,0.725672162550455,0.5331697428784807,0.3893539454257255,0.5926294991250869,0.3863026170505395,0.7333909629549589,0.6443467901456574,0.7290190613199066,0.5573484848484849,0.6355276907001046,0.4443493647120864,0.5215041322314049,0.5920778145695365,0.6658089758135681,0.6599367414423454,0.6940004331817198,0.7479874655572964,0.701261014206078,0.7007491850811317,0.5524741931134406,0.6616368458910269,0.7377083183031528,0.5916039707419017,0.7619918295938243,0.4763986013986014,0.6461175496688741,0.6737911467297764,0.6535581789039566,0.6331998010106563,0.6155849818568246,0.6092367743277183,0.6483865186904954,0.4468084693084693,0.6134855474756953,0.7421215016316872,0.6259669421487604,0.7108006015091757,0.6402513037223521,0.5576650165016502,0.4324553224553224,0.6069545604489051,0.7276658874303182,0.6096849902820052,0.5369896499713944,0.3851604705973638,0.4802801077039303,0.6058470847084708,0.4902786533854495,0.6831901597421074,0.5477318797707147,0.6589944903581268,0.5447021943573667,0.4493984457823122,0.5937961432506887,0.5838453500522466,0.6164426362165079,0.5077892980805603,0.4736052836052836,0.742281929808925,0.7565936391305131,0.6762520935760981,0.3325854700854701,0.6821052868189176,0.7550271305458027,0.7115902872659907,0.7971488446604826,0.619864158829676,0.6878978600971049,0.7821335095715378,0.5899143822166365,0.450019425019425,0.4488969718260037,0.6938246258576909,0.6817658694479409,0.6188476347634764,0.6860716146802651,0.8371852268286496,0.5183185746292542,0.6339602145427388,0.7072162924458416,0.5121208888199179,0.7058917630497032,0.6290275482093663,0.613907284768212,0.6777221160089459,0.4939763014763015
"{'gmm__n_components': 29, 'pca__n_components': 250}",0.715981837798957,0.6573480489120662,0.5534349258649094,0.5436873805805845,0.4311727107843612,0.5368481848184818,0.5603483894746031,0.5337891244665575,0.7141162921034098,0.7343724674482683,0.5113531870428423,0.739469087110775,0.8053138558156895,0.665536579847661,0.6665401017080568,0.5411830887559043,0.3922104064292345,0.6687052769873312,0.3937140421904965,0.7366551407423416,0.633694479410178,0.7377540010789426,0.5654273504273504,0.5475130616509927,0.4430114667377933,0.496305785123967,0.5955987858719647,0.6313009887081961,0.7345469114368778,0.6020297657724558,0.7713949970284727,0.7048462506743391,0.7053235362976569,0.5612486488092382,0.6874303182880777,0.7377105728302431,0.5444200626959247,0.7404746230430704,0.4854720279720279,0.6370088300220751,0.6945079424842227,0.6633079402813046,0.6417615793470007,0.749512320123458,0.6549041654383115,0.4935057819600108,0.4761266511266511,0.5976333828550577,0.7486425434916851,0.6317079889807162,0.7232179840437986,0.6244425463046215,0.5387348734873487,0.4338966588966588,0.7929475040720841,0.732620032368279,0.603811409781559,0.5338846413897124,0.383593105923203,0.5055169207523778,0.5882563256325632,0.4873301455825727,0.6983426981468475,0.5268285112945307,0.6574600550964188,0.5708516196447231,0.5194024334497214,0.5903636363636364,0.5545977011494253,0.5989412875382125,0.5103032889440656,0.4841122766122765,0.8095055270272432,0.7499797395861474,0.7135605201073352,0.3444269619269618,0.6875157345801115,0.7452046570303832,0.7940706801950036,0.706591068543365,0.780710553814002,0.6886688545225679,0.6775126214633935,0.5615217448223496,0.4490909090909091,0.466288297387032,0.70600788805446,0.6809162021219205,0.610475797579758,0.6599047122757389,0.7956096869808056,0.5189393131140704,0.6358185503816571,0.6063952552657441,0.5163613085943183,0.7199967091506181,0.622435261707989,0.6110402869757174,0.6578529687612726,0.4981759906759907
"{'gmm__n_components': 29, 'pca__n_components': 300}",0.7137003236827909,0.6858141521309118,0.5575700164744646,0.5373422693811043,0.555120607547792,0.5393921892189218,0.5666721627886676,0.5096027293672902,0.7416226927234395,0.6962513732058278,0.5126227795193312,0.7383435085634016,0.6872582289201871,0.5663448947270995,0.7505245034320769,0.5431558732529607,0.403984763099895,0.4898177920685959,0.4325649419832246,0.7316080465359196,0.6061342384463226,0.7257485164538751,0.5645454545454546,0.5762434691745036,0.4282707851788736,0.5004325068870523,0.5726103752759382,0.674874385434113,0.7808185716715349,0.6715739967201955,0.7067935418805266,0.7195940478331235,0.6873502980531994,0.7555024601384441,0.7067119223161302,0.7622984452781184,0.521974921630094,0.7411013815742009,0.498057498057498,0.6278835540838852,0.6913793567125646,0.6411362940551444,0.6484067761108057,0.7493388213727632,0.5784559060462502,0.7590159424805983,0.4595124320124319,0.6198608178903746,0.5797734699864282,0.6167851239669422,0.7150057629621627,0.6313253012048192,0.5387183718371837,0.4583896658896659,0.4510042952355188,0.6794214170113289,0.6247264903981322,0.5489311905133406,0.456826668477154,0.4929178854386611,0.5761221122112211,0.5385139132711949,0.6851306571577791,0.5161479297401628,0.6044077134986227,0.6625496342737722,0.4723129443574506,0.570099173553719,0.604221525600836,0.5948795180722892,0.516237160897355,0.504477466977467,0.5561912531965802,0.7045716498280117,0.6809480072757397,0.366567599067599,0.6831662470778637,0.7364746249601022,0.8543341015218808,0.6084483416632959,0.749644723092999,0.6794326559971229,0.6077604164883168,0.595344696672165,0.4604273504273504,0.4847896037490516,0.7066202027842311,0.6808442726128394,0.6047662266226623,0.5921610958088289,0.6516098880882679,0.5533515028660659,0.6474961931272611,0.5667165475574913,0.5286286529004975,0.8216759564602344,0.6159779614325069,0.6033995584988963,0.6402112942789121,0.5334110334110334
