params,mean,std
"{'gmm__n_components': 9, 'pca__n_components': 4}",0.5908854786467629,0.20884920374883892
"{'gmm__n_components': 8, 'pca__n_components': 4}",0.5875309507404564,0.21046764017871913
"{'gmm__n_components': 40, 'pca__n_components': 4}",0.5873341387861412,0.21893957350386978
"{'gmm__n_components': 15, 'pca__n_components': 4}",0.5866453800950826,0.21719076707068005
"{'gmm__n_components': 11, 'pca__n_components': 4}",0.5862542482319403,0.21249129301824873
"{'gmm__n_components': 20, 'pca__n_components': 4}",0.5852981217546828,0.215824116475109
"{'gmm__n_components': 10, 'pca__n_components': 4}",0.5848989339538615,0.21295621656793529
"{'gmm__n_components': 25, 'pca__n_components': 4}",0.5814233373143005,0.21865742090105972
"{'gmm__n_components': 12, 'pca__n_components': 4}",0.5806208921848662,0.21596624373164028
"{'gmm__n_components': 15, 'pca__n_components': 10}",0.5650783220706844,0.21057360078493345
"{'gmm__n_components': 40, 'pca__n_components': 10}",0.5640768690708192,0.21078876857138987
"{'gmm__n_components': 9, 'pca__n_components': 10}",0.5627811139322876,0.2076008310156328
"{'gmm__n_components': 20, 'pca__n_components': 10}",0.5622622150560319,0.20888810339417016
"{'gmm__n_components': 25, 'pca__n_components': 10}",0.5622545220085495,0.20979095597924563
"{'gmm__n_components': 8, 'pca__n_components': 10}",0.5622020951419888,0.20810869866525605
"{'gmm__n_components': 10, 'pca__n_components': 10}",0.5620023484682418,0.20912328201632513
"{'gmm__n_components': 11, 'pca__n_components': 10}",0.5616798991704857,0.20917748644677742
"{'gmm__n_components': 12, 'pca__n_components': 10}",0.5602158800992326,0.21026778960047654
"{'gmm__n_components': 20, 'pca__n_components': 20}",0.5497387199934054,0.20461992124355752
"{'gmm__n_components': 40, 'pca__n_components': 20}",0.5482240085388826,0.2055467251593284
"{'gmm__n_components': 15, 'pca__n_components': 20}",0.5472732360961399,0.20424283212884983
"{'gmm__n_components': 9, 'pca__n_components': 20}",0.5469314846852698,0.20325635529186342
"{'gmm__n_components': 10, 'pca__n_components': 20}",0.5467289437824726,0.20336258179855274
"{'gmm__n_components': 8, 'pca__n_components': 20}",0.5466506949095551,0.2013323177750273
"{'gmm__n_components': 12, 'pca__n_components': 20}",0.5461120630318775,0.2028428749975141
"{'gmm__n_components': 12, 'pca__n_components': 25}",0.5459120464681552,0.20419551062045407
"{'gmm__n_components': 11, 'pca__n_components': 20}",0.5451532352144178,0.20265036761875274
"{'gmm__n_components': 25, 'pca__n_components': 20}",0.5445569366654536,0.20282436452925004
"{'gmm__n_components': 20, 'pca__n_components': 25}",0.5443746726316997,0.20398055979764557
"{'gmm__n_components': 9, 'pca__n_components': 25}",0.54284281695894,0.201946299207099
"{'gmm__n_components': 10, 'pca__n_components': 25}",0.5421046765610901,0.20265527354457216
"{'gmm__n_components': 40, 'pca__n_components': 25}",0.5417198366696385,0.20091453956490446
"{'gmm__n_components': 11, 'pca__n_components': 25}",0.5414576036347042,0.20252967166364272
"{'gmm__n_components': 8, 'pca__n_components': 25}",0.5408589458106613,0.19991772758028808
"{'gmm__n_components': 25, 'pca__n_components': 25}",0.5406989942114048,0.20285524874651076
"{'gmm__n_components': 15, 'pca__n_components': 25}",0.5391411590009682,0.20148456296177458
"{'gmm__n_components': 11, 'pca__n_components': 42}",0.532951519013088,0.19975299382070777
"{'gmm__n_components': 10, 'pca__n_components': 42}",0.5325738449965259,0.1985611595637093
"{'gmm__n_components': 15, 'pca__n_components': 42}",0.5306533745179204,0.201303471551857
"{'gmm__n_components': 25, 'pca__n_components': 42}",0.5299603744112015,0.19640351636360673
"{'gmm__n_components': 40, 'pca__n_components': 42}",0.5295095711469697,0.1952352174298339
"{'gmm__n_components': 20, 'pca__n_components': 42}",0.5293499823401177,0.1965417832646764
"{'gmm__n_components': 8, 'pca__n_components': 42}",0.5293361826941088,0.19877650281523063
"{'gmm__n_components': 12, 'pca__n_components': 42}",0.528345553018194,0.2016196489830549
"{'gmm__n_components': 20, 'pca__n_components': 100}",0.5254603370487669,0.19437833756043923
"{'gmm__n_components': 9, 'pca__n_components': 42}",0.5249206362177575,0.19729180848681915
