params,mean,std
"{'gmm__n_components': 10, 'pca__n_components': 4}",0.6580511726170477,0.2594195196928499
"{'gmm__n_components': 9, 'pca__n_components': 4}",0.6569444765727688,0.2587854877961029
"{'gmm__n_components': 8, 'pca__n_components': 4}",0.6557516676749366,0.2577558557043645
"{'gmm__n_components': 7, 'pca__n_components': 4}",0.6542866434173067,0.2579709804097045
"{'gmm__n_components': 6, 'pca__n_components': 4}",0.6525695305778909,0.2565745590542945
"{'gmm__n_components': 5, 'pca__n_components': 4}",0.6516943575377959,0.2519851997253768
"{'gmm__n_components': 4, 'pca__n_components': 4}",0.646970189276357,0.2523660680748441
"{'gmm__n_components': 3, 'pca__n_components': 4}",0.6414364945270989,0.2500899401017869
"{'gmm__n_components': 2, 'pca__n_components': 4}",0.6327154948601049,0.2501979729072601
"{'gmm__n_components': 7, 'pca__n_components': 10}",0.6213698637796226,0.2609904405509962
"{'gmm__n_components': 6, 'pca__n_components': 10}",0.6207652474246017,0.2578916596189147
"{'gmm__n_components': 10, 'pca__n_components': 10}",0.6201292453620408,0.263528927480238
"{'gmm__n_components': 9, 'pca__n_components': 10}",0.6196664002377739,0.2636092917439739
"{'gmm__n_components': 8, 'pca__n_components': 10}",0.6188379903031956,0.262098003060135
"{'gmm__n_components': 5, 'pca__n_components': 10}",0.612907876737695,0.2559946384605995
"{'gmm__n_components': 4, 'pca__n_components': 10}",0.6123244736755104,0.2560590560407313
"{'gmm__n_components': 3, 'pca__n_components': 10}",0.6066500963777208,0.2559322540802726
"{'gmm__n_components': 2, 'pca__n_components': 10}",0.5999774516103037,0.2594109492871585
"{'gmm__n_components': 10, 'pca__n_components': 20}",0.5996415614405762,0.2559084867340886
"{'gmm__n_components': 9, 'pca__n_components': 20}",0.5956602217802183,0.2501250792996523
"{'gmm__n_components': 7, 'pca__n_components': 20}",0.5923040953786085,0.2548741917426377
"{'gmm__n_components': 5, 'pca__n_components': 20}",0.5893673500666522,0.2514972614636069
"{'gmm__n_components': 8, 'pca__n_components': 20}",0.5870063514340949,0.2510535671872053
"{'gmm__n_components': 9, 'pca__n_components': 25}",0.5866508625358172,0.2569765244542559
"{'gmm__n_components': 10, 'pca__n_components': 25}",0.5861967384580844,0.2560305618492534
"{'gmm__n_components': 6, 'pca__n_components': 20}",0.5852419792341546,0.2556048806387246
"{'gmm__n_components': 4, 'pca__n_components': 20}",0.5849452485554337,0.2518387724623948
"{'gmm__n_components': 7, 'pca__n_components': 25}",0.5825320264867959,0.2538835821606964
"{'gmm__n_components': 6, 'pca__n_components': 25}",0.5808549291499316,0.2541649020776537
"{'gmm__n_components': 8, 'pca__n_components': 25}",0.5808515615488261,0.2516046454228137
"{'gmm__n_components': 5, 'pca__n_components': 25}",0.5796410354041646,0.2523454461098616
"{'gmm__n_components': 8, 'pca__n_components': 42}",0.5791997562103935,0.243941651704632
"{'gmm__n_components': 3, 'pca__n_components': 20}",0.5779542409945647,0.2547227755224133
"{'gmm__n_components': 4, 'pca__n_components': 25}",0.5771524713090977,0.2508441444524137
"{'gmm__n_components': 9, 'pca__n_components': 42}",0.5754444463673085,0.2418082397840146
"{'gmm__n_components': 3, 'pca__n_components': 25}",0.572210812461832,0.2504834832320818
"{'gmm__n_components': 2, 'pca__n_components': 20}",0.5716161299599507,0.2520272060932439
"{'gmm__n_components': 10, 'pca__n_components': 42}",0.567530674234308,0.2521257520464864
"{'gmm__n_components': 7, 'pca__n_components': 42}",0.5635564934221576,0.2514855380938381
"{'gmm__n_components': 6, 'pca__n_components': 42}",0.5632484904089722,0.2523371515230688
"{'gmm__n_components': 5, 'pca__n_components': 42}",0.5630616039363979,0.2466085406415279
"{'gmm__n_components': 2, 'pca__n_components': 25}",0.561022747965592,0.2509346340773069
"{'gmm__n_components': 4, 'pca__n_components': 42}",0.5587152935325314,0.2501289865720917
"{'gmm__n_components': 6, 'pca__n_components': 300}",0.5555753921950722,0.2202683626701536
"{'gmm__n_components': 10, 'pca__n_components': 300}",0.5540466565097318,0.2222107771013565
"{'gmm__n_components': 6, 'pca__n_components': 250}",0.5540004160112906,0.2264930930596242
"{'gmm__n_components': 3, 'pca__n_components': 42}",0.5539427563337711,0.247285168582315
"{'gmm__n_components': 9, 'pca__n_components': 300}",0.5533568509407437,0.2202339009119119
"{'gmm__n_components': 4, 'pca__n_components': 300}",0.5533252599829986,0.2229241375577118
"{'gmm__n_components': 5, 'pca__n_components': 300}",0.5512983714533534,0.2205956671463985
"{'gmm__n_components': 7, 'pca__n_components': 300}",0.5509165802157597,0.2182998529584664
"{'gmm__n_components': 7, 'pca__n_components': 250}",0.5505153301972838,0.224188883476862
"{'gmm__n_components': 8, 'pca__n_components': 300}",0.5504677432973843,0.2210944047275454
"{'gmm__n_components': 3, 'pca__n_components': 300}",0.5504563671592057,0.2212409714344858
"{'gmm__n_components': 10, 'pca__n_components': 250}",0.550401344824056,0.2236634075372754
"{'gmm__n_components': 10, 'pca__n_components': 100}",0.5498958268369234,0.2508426828173743
"{'gmm__n_components': 9, 'pca__n_components': 250}",0.5496113010026923,0.2268352506344418
"{'gmm__n_components': 2, 'pca__n_components': 300}",0.5482749573848594,0.2173571068245407
"{'gmm__n_components': 5, 'pca__n_components': 250}",0.5477658790467228,0.228129848223428
"{'gmm__n_components': 9, 'pca__n_components': 100}",0.5469561072569677,0.2554352404803112
"{'gmm__n_components': 8, 'pca__n_components': 100}",0.5468122777613743,0.2521716776393108
"{'gmm__n_components': 2, 'pca__n_components': 42}",0.5456564543346992,0.2487582141247832
"{'gmm__n_components': 5, 'pca__n_components': 200}",0.5451938513631837,0.234427744976211
"{'gmm__n_components': 4, 'pca__n_components': 250}",0.5443280266727676,0.2255837268945369
"{'gmm__n_components': 9, 'pca__n_components': 200}",0.5442034938496267,0.2317974588248372
"{'gmm__n_components': 6, 'pca__n_components': 200}",0.544030738935302,0.2308263845988624
"{'gmm__n_components': 7, 'pca__n_components': 100}",0.5438445721606648,0.2500111686849924
"{'gmm__n_components': 8, 'pca__n_components': 250}",0.5432517888830298,0.2235001309592365
"{'gmm__n_components': 10, 'pca__n_components': 150}",0.5428012091817405,0.242870375802779
"{'gmm__n_components': 4, 'pca__n_components': 200}",0.5425141784991008,0.2332027268401013
"{'gmm__n_components': 7, 'pca__n_components': 200}",0.5422991609118254,0.2331428764887821
"{'gmm__n_components': 8, 'pca__n_components': 200}",0.5422822847765598,0.2319138668943566
"{'gmm__n_components': 6, 'pca__n_components': 100}",0.5422234421038125,0.2482137974918695
