params,mean,std
"{'gmm__n_components': 10, 'pca__n_components': 450}",0.624307214124625,0.1632119643485186
"{'gmm__n_components': 9, 'pca__n_components': 450}",0.6235038099163663,0.1647401093433886
"{'gmm__n_components': 10, 'pca__n_components': 500}",0.6231241095092083,0.1651458169150039
"{'gmm__n_components': 8, 'pca__n_components': 450}",0.6215751899427195,0.1651582170224994
"{'gmm__n_components': 9, 'pca__n_components': 500}",0.6215435885772972,0.1677684383914613
"{'gmm__n_components': 6, 'pca__n_components': 500}",0.620127072381416,0.170311619389878
"{'gmm__n_components': 8, 'pca__n_components': 500}",0.6200670432579237,0.1669464526777095
"{'gmm__n_components': 6, 'pca__n_components': 450}",0.6196958098771315,0.167734087455003
"{'gmm__n_components': 7, 'pca__n_components': 450}",0.6194026641754129,0.1649314908465316
"{'gmm__n_components': 5, 'pca__n_components': 450}",0.6190844133027743,0.1671401400340829
"{'gmm__n_components': 7, 'pca__n_components': 500}",0.6186553392200524,0.1686705497290094
"{'gmm__n_components': 8, 'pca__n_components': 350}",0.6176539413837915,0.1611382083185664
"{'gmm__n_components': 9, 'pca__n_components': 350}",0.6172210445790502,0.1589676367386157
"{'gmm__n_components': 4, 'pca__n_components': 450}",0.617194847817358,0.1694282730154382
"{'gmm__n_components': 10, 'pca__n_components': 300}",0.6169337549087277,0.1556556041624172
"{'gmm__n_components': 5, 'pca__n_components': 500}",0.616570560405637,0.1708587101782973
"{'gmm__n_components': 9, 'pca__n_components': 400}",0.6164672485788053,0.1669951476760893
"{'gmm__n_components': 3, 'pca__n_components': 450}",0.6164573942961565,0.1712199549356686
"{'gmm__n_components': 10, 'pca__n_components': 350}",0.6163521574499217,0.159701304364348
"{'gmm__n_components': 7, 'pca__n_components': 350}",0.616180960746012,0.1604391529779722
"{'gmm__n_components': 4, 'pca__n_components': 500}",0.6160839926573622,0.1706962274677903
"{'gmm__n_components': 8, 'pca__n_components': 400}",0.6160278016884311,0.1695002046525628
"{'gmm__n_components': 8, 'pca__n_components': 300}",0.6158847455855918,0.1564832196522296
"{'gmm__n_components': 6, 'pca__n_components': 350}",0.6158359136824285,0.1608616895788172
"{'gmm__n_components': 6, 'pca__n_components': 400}",0.615609743586205,0.170808872915276
"{'gmm__n_components': 10, 'pca__n_components': 400}",0.6155920986984075,0.1671470707613683
"{'gmm__n_components': 7, 'pca__n_components': 400}",0.6153823504508315,0.167265226543822
"{'gmm__n_components': 5, 'pca__n_components': 350}",0.6149335863898695,0.1633561505589842
"{'gmm__n_components': 6, 'pca__n_components': 300}",0.6147026966458115,0.1598283944515154
"{'gmm__n_components': 7, 'pca__n_components': 300}",0.6144851801456555,0.1580945149506631
"{'gmm__n_components': 3, 'pca__n_components': 500}",0.6143747790929145,0.174242861471698
"{'gmm__n_components': 5, 'pca__n_components': 400}",0.6141230830011124,0.1710410399398093
"{'gmm__n_components': 5, 'pca__n_components': 250}",0.6130500857202407,0.1579349089318849
"{'gmm__n_components': 9, 'pca__n_components': 300}",0.6129319465393033,0.1568660373674257
"{'gmm__n_components': 10, 'pca__n_components': 250}",0.6125921686812792,0.1552614892301671
"{'gmm__n_components': 4, 'pca__n_components': 350}",0.6125494270117566,0.1641837323256047
"{'gmm__n_components': 4, 'pca__n_components': 300}",0.6124353672184452,0.1605019827366696
"{'gmm__n_components': 3, 'pca__n_components': 350}",0.612406474672087,0.1655654628896324
"{'gmm__n_components': 2, 'pca__n_components': 450}",0.6122600684804668,0.170627424579151
"{'gmm__n_components': 5, 'pca__n_components': 300}",0.6120914684222359,0.1587331818043943
"{'gmm__n_components': 9, 'pca__n_components': 250}",0.6118187688542451,0.1563399324168383
"{'gmm__n_components': 3, 'pca__n_components': 400}",0.6114102849191817,0.1710770786348777
"{'gmm__n_components': 2, 'pca__n_components': 500}",0.6112018073124121,0.1750931923722479
"{'gmm__n_components': 7, 'pca__n_components': 250}",0.6110413776297121,0.1539354445382826
"{'gmm__n_components': 6, 'pca__n_components': 250}",0.6109658949463355,0.1556271323396218
"{'gmm__n_components': 4, 'pca__n_components': 400}",0.6107613246596555,0.1693092555581139
"{'gmm__n_components': 3, 'pca__n_components': 300}",0.6103050249868165,0.1627677517591237
"{'gmm__n_components': 8, 'pca__n_components': 250}",0.6100684155723637,0.1553640261422227
"{'gmm__n_components': 2, 'pca__n_components': 350}",0.6097592113851491,0.1661779469778508
"{'gmm__n_components': 4, 'pca__n_components': 250}",0.6096893379029167,0.157763507936897
"{'gmm__n_components': 2, 'pca__n_components': 400}",0.6092154984552897,0.170352141617362
"{'gmm__n_components': 2, 'pca__n_components': 300}",0.6074870474818256,0.1632371310617238
"{'gmm__n_components': 3, 'pca__n_components': 250}",0.6067428219782531,0.1587674110467888
"{'gmm__n_components': 8, 'pca__n_components': 200}",0.6064029837359391,0.1530758503684907
"{'gmm__n_components': 7, 'pca__n_components': 200}",0.6064018796248646,0.151073844752963
"{'gmm__n_components': 10, 'pca__n_components': 200}",0.6057777468720645,0.1503058633807339
"{'gmm__n_components': 9, 'pca__n_components': 200}",0.605404205922637,0.1506047153433542
"{'gmm__n_components': 6, 'pca__n_components': 200}",0.6045486185782505,0.1550723640252088
"{'gmm__n_components': 2, 'pca__n_components': 250}",0.6024371197760704,0.1600822564296201
"{'gmm__n_components': 5, 'pca__n_components': 200}",0.6018508848587973,0.156362042967257
"{'gmm__n_components': 4, 'pca__n_components': 200}",0.5995279569654081,0.1554384899332896
"{'gmm__n_components': 3, 'pca__n_components': 200}",0.594248397576262,0.1562122210384728
"{'gmm__n_components': 2, 'pca__n_components': 200}",0.5906771190376037,0.1571079430701289
"{'gmm__n_components': 10, 'pca__n_components': 150}",0.5810732020940481,0.1596143189681755
"{'gmm__n_components': 8, 'pca__n_components': 150}",0.5797252191763618,0.1564292608114765
"{'gmm__n_components': 9, 'pca__n_components': 150}",0.5796615431767911,0.158711230374285
"{'gmm__n_components': 7, 'pca__n_components': 150}",0.5781818229489506,0.1607285133337583
"{'gmm__n_components': 10, 'pca__n_components': 4}",0.5779005165947666,0.1359071492097786
"{'gmm__n_components': 6, 'pca__n_components': 150}",0.5768788790980369,0.1604405436200301
"{'gmm__n_components': 7, 'pca__n_components': 4}",0.5767904049859051,0.1346331824163987
"{'gmm__n_components': 9, 'pca__n_components': 4}",0.5767147612449905,0.134009458423006
"{'gmm__n_components': 8, 'pca__n_components': 4}",0.5764110458576654,0.1343242522572486
"{'gmm__n_components': 6, 'pca__n_components': 4}",0.5755732391649522,0.1322423030151504
"{'gmm__n_components': 5, 'pca__n_components': 4}",0.5755628552881573,0.1328313147930747
"{'gmm__n_components': 5, 'pca__n_components': 150}",0.5729206354374045,0.1605186242958006
"{'gmm__n_components': 4, 'pca__n_components': 4}",0.5727910196396848,0.1314831150462629
"{'gmm__n_components': 4, 'pca__n_components': 150}",0.5693751164248786,0.1590724315604843
"{'gmm__n_components': 3, 'pca__n_components': 150}",0.5688947609703476,0.1590381886552996
"{'gmm__n_components': 3, 'pca__n_components': 4}",0.5687559997021286,0.1313449948416195
"{'gmm__n_components': 2, 'pca__n_components': 150}",0.5638517852540119,0.1573989448667416
"{'gmm__n_components': 2, 'pca__n_components': 4}",0.554219055049152,0.1307495018826459
"{'gmm__n_components': 9, 'pca__n_components': 100}",0.5520040427863793,0.1534537644247295
"{'gmm__n_components': 10, 'pca__n_components': 100}",0.5500438287567581,0.1532207537825234
"{'gmm__n_components': 7, 'pca__n_components': 100}",0.5498668685643981,0.1528437286038961
"{'gmm__n_components': 8, 'pca__n_components': 100}",0.5480598138607065,0.1531459559574353
"{'gmm__n_components': 6, 'pca__n_components': 100}",0.5467788236266895,0.1537198421014699
"{'gmm__n_components': 5, 'pca__n_components': 100}",0.5461349361427803,0.1515954241500268
"{'gmm__n_components': 4, 'pca__n_components': 100}",0.5430440576171223,0.1492909598311451
"{'gmm__n_components': 3, 'pca__n_components': 100}",0.54092802960472,0.1504692311691133
"{'gmm__n_components': 2, 'pca__n_components': 100}",0.5354159619685275,0.1517173971857006
"{'gmm__n_components': 10, 'pca__n_components': 10}",0.5320011731486916,0.1346005244003218
"{'gmm__n_components': 9, 'pca__n_components': 10}",0.5312780923554253,0.1357652293972618
"{'gmm__n_components': 8, 'pca__n_components': 10}",0.5310190987424129,0.1359987810520984
"{'gmm__n_components': 7, 'pca__n_components': 10}",0.5301452559539895,0.1354918608949755
"{'gmm__n_components': 6, 'pca__n_components': 10}",0.5287051634494038,0.1347961837649851
"{'gmm__n_components': 5, 'pca__n_components': 10}",0.5269924082738682,0.1350911252814694
"{'gmm__n_components': 4, 'pca__n_components': 10}",0.5253877455260606,0.1342262908362301
"{'gmm__n_components': 3, 'pca__n_components': 10}",0.5224982264928638,0.1331713986918239
"{'gmm__n_components': 10, 'pca__n_components': 42}",0.519681402010743,0.1409208858342802
"{'gmm__n_components': 9, 'pca__n_components': 42}",0.518900316188326,0.139303578848546
"{'gmm__n_components': 8, 'pca__n_components': 42}",0.5175468492207199,0.1415427225266366
"{'gmm__n_components': 7, 'pca__n_components': 42}",0.5173449922852883,0.1401488979944238
"{'gmm__n_components': 10, 'pca__n_components': 25}",0.5169399433527977,0.1354110073669713
"{'gmm__n_components': 10, 'pca__n_components': 20}",0.5164800007191925,0.1345893661569621
"{'gmm__n_components': 9, 'pca__n_components': 20}",0.515584752190191,0.1351225403338035
"{'gmm__n_components': 8, 'pca__n_components': 20}",0.5155357314503406,0.134147984939507
"{'gmm__n_components': 6, 'pca__n_components': 42}",0.5151886234750342,0.1394561592217619
"{'gmm__n_components': 9, 'pca__n_components': 25}",0.514961231400927,0.1351754927309439
"{'gmm__n_components': 2, 'pca__n_components': 10}",0.5146741031041914,0.1311628612705268
"{'gmm__n_components': 8, 'pca__n_components': 25}",0.5145521673684865,0.1345398895681633
"{'gmm__n_components': 7, 'pca__n_components': 20}",0.5138935836707637,0.134372695768148
"{'gmm__n_components': 7, 'pca__n_components': 25}",0.5135667602846581,0.1357171270168157
"{'gmm__n_components': 6, 'pca__n_components': 20}",0.5133950630255749,0.1343099877511864
"{'gmm__n_components': 5, 'pca__n_components': 42}",0.5130413497158742,0.1400854673421711
"{'gmm__n_components': 6, 'pca__n_components': 25}",0.5124734391968381,0.135377724149969
"{'gmm__n_components': 5, 'pca__n_components': 20}",0.5119475655705074,0.1350163378443418
"{'gmm__n_components': 4, 'pca__n_components': 42}",0.5108541516692039,0.1389932482895177
"{'gmm__n_components': 4, 'pca__n_components': 20}",0.5096702027804215,0.1344587335627396
"{'gmm__n_components': 5, 'pca__n_components': 25}",0.5095798813115927,0.1359370749549034
"{'gmm__n_components': 3, 'pca__n_components': 42}",0.5077171083129218,0.1389778972549827
"{'gmm__n_components': 4, 'pca__n_components': 25}",0.507658339403955,0.1355792035584835
"{'gmm__n_components': 3, 'pca__n_components': 20}",0.5062833655233877,0.1336052912571566
"{'gmm__n_components': 3, 'pca__n_components': 25}",0.5046625418056812,0.1350765554503372
"{'gmm__n_components': 2, 'pca__n_components': 42}",0.5031681493283805,0.1398236440883877
"{'gmm__n_components': 2, 'pca__n_components': 20}",0.5017019711133244,0.1328552885578007
"{'gmm__n_components': 2, 'pca__n_components': 25}",0.5005502091873563,0.1342479016939804
