params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'gmm__n_components': 2, 'pca__n_components': 4}",0.549444072283679,0.4927315706432938,0.4839361609853413,0.6490917107583773,0.6346270876550988,0.5722344555174684,0.3449325784783187,0.5973865877712031,0.9245829799264914,0.6896873737224407,0.4150016705646508,0.5410864279398763,0.4578429614095117,0.4277186361603344,0.5024241877290977,0.4847715168320497,0.4484444819155214,0.5109441281286998,0.6517776515821517,0.3812132735249417,0.4965556769728524,0.5514228929608842,0.5191245542542248,0.5640493494768838,0.5207020343039489,0.3492018735216254,0.6535281655980756,0.5043512440830488,0.6233586136651434,0.6349316801619433,0.4003360824286377,0.5354609518069496,0.3967075144990486,0.5118673323681324,0.4931514108654721,0.5973113461508108,0.5952359319709597,0.4317569944044764,0.4748158645182735,0.7027633851468047,0.5016841653295134,0.353757225433526,0.8525373332448397,0.6679509586362615,0.7498354653415032,0.6534838478472329,0.5226215147145986,0.5782796677665264,0.547536786400929,0.2070433024789871,0.7047664594293002,0.5659404085032412,0.6544569537121954,0.7299776791110324,0.5895583765421062,0.5116380285858533,0.6042740124190779,0.7837601419878295,0.5237037637459134,0.3801398601398601,0.5729318497606917,0.4947064329750492,0.4496825989544435,0.7800499373047614,0.5756746462779838,0.6309064925529683,0.550455773278767,0.4178906529631334,0.5434973240941915,0.6904813886838486,0.2681952194147316,0.5542636620323862,0.531117721686788,0.4879964769805651,0.4649555186651343,0.4460347587664319,0.6813332107984394,0.6476553400516534,0.7997089318952759,0.5460185662473239,0.437715647858673,0.5053919625871909,0.553773500846476,0.5892642492236803,0.7056441529642123,0.3915787708891156,0.5920251981653488,0.6406507714980041,0.457671087001341,0.6083209880950255,0.4728676541775583,0.7306734800838574,0.3752094318237816,0.6150780254848742,0.6004697843262865,0.2817143301677348,0.8182983425414364,0.8615238552966357,0.4353526798555402,0.615666724586781
"{'gmm__n_components': 2, 'pca__n_components': 10}",0.5679173280064052,0.3994191031793713,0.308370196894787,0.6840917107583773,0.5660673372842795,0.4665455948786633,0.2772117750731577,0.5149161735700197,0.8951462688552945,0.6533662517370864,0.3514868025392582,0.4582089964633068,0.4378388390033142,0.3801580333625988,0.4787237923704812,0.5102666054755743,0.432931456032375,0.4470523140628626,0.6030982060567693,0.4018040967517644,0.4599055087741852,0.4929346757813352,0.4692938802678335,0.4799594541535453,0.5055145592341445,0.310023967291696,0.5965320560837097,0.3785116403545033,0.5789585971480482,0.5625,0.4463484201914786,0.5369514824173023,0.3703978463393891,0.4163919598988858,0.4708127817767589,0.6110580118587681,0.5325323360844899,0.4403581135091926,0.4730751062824752,0.6505440414507772,0.5496171762654837,0.2667329209343204,0.7554297471294883,0.6568147166766242,0.720513931295325,0.6425216300619463,0.4278898496382828,0.4692513368983957,0.5136902042525651,0.1468773273752527,0.6823954514054945,0.5031099482127983,0.5950449595732794,0.7257028662600021,0.6715537278741284,0.4856577473697648,0.6242819150237569,0.7219869844489519,0.5037772554105536,0.2809013209013208,0.460121431178527,0.4251709829321914,0.4515496639283047,0.7465869400033145,0.5432248538795394,0.5560346522970422,0.4976398261827972,0.4406638288080994,0.5705043202202154,0.6483997317724848,0.228137715942594,0.4832363896433547,0.5835634033808692,0.5202476475426292,0.4857191503852211,0.4132846924212388,0.6549030572456025,0.5848831468071101,0.6974414263160134,0.4946049680268602,0.4732199113105989,0.5187371195307546,0.5585315869197185,0.6299667768539852,0.6484343422428775,0.3390207941932079,0.5704863204292558,0.5185335194167651,0.456410431006274,0.5538383279490245,0.3588242283420907,0.6300372699743768,0.4220482432365841,0.5602711424983459,0.500811445654495,0.3180229670454613,0.7546906077348067,0.7438068133521404,0.2721323787912685,0.5926919167611072
"{'gmm__n_components': 2, 'pca__n_components': 20}",0.5691102541355108,0.3409195367263633,0.2541243819932344,0.6775132275132276,0.5346991783797376,0.4742503007877233,0.2431237945597233,0.5045611439842209,0.903623875334697,0.6792993505021534,0.331907784831273,0.4471982758620689,0.4161715389243363,0.3984009927157673,0.5170038767802179,0.5160466569223708,0.4463648371413316,0.4720060566036613,0.5723768118640439,0.3878241928636037,0.4383664374022412,0.4523591121206165,0.4359623205279883,0.4410148748233797,0.5181890706023135,0.2914297351065996,0.5733467085963564,0.3394985914012153,0.583918313788104,0.5702492408906882,0.4498566490518201,0.5457405132246923,0.3695799345931085,0.3746657964398003,0.4660353798497665,0.6174617816913388,0.4765376373004018,0.4150951239008793,0.4532794485557829,0.6285837651122625,0.5762168094505734,0.2261920697698002,0.6758253135992567,0.6161187451990597,0.7221030445159975,0.6179286335944301,0.4295082242857083,0.3839173967459324,0.5008625530618849,0.1389509522289605,0.6676762846059834,0.4774562705971824,0.5736245954692556,0.7139179203700271,0.6845342392276059,0.4600701396021812,0.634278220617235,0.6686908384043273,0.5092702169625247,0.2622222222222222,0.4204598921709552,0.4369254991410506,0.4694734876773712,0.7281051341302872,0.5365900680406457,0.5159265523389973,0.4776698195878617,0.4792976939203354,0.5922422991201093,0.6164242569162153,0.2182532914240231,0.4655384818907533,0.6140707156123644,0.5214716377507076,0.5085897927042098,0.4170856299369078,0.640462371922479,0.551029903276447,0.6236113568684254,0.4597897713816019,0.5006743214780767,0.5230788284717818,0.5504856099082241,0.6340215866973856,0.6522342667515943,0.2935822522029419,0.5802676150770194,0.4427415262094609,0.4761241400964264,0.5432532528959251,0.3054088664747973,0.5996316678313534,0.4600108411767605,0.5269364588537657,0.4494412413694925,0.3776427361781831,0.7439779005524861,0.7006301037347977,0.2646437246316597,0.5853313209937862
"{'gmm__n_components': 2, 'pca__n_components': 25}",0.5688889693560814,0.3217375889653667,0.2542631624598838,0.6682186948853616,0.5323986951445091,0.4939978661097364,0.233857492019154,0.5124506903353058,0.9134569009961916,0.696761380996028,0.3252923488138991,0.4402768567639257,0.4100355923366726,0.4198455808938357,0.5310977682111702,0.5121738778312128,0.4464210437568501,0.4891585009608463,0.5647337013694295,0.3829029221198752,0.4342471770478455,0.4401940871135184,0.425422480401792,0.4336963228282731,0.5233047467092142,0.2885317292479283,0.5754915904133682,0.3357220173906394,0.5920185725559287,0.5699329453441296,0.446930668258636,0.5491075361042212,0.3704132147448128,0.3696459789003115,0.4704021959661057,0.623378889568949,0.4573594953668874,0.40768345323741,0.445467905316748,0.6170639032815198,0.5819735086345861,0.2160308285163776,0.653102807460012,0.6047574894670278,0.7251906727593087,0.6087134592740491,0.4370662440677111,0.3689555125725338,0.5008946757276379,0.1392701351207575,0.6661884265901483,0.4678140730815196,0.5722568335388929,0.7064239034964022,0.6900411228321116,0.4499631505951034,0.6391384448261181,0.661354800540906,0.5167841992921023,0.2525563325563325,0.4123441761907982,0.4461802753659053,0.460604929051531,0.7218739153411028,0.553137064048489,0.5068603157121879,0.4770171016613816,0.4940941862248811,0.6027046612796897,0.6031627628127154,0.2135181891279452,0.4593663313944595,0.6238138172198158,0.5155524470089954,0.5161707742731877,0.4318191546216,0.6357320577243194,0.5531568086291588,0.597723852907732,0.4513994343749564,0.5144892858643016,0.5259164949270767,0.5502806736166801,0.633061621423086,0.662664252518342,0.278229954092023,0.588881280275939,0.4264624791388111,0.4975155714185737,0.5482178235493601,0.2912695059805138,0.5850221290472863,0.4671623219829497,0.5229170323759627,0.4304220940992241,0.3995087038998498,0.7476519337016575,0.6919221583177976,0.2783606059637572,0.5863715764983753
"{'gmm__n_components': 2, 'pca__n_components': 42}",0.5709167426075796,0.2909746024081309,0.2753577933905803,0.6294444444444444,0.5366305143051271,0.5426573744069374,0.2188009194599627,0.5443786982248521,0.9352641820086812,0.7304386820811528,0.3026060808553291,0.4546584880636605,0.3954248816898688,0.5069341015636177,0.5657679730718346,0.5074595926678673,0.4721917769721496,0.5419901714054532,0.557686399731886,0.3556261114085122,0.4311403226843222,0.4333944860622739,0.4114465637147811,0.415104796856762,0.5312026326286398,0.2762347854692419,0.587201820179708,0.3375834227397306,0.6124814182679073,0.5750569331983806,0.4281881766791224,0.5603896705996894,0.3750062841149296,0.3733052386994746,0.4829744938038058,0.6356068192300744,0.4188566285187487,0.3838752997601918,0.43041340821218,0.6086010362694301,0.5857184630788393,0.1981029645404455,0.6080706179066835,0.5793794275339267,0.7322614976402815,0.5989543336917013,0.461156906676531,0.3284787802935487,0.4968043896217615,0.119640387275242,0.6705457250650938,0.4599961974432333,0.576905642874461,0.6815405442429029,0.6794564634364385,0.4235282966676919,0.6583438538287263,0.634250338066261,0.5347856042798087,0.2428282828282828,0.3921006903226765,0.4770701756273559,0.4530433159073936,0.7107255762177105,0.607409706254379,0.4757053702538284,0.4795940952742318,0.5503304443421793,0.6272523078936438,0.5714727561936644,0.2046408875677168,0.4500584969387291,0.641026598155324,0.519910888331941,0.5434044183373772,0.4786753708298836,0.6278558158902835,0.5659182407454297,0.5552076089207848,0.4305100841936128,0.5371896921073633,0.5429890615091947,0.543223736968725,0.6331784867608268,0.6911588698325823,0.241377337929062,0.6126442141050678,0.3989232698632676,0.573276930089863,0.5939136487764827,0.2729979140812716,0.5551369962730026,0.4757798255556102,0.522784251770033,0.3925831020001424,0.4649031470477353,0.7801104972375692,0.6844834958070843,0.3392386301895235,0.5849864912866107
"{'gmm__n_components': 2, 'pca__n_components': 100}",0.6049020613683044,0.3052387396095109,0.4631104172087779,0.576084656084656,0.5954225733579968,0.6652856915847539,0.2527215931763766,0.7223865877712031,0.9478205192170168,0.746533219005943,0.3695289007684598,0.4930647656940761,0.4061004922219895,0.755247072075803,0.647093950955562,0.5199412256987161,0.5851108675491106,0.7052938761668481,0.5937049070445088,0.3145687581144358,0.4257836772299714,0.5029593552755149,0.4608515752640046,0.3687415028673232,0.5709014758675708,0.2622773626580196,0.6121401960751962,0.4171889672904008,0.6373843803336453,0.5857160931174089,0.3524517065764551,0.5804631539905886,0.3864221440488455,0.3961740939646233,0.4889938955419822,0.6711305113370314,0.3876550478454118,0.298705035971223,0.376283699854791,0.6191623488773748,0.600267985867817,0.2289477064530304,0.5571540452644853,0.5543500399593424,0.7602365550191401,0.6400322531101215,0.5765365101116888,0.3038172715894868,0.521365141910799,0.107511437386956,0.6978054094266433,0.4762204396479919,0.6065642031139643,0.5973496966131879,0.6818165564097981,0.4052428675607241,0.6918760979237926,0.5548935091277891,0.5979600659263462,0.3234809634809634,0.3952048161913354,0.5913767936620653,0.3942307692307692,0.6992551618037468,0.7429925658423733,0.4515533223201174,0.5298940293248773,0.7124111571304392,0.6548767009017021,0.575296037926123,0.2207467329418549,0.4958183990442054,0.654247430465725,0.5910512715898273,0.6151108840931341,0.5324492199395128,0.6452840680754026,0.6920544892895124,0.5798702127046701,0.4183268551154702,0.5247721258453396,0.6338538363982245,0.6197362559030563,0.6789500484156399,0.7323704262898394,0.2275605654915999,0.6303192821111104,0.337934181119038,0.6835119814334596,0.6794527638460028,0.3225780899321416,0.522787823200559,0.552813778150101,0.5047193378073647,0.3598476759911737,0.6116576605688503,0.7543425414364642,0.6820523013581838,0.5500974783470228,0.5862112710492203
"{'gmm__n_components': 2, 'pca__n_components': 150}",0.6419974371199182,0.3959980524475552,0.5886893919680806,0.580326278659612,0.6610839823504786,0.6786747179405689,0.3354283054003724,0.8329635108481263,0.9530925177534968,0.7287114514650661,0.4864016037420648,0.489997789566755,0.4324525348408128,0.8533123907252156,0.6990819769082917,0.5132396441146638,0.619396903015485,0.7736597235856522,0.5960136663656591,0.3084500889126809,0.4260407962117803,0.5648764933278005,0.5385073228545256,0.3529238149421326,0.6084662943757478,0.2625906605886868,0.6325627707913294,0.5145818050613977,0.6377892785699866,0.5985260627530364,0.3080755595846138,0.5702160458054197,0.4279408029861593,0.4189761361264523,0.4816746022839615,0.688535471956872,0.4024223746200654,0.2407098321342925,0.3429031298658129,0.6574093264248704,0.6084065760178559,0.3124875773248149,0.5765646777726157,0.551987395349198,0.7681727488951186,0.6667562586392258,0.6669384975598274,0.2969905563772898,0.5541469171758704,0.1583679114799446,0.7168818747011,0.4893867924528302,0.6282375636444135,0.5430100161967462,0.6714822099052388,0.4060494923293272,0.6903701991064919,0.4843052738336714,0.6338561508740644,0.3781818181818182,0.4336840822900314,0.6759053039676648,0.3887229275578789,0.6932170318416766,0.7756492544682533,0.4266195327249843,0.5922105229874155,0.7917817149869611,0.6692697935348264,0.6070648840279871,0.2424729741802912,0.5337959345661099,0.6415381839708535,0.6568941734180412,0.6716426169497298,0.5649846580562632,0.660549267854009,0.8001911682787259,0.6525329920621531,0.4451313522525158,0.5100518154924422,0.6756301521876983,0.6908847901630579,0.7139220007345822,0.7469555780980915,0.2679802955665025,0.6408016096443396,0.3121590232571757,0.7269426680512131,0.694574937083906,0.4346610162032759,0.5015868856277661,0.6301926772778792,0.5140162307411859,0.3561249911025695,0.7130705108641666,0.7423591160220994,0.6870559347284367,0.6655653744127329,0.589503491352732
"{'gmm__n_components': 2, 'pca__n_components': 200}",0.6790726960734023,0.4960892537296672,0.6357706652788621,0.6078395061728394,0.70463533996996,0.6673310481033347,0.4119903897313115,0.886094674556213,0.9522568145154584,0.6971679331381883,,0.5010637709991158,0.4722258108618296,0.8967497293072524,0.7342245383482497,0.4947454077756395,0.6713599190624737,0.8001008442358148,0.6202928772913039,0.3186347442452882,0.4185093527029632,0.6203543946243839,0.6025470889071116,0.3386085669794413,0.6306641404068608,0.2717389601641681,0.6612480902302283,0.5953354950167383,0.6387298353796179,0.6206983805668016,0.2854342170237542,0.559528500892464,0.4784244519144734,0.4597100421750812,0.4756525286207701,0.6983283381064203,0.427485641530714,0.2073796962430055,0.3217647264647737,0.6900604490500863,0.6019530765628962,0.3951593820775445,0.6002641534479326,0.5307943956052483,0.7580122130536383,0.7052360108534275,0.7289159412004557,0.2992661281146888,0.5798153065692041,,0.7244274403528349,0.4964260493245935,0.6419309952246924,0.5029814905841304,0.6646164848918291,0.4082856031986444,0.6802105811717385,0.4190753887762002,0.6512009942989923,,0.4950087939041721,0.7348948638771433,0.4064600448095594,0.6783687355574248,0.8120770970578415,0.4035884728340675,0.6599396066527541,0.8317801810093572,0.670591833001043,0.6154682198911148,0.271216588289759,0.5637926686592832,0.6316900373806997,0.6968972819646013,0.6793512961307624,0.6042041450764529,0.6646920895418545,0.8568295184078595,0.7073023528233744,0.4859336760519558,0.4777593924956045,0.7013375871908687,0.7661766016216698,0.731666750141908,0.7495266067454607,0.3222641360572395,0.6375406361710858,0.3014807784273347,0.7535422258285999,0.6924036625198566,0.536741214057508,0.4869591486140228,0.6717710540580496,0.5391230178556157,0.3634066481600113,0.7372044593648457,0.7270441988950279,0.6824178752868828,0.717896065709994,0.5909104888201365
"{'gmm__n_components': 2, 'pca__n_components': 250}",0.6989360225469073,0.5738084676820998,0.666657992887501,0.6073809523809524,0.7363017592009298,0.6531088965063223,0.4726801509710028,0.9167899408284024,0.9498993829932312,0.6614381597232489,,0.5045452033598585,0.5087718197998417,0.91513575297762,0.7434393319418656,0.477980462558379,0.7042969957564006,0.8059239295339746,0.6340151000307214,0.3445861714630289,0.418337940048424,0.64996250755309,0.6466704433775062,0.3297288129255244,0.6499700837654567,0.2784905305700456,0.6836687048543626,0.651632851534405,0.6281806878452532,0.637209008097166,0.2678857024933483,0.5477108880595285,0.5057539049425053,0.4876130715143162,0.4718980286537239,0.705985152864466,0.4656723252543093,0.1835779376498801,0.32687765706188,0.708894645941278,0.5755015018683131,0.4641124970422202,0.6086427291431605,0.5043654611618469,0.7359458243602934,0.748176163415758,0.761081662764352,0.2910171805666174,0.6042654141206479,,0.7102396514161222,0.5025531452576685,0.6398385039477984,0.4646250171234256,0.6623279098873591,0.4121523727728355,0.6640707955941144,0.3675498647734956,0.6601064548377509,,0.5506341347369048,0.7722797843839774,0.4385735623599701,0.6687416549666825,0.8299971316659379,0.388215859030837,0.7067591312753522,0.8515205552998926,0.6674182705854231,0.6153867813044728,0.3026810587786197,0.5822429751997784,0.6164434400963639,0.7209043280034713,0.684271910781935,0.6210882323806124,0.6601004059227968,0.8883374689826302,0.7578497172304911,0.5208939940651165,0.4476827043666629,0.7131232165504122,0.821411387329591,0.7390876990884503,0.7453586622315538,0.3760331760331761,0.6292030270573983,0.2977806622878503,0.7643159640850172,0.6872802398843415,0.5934262755349018,0.4642222804565571,0.7118587690336569,0.5639124818270611,0.3842123994590363,0.7397656619332293,0.7102983425414365,0.6695991405177983,0.7461508037968616,0.5893477990100273
"{'gmm__n_components': 2, 'pca__n_components': 300}",0.7078900093945448,0.6307382811967341,0.6825570300980137,0.6305379188712521,0.7462834489593658,0.635486141063767,0.5402991154562384,0.9314595660749508,0.9460035922766054,0.6222810285522801,,0.4869584438549956,0.5329957642903462,0.9206896603653106,0.7350214000572204,0.4650331473175547,0.7176741702498384,0.8019451930914262,0.6486775836227041,0.3854970803413755,0.419146793512031,0.670375870880381,0.6814203562627673,0.3239153718972946,0.6607897885919425,0.2804799724297821,0.6921129395770294,0.6869398161533664,0.6073152379379324,0.6588119939271255,0.2545308480922163,0.5384906928765154,0.5234825327653101,0.4994638386502207,0.4630566287787699,0.7133587391334085,0.5049299127407262,0.163216626698641,0.32797547192918,0.7180397236614853,0.5515780258991314,0.5165858770239665,0.6063250813035109,0.4677027645657622,0.6964554236038507,0.7804548712435366,0.7811537119629414,0.2924678575492092,0.6146695886395218,,0.6838833094213295,0.5083475174736537,0.628643412078471,0.4250880345530584,0.6496692293938853,0.4162744768061528,0.6463480424538689,0.320579783637593,0.6630812461160196,,0.5973197657325031,0.7976447930451998,0.4412808065720687,0.6610235740351031,0.8369751771548947,0.3796642280260122,0.7248534207839842,0.8621145881270134,0.6656508774202337,0.6179486313119237,0.3189006115835384,0.6016916570549788,0.5990942681810373,0.7338566053376334,0.6862639935299876,0.6233121721721967,0.6463739017290919,0.9038461538461536,0.7914706894967211,0.5425159169116315,0.417591764727061,0.7186955057070388,0.8523122159850308,0.7437477044308657,0.7405515975056423,0.4142082969669176,0.6190074857045869,0.2877514322243151,0.7663076681552433,0.6743721777000374,0.6447447169927565,0.4525317377125553,0.742152466367713,0.5748432513694406,0.4018008399174319,0.7300414699387825,0.6962983425414364,0.6548889441368525,0.7679775640001277,0.5894266062452236
