params,mean,std
{'pca__n_components': 4},0.8755764336425179,0.051322821661719656
{'pca__n_components': 10},0.8398303689876654,0.0660459803552205
{'pca__n_components': 20},0.7809639183590369,0.07959759721195588
{'pca__n_components': 25},0.7613464327720249,0.08408407446397516
{'pca__n_components': 42},0.7225740923715886,0.09071826386305996
{'pca__n_components': 200},0.6923733514768379,0.10919842430012923
{'pca__n_components': 100},0.6923179432693313,0.09922752690616544
{'pca__n_components': 150},0.6915501552786251,0.10414957650501083
{'pca__n_components': 250},0.6915306493929422,0.11302149724887099
{'pca__n_components': 300},0.6876032642456981,0.11456025010812462
{'pca__n_components': 350},0.6871909122548527,0.11774622236617384
{'pca__n_components': 400},0.6628954400436748,0.12486025298507007
{'pca__n_components': 450},0.661462805111238,0.12736449214495624
{'pca__n_components': 500},0.6593546201156116,0.12919724431589183
