params,mean,std
"{'pca__n_components': 4, 'svm__nu': 0.9}",0.9355137917105842,0.035326269852791976
"{'pca__n_components': 10, 'svm__nu': 0.9}",0.9255433347656741,0.03932869654840505
"{'pca__n_components': 20, 'svm__nu': 0.9}",0.9170870496674678,0.04535164687605643
"{'pca__n_components': 25, 'svm__nu': 0.9}",0.9152754316865856,0.04685165146753059
"{'pca__n_components': 4, 'svm__nu': 0.8}",0.9128102536802588,0.04674569494217877
"{'pca__n_components': 42, 'svm__nu': 0.9}",0.9122475085620222,0.04912468878620823
"{'pca__n_components': 100, 'svm__nu': 0.9}",0.9076114028618397,0.054802387658054605
"{'pca__n_components': 150, 'svm__nu': 0.9}",0.905832392761714,0.057572861120579695
"{'pca__n_components': 200, 'svm__nu': 0.9}",0.9047642846660326,0.059070310637785665
"{'pca__n_components': 250, 'svm__nu': 0.9}",0.9042289536443663,0.05930449764815093
"{'pca__n_components': 300, 'svm__nu': 0.9}",0.9036851093384053,0.0595799676294789
"{'pca__n_components': 350, 'svm__nu': 0.9}",0.9031281843504689,0.060174583010626
"{'pca__n_components': 400, 'svm__nu': 0.9}",0.9023122511781652,0.06056155176154637
"{'pca__n_components': 500, 'svm__nu': 0.9}",0.9019026608354072,0.060031171316287386
"{'pca__n_components': 450, 'svm__nu': 0.9}",0.9018373618943302,0.0608985839240361
"{'pca__n_components': 10, 'svm__nu': 0.8}",0.8987226017052593,0.05589855841639997
"{'pca__n_components': 4, 'svm__nu': 0.7}",0.8965416981998316,0.05499251894716493
"{'pca__n_components': 20, 'svm__nu': 0.8}",0.8801184465943719,0.06855792421758707
"{'pca__n_components': 10, 'svm__nu': 0.7}",0.8777505531668542,0.06990775276034972
"{'pca__n_components': 25, 'svm__nu': 0.8}",0.8754753932588448,0.07292609952627228
"{'pca__n_components': 42, 'svm__nu': 0.8}",0.8683587073734712,0.08022733000341743
"{'pca__n_components': 250, 'svm__nu': 0.8}",0.8673327884185836,0.08750189107644069
"{'pca__n_components': 300, 'svm__nu': 0.8}",0.8671785855412201,0.08675835264358496
"{'pca__n_components': 200, 'svm__nu': 0.8}",0.8670806092901218,0.08787978433493936
"{'pca__n_components': 150, 'svm__nu': 0.8}",0.8658351090347277,0.08845420478620827
"{'pca__n_components': 350, 'svm__nu': 0.8}",0.8658114578976986,0.08732380672892048
"{'pca__n_components': 400, 'svm__nu': 0.8}",0.8648959510440996,0.08620279932191183
"{'pca__n_components': 100, 'svm__nu': 0.8}",0.8646401661386216,0.08771495771198816
"{'pca__n_components': 450, 'svm__nu': 0.8}",0.8635925754748484,0.08477879333270347
"{'pca__n_components': 4, 'svm__nu': 0.5}",0.8634404248152296,0.05435726085331093
"{'pca__n_components': 500, 'svm__nu': 0.8}",0.8610230079422876,0.0843082008356232
"{'pca__n_components': 4, 'svm__nu': 0.01}",0.8594248178984961,0.05376989755066441
"{'pca__n_components': 4, 'svm__nu': 0.1}",0.8569405239855133,0.055543877811033406
"{'pca__n_components': 4, 'svm__nu': 0.2}",0.8569120913263479,0.05559388379941075
"{'pca__n_components': 4, 'svm__nu': 0.25}",0.8569101643166956,0.05556456469877432
"{'pca__n_components': 4, 'svm__nu': 0.15}",0.8568422230497765,0.0558136921284129
"{'pca__n_components': 4, 'svm__nu': 0.05}",0.8567317775115371,0.055566929907489335
"{'pca__n_components': 20, 'svm__nu': 0.7}",0.8490940795529989,0.08926342016750864
"{'pca__n_components': 25, 'svm__nu': 0.7}",0.8407627697753058,0.09550156299753923
"{'pca__n_components': 200, 'svm__nu': 0.7}",0.8297300388753299,0.10762347826807876
"{'pca__n_components': 250, 'svm__nu': 0.7}",0.8296361741253605,0.10649925523286764
"{'pca__n_components': 150, 'svm__nu': 0.7}",0.8289740621641966,0.1093509769119168
"{'pca__n_components': 42, 'svm__nu': 0.7}",0.8281423047244477,0.10667537722650994
"{'pca__n_components': 300, 'svm__nu': 0.7}",0.827949014890417,0.10403376525480193
"{'pca__n_components': 100, 'svm__nu': 0.7}",0.8265761519586178,0.1109888276954644
"{'pca__n_components': 10, 'svm__nu': 0.5}",0.8250862003359133,0.06902461027760563
"{'pca__n_components': 350, 'svm__nu': 0.7}",0.8239044511436293,0.09988635640664321
"{'pca__n_components': 400, 'svm__nu': 0.7}",0.8175587240561338,0.0958006264122602
"{'pca__n_components': 10, 'svm__nu': 0.01}",0.8115877192853023,0.07971639756341185
"{'pca__n_components': 10, 'svm__nu': 0.15}",0.8115092470919539,0.07996203325748774
"{'pca__n_components': 10, 'svm__nu': 0.1}",0.811504297003336,0.0799563662421688
"{'pca__n_components': 10, 'svm__nu': 0.25}",0.8115014410061785,0.07998316713634437
"{'pca__n_components': 10, 'svm__nu': 0.2}",0.8114891509866783,0.0799483794089049
"{'pca__n_components': 10, 'svm__nu': 0.05}",0.8114295316671182,0.07999816779642367
"{'pca__n_components': 450, 'svm__nu': 0.7}",0.8109600884793057,0.0929995784743012
"{'pca__n_components': 500, 'svm__nu': 0.7}",0.804745815196672,0.09172605082048076
