params,mean,std
"{'pca__n_components': 450, 'svm__nu': 0.9}",0.6516721904074001,0.11596891487426701
"{'pca__n_components': 400, 'svm__nu': 0.9}",0.6515087537307432,0.11607160547582733
"{'pca__n_components': 500, 'svm__nu': 0.9}",0.6513995382872158,0.1158721408582775
"{'pca__n_components': 350, 'svm__nu': 0.9}",0.6508986796699457,0.11622262660302761
"{'pca__n_components': 300, 'svm__nu': 0.9}",0.6497956012891909,0.1164513321712317
"{'pca__n_components': 400, 'svm__nu': 0.8}",0.6483197348197496,0.11628624979757166
"{'pca__n_components': 350, 'svm__nu': 0.8}",0.6482014174227183,0.11677381928583905
"{'pca__n_components': 250, 'svm__nu': 0.9}",0.6479399239590278,0.11671052380018683
"{'pca__n_components': 450, 'svm__nu': 0.8}",0.6477948222822026,0.11585288141873254
"{'pca__n_components': 300, 'svm__nu': 0.8}",0.6475751832915516,0.11739366510825731
"{'pca__n_components': 500, 'svm__nu': 0.8}",0.6466232787242473,0.11561882636623187
"{'pca__n_components': 250, 'svm__nu': 0.8}",0.6461914621524678,0.11807423918286986
"{'pca__n_components': 200, 'svm__nu': 0.9}",0.6452255947900464,0.11705500563179728
"{'pca__n_components': 4, 'svm__nu': 0.9}",0.6445567943770526,0.10199784934366432
"{'pca__n_components': 200, 'svm__nu': 0.8}",0.6438151215299424,0.11883294403159561
"{'pca__n_components': 4, 'svm__nu': 0.8}",0.643232708908961,0.10248185090251151
"{'pca__n_components': 150, 'svm__nu': 0.9}",0.6412234608778915,0.11741816110342974
"{'pca__n_components': 4, 'svm__nu': 0.7}",0.6411662535975573,0.10220872127071852
"{'pca__n_components': 150, 'svm__nu': 0.8}",0.6401159672160034,0.119646231564549
"{'pca__n_components': 250, 'svm__nu': 0.7}",0.6396848559702288,0.11880110547116383
"{'pca__n_components': 200, 'svm__nu': 0.7}",0.6393006886606853,0.11965869646326857
"{'pca__n_components': 300, 'svm__nu': 0.7}",0.6383326023238554,0.11780891154213984
"{'pca__n_components': 150, 'svm__nu': 0.7}",0.6375866211474432,0.12064942220628339
"{'pca__n_components': 350, 'svm__nu': 0.7}",0.6358341880242475,0.11729966209609646
"{'pca__n_components': 100, 'svm__nu': 0.9}",0.6351728220711444,0.11767992073763002
"{'pca__n_components': 100, 'svm__nu': 0.8}",0.6345237974120885,0.12003491345010724
"{'pca__n_components': 400, 'svm__nu': 0.7}",0.6331683765123375,0.11756515615218993
"{'pca__n_components': 100, 'svm__nu': 0.7}",0.6330450266662214,0.12133024213776944
"{'pca__n_components': 450, 'svm__nu': 0.7}",0.6310216497447223,0.1182719296509818
"{'pca__n_components': 500, 'svm__nu': 0.7}",0.629133720647753,0.11908674740137125
"{'pca__n_components': 4, 'svm__nu': 0.5}",0.628575595529298,0.10139054997044815
"{'pca__n_components': 10, 'svm__nu': 0.9}",0.6256163953225958,0.10935956196867572
"{'pca__n_components': 10, 'svm__nu': 0.8}",0.6245659267220088,0.10963792767895962
"{'pca__n_components': 42, 'svm__nu': 0.9}",0.6245603164933258,0.11632080988340561
"{'pca__n_components': 42, 'svm__nu': 0.8}",0.6235429067481619,0.1179859649062477
"{'pca__n_components': 10, 'svm__nu': 0.7}",0.6235081794618043,0.10957523436355
"{'pca__n_components': 42, 'svm__nu': 0.7}",0.6231932392928028,0.11939015017247075
"{'pca__n_components': 25, 'svm__nu': 0.9}",0.6207541981429516,0.11413932474944401
"{'pca__n_components': 20, 'svm__nu': 0.9}",0.6205167761297017,0.11287842069674112
"{'pca__n_components': 25, 'svm__nu': 0.8}",0.6196193120505097,0.11517089212364144
"{'pca__n_components': 20, 'svm__nu': 0.8}",0.6193736042844038,0.11363300104365286
"{'pca__n_components': 25, 'svm__nu': 0.7}",0.6188758633194007,0.11583319350436175
"{'pca__n_components': 20, 'svm__nu': 0.7}",0.6184599616651465,0.1141360514158589
"{'pca__n_components': 10, 'svm__nu': 0.5}",0.6075812435715666,0.10855488097000154
"{'pca__n_components': 20, 'svm__nu': 0.5}",0.595598256440343,0.11420397716963489
"{'pca__n_components': 150, 'svm__nu': 0.5}",0.5937335520657584,0.13625093154589285
"{'pca__n_components': 25, 'svm__nu': 0.5}",0.5937228986378668,0.1171995924293671
"{'pca__n_components': 100, 'svm__nu': 0.5}",0.5935383629097492,0.13226642101246766
"{'pca__n_components': 250, 'svm__nu': 0.5}",0.5935125241968222,0.1410442477467181
"{'pca__n_components': 42, 'svm__nu': 0.5}",0.5934915384668207,0.12394829301364337
"{'pca__n_components': 200, 'svm__nu': 0.5}",0.5934161280498806,0.1392099378139864
"{'pca__n_components': 300, 'svm__nu': 0.5}",0.5932012476724855,0.14256815338700443
"{'pca__n_components': 400, 'svm__nu': 0.5}",0.592916426248625,0.14538383781456965
"{'pca__n_components': 350, 'svm__nu': 0.5}",0.592830456277583,0.14422235673706876
"{'pca__n_components': 450, 'svm__nu': 0.5}",0.5928078873249082,0.1464425486061538
"{'pca__n_components': 500, 'svm__nu': 0.5}",0.592577893918005,0.14737189017904748
