params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'pca__n_components': 4, 'svm__nu': 0.01}",0.8368254550456192,0.8130044073035315,0.8187272337690165,0.8417275574112735,0.7911954765751211,0.8012854847348688,0.9044662049199904,0.8611294089466435,0.8773363178511472,0.7829376854599407,0.8819636507309364,0.9228450382923252,0.8696418085731062,0.9002716137959309,0.833225737034646,0.8457658614281922,0.8766692217694759,0.9636308531595696,0.8151990349819059,0.910101323407775,0.8725359911406423,0.8553763972697597,0.7968303694830923,0.7100977198697068,0.8674602049974021,0.9546049759930162,0.8834906318285369,0.7735998312414303,0.7795516852120625,0.9519085786842314,0.825804010594022,0.9162752141475544,0.8594842272219938,0.8538356504468719,0.9360423178648714,0.7508253692441356,0.8071702769399507,0.8121570282819756,0.8193468118195957,0.8767112692396937,0.923535510627268,0.9050768976351912,0.8626962204406118,0.8540290620871862,0.8269853258523954,0.833026920551543,0.8904685913245322,0.8481338481338482,0.8453038674033149,0.9419746225803464,0.8831639210188106,0.872891372085527,0.8116247139588101,0.822673709874035,0.8321763985300122,0.8276002649951587,0.9164511122607346,0.9571320659700364,0.8822146216331765,0.8900758378863247,0.8811843842333564,0.837940824865511,0.944243913677905,0.9006688963210703,0.8592714051472161,0.84925283266736,0.8128855380397533,0.8399493475747398,0.8083811141785234,0.892791708108674,0.8409819591328899,0.8648354905641735,0.9189458241643088,0.8939544926092011,0.8204165884781385,0.8155292690324537,0.8086029067041726,0.7948562986838571,0.8156776058493453,0.8193395694804463,0.7742404948153538,0.9137880346905776,0.9597328366835784,0.8846027307122882,0.8000143667839954,0.8211978860833823,0.939492043226483,0.937472823723802,0.8089111720745435,0.831379264918983,0.9246785058175138,0.8402941584570557,0.9244207772795217,0.9059133232584214,0.8583639705882353,0.8743757870511095,0.7233322045377583,0.8610479461996227,0.8987624038354332,0.9624582680384276
"{'pca__n_components': 4, 'svm__nu': 0.05}",0.8321489156847462,0.806822734817698,0.8186558102992644,0.8389874739039666,0.7884491114701131,0.800615961435458,0.8996895151659899,0.8566381220432361,0.8716284275321768,0.7789317507418397,0.8822599762939549,0.9199120091249796,0.8650345544062514,0.8971967406344489,0.8170862922315473,0.842580302628086,0.871868318069956,0.96393392938324,0.8136308805790109,0.9072063688999172,0.8725359911406423,0.8533979622118903,0.7936054547129826,0.6803745928338762,0.8625005904303056,0.955081147573509,0.8832581709981868,0.7683788629891362,0.7763263989679084,0.9525434489326244,0.8219447597427166,0.912314635718891,0.8571932091875698,0.8514150943396226,0.9386871844193316,0.739357080799305,0.8093638607074307,0.8147600956803152,0.815800933125972,0.8747776316807178,0.9224987039917056,0.8998401411168072,0.8581149363336252,0.8485799207397622,0.8229930945187742,0.8279711096520026,0.8899366507084482,0.8449829139484312,0.8416755999010472,0.9433175882189496,0.883397593176773,0.8667669496078221,0.808695652173913,0.8259244209670865,0.8260968195635406,0.8229118891097182,0.919727539230902,0.9592723152461288,0.8818939717828131,0.8890972845143928,0.8785440372163199,0.8345786013150029,0.9461638891022196,0.9008026755852844,0.8621943394881301,0.8442169795829,0.8086485139261013,0.8412156582062434,0.8056204431230977,0.8926346647123489,0.8371536584198689,0.862315976682146,0.916273708477418,0.8879754193655539,0.818446237568024,0.813466787989081,0.8109470229723394,0.7917673918882622,0.8123618432239416,0.8157331229572862,0.7755139166818265,0.9098926943995296,0.9601181683899556,0.8729231781543016,0.797859349184685,0.8229007633587786,0.936710592312252,0.9400817462388034,0.8034244631539117,0.8278224212883678,0.9252398448662992,0.8379353406410435,0.9249813153961136,0.9056695753912152,0.8527113970588235,0.8705545182161623,0.7216390111750762,0.857419323624752,0.8951945590366819,0.9629352047421136
"{'pca__n_components': 4, 'svm__nu': 0.1}",0.8321947641098528,0.8069944479423043,0.8205128205128205,0.8389222338204593,0.7905492730210016,0.8013524370648099,0.90048563012499,0.8574764955985388,0.8728595411303861,0.7756676557863501,0.8815191623864085,0.9204823203519636,0.8657120917837301,0.8971967406344489,0.8181622552184205,0.8426687903725334,0.8723120990841974,0.9644643127746628,0.813751507840772,0.9073097601323408,0.8727574750830565,0.8538925709763577,0.794618999355017,0.678542345276873,0.8630201690992395,0.9549224237133448,0.8824678041749965,0.7696445522624196,0.7768101919045315,0.9530196016189192,0.8216420734014378,0.9130514875195728,0.8566057686659225,0.8516633565044687,0.9389276268333734,0.7379669852302346,0.8107348505621058,0.8157450401013085,0.815552099533437,0.8750096681877949,0.9221099015033696,0.9004465023978833,0.8583170518089335,0.8485799207397622,0.8231009926629262,0.8278397898883783,0.888679336524977,0.8450716726578795,0.8420054424012534,0.9436417523386126,0.8830470849398294,0.8674116256581068,0.8087871853546911,0.827143437626981,0.8269134794247085,0.8233705345767721,0.9186066563200552,0.959335263754249,0.8813061137238136,0.8885264617140993,0.8782297101904821,0.8347280334728033,0.9463174871361648,0.9010702341137125,0.8623369216511014,0.8444906672505337,0.8086485139261013,0.8423718548697903,0.8051249380618674,0.8922158823221483,0.8371058046609561,0.8625629878470507,0.9161165252017184,0.8878093339976748,0.8193844999061738,0.8143160448892933,0.8112986404125645,0.7931103948428686,0.8116816867879613,0.8147188098726473,0.7769692559577952,0.910480670292518,0.9605677220473958,0.8724296759335417,0.7994396954241793,0.8223722842043453,0.936984177648078,0.9405165666579702,0.8039920537319081,0.8287445659333421,0.9252398448662992,0.8375884556681005,0.9251681614349776,0.9059133232584214,0.853125,0.8705979417256503,0.7226549271926854,0.857419323624752,0.8956405396365258,0.9631396061865504
"{'pca__n_components': 4, 'svm__nu': 0.15}",0.8322406125349594,0.8068799725259,0.8203699735733162,0.8392484342379958,0.7898222940226172,0.801553294054633,0.9010429105962902,0.85693754117013,0.8729714605484051,0.773813056379822,0.8814697747925722,0.9207267394492424,0.8655765843082344,0.8978629631527699,0.8161179255433613,0.8422263516502965,0.8729979424698431,0.9643885437187452,0.8132689987937274,0.9077233250620348,0.8727574750830565,0.8533979622118903,0.7947111397770201,0.6767779587404995,0.8640120920126588,0.9549224237133448,0.8828397415035566,0.7690117076257779,0.7760038703434929,0.9531783191810174,0.8214907302307983,0.9135120198949986,0.8564882805615931,0.8517874875868917,0.9389276268333734,0.7375325803649001,0.810117905127502,0.8158857464471647,0.8152410575427683,0.875241704694872,0.9221099015033696,0.9003913786450581,0.8589907700599609,0.8488276089828269,0.823424687095382,0.8279711096520026,0.8888244112384545,0.8451604313673279,0.8414282180258926,0.9433638973789016,0.8831639210188106,0.8685935317502955,0.8092448512585813,0.8260869565217391,0.8270042194092827,0.82311573153952,0.918692878082428,0.9593982122623694,0.881412997007268,0.8884449155997717,0.8780411139749795,0.8348027495517035,0.9460870900852468,0.9010033444816054,0.8621230484066443,0.8441622420493733,0.8084615863916755,0.8416010570940924,0.8054788702484604,0.8918494477307229,0.8370100971431306,0.8627111945459934,0.9167976527297496,0.8868958644743398,0.8190091949709138,0.8138307552320291,0.8114158462259728,0.7928417942519473,0.8112565890154736,0.8149442127803449,0.7758777515008186,0.9112156401587534,0.9606319439984586,0.8721006744530351,0.7984340205445011,0.8222548443922489,0.937348958095846,0.9400817462388034,0.803897455302242,0.8279541562376499,0.9254439681567668,0.8385597335923408,0.9252615844544096,0.9063033198459514,0.8527113970588235,0.8705979417256503,0.7213003725025398,0.8577096134307417,0.8961422678113502,0.9633440076309872
"{'pca__n_components': 4, 'svm__nu': 0.2}",0.832057218834533,0.8067082594012935,0.8196557388757946,0.8391179540709812,0.7900646203554119,0.8007498660953402,0.90032640713319,0.8572968441224026,0.8728595411303861,0.7744807121661721,0.8813216120110628,0.9208082124816686,0.8659831067347216,0.8977092194946958,0.8167635033354853,0.8424918148836387,0.8727962238270061,0.9643885437187452,0.8141133896260555,0.9077233250620348,0.8724252491694352,0.85310119695321,0.7948954206210265,0.6799674267100977,0.8633980444948278,0.9549224237133448,0.8823283276767865,0.7697500263685265,0.7774552491533624,0.9531783191810174,0.822096102913356,0.9133278069448282,0.8570757210832404,0.8512909632571996,0.9389276268333734,0.7380538662033015,0.8089525637510282,0.8148304488532433,0.816049766718507,0.8748549771830768,0.9223691031622604,0.9005567499035334,0.85872128275955,0.8488276089828269,0.8234786361674579,0.8279711096520026,0.8883891870980222,0.8451604313673279,0.8414282180258926,0.943502824858757,0.8835144292557542,0.8681637477167723,0.8089702517162471,0.8264120276310443,0.8273671793475795,0.8232176527544208,0.9186066563200552,0.95952410927861,0.880932022231723,0.888608007828427,0.8781039793801471,0.8347280334728033,0.9464710851701098,0.9010033444816054,0.8618378840807015,0.8443264546499535,0.8087731322823852,0.8412707151902219,0.8063283074962837,0.8920588389258232,0.8374886347322582,0.8625135856140698,0.9165880750288168,0.8868128217904002,0.8194783261399887,0.8141947224749773,0.8108298171589311,0.793177544990599,0.8119367454514539,0.8156767722303617,0.7758777515008186,0.9109216522122592,0.9606319439984586,0.8724296759335417,0.7985776883844551,0.8220199647680564,0.93707537276002,0.9402556744064702,0.8039920537319081,0.828415228560137,0.9254439681567668,0.8386291105869293,0.9251681614349776,0.905620825817774,0.8530330882352941,0.8705979417256503,0.7219776498476126,0.8579515216023997,0.8956962872115063,0.963275873816175
"{'pca__n_components': 4, 'svm__nu': 0.25}",0.8322406125349594,0.8067082594012935,0.8201557031640597,0.839705114822547,0.7896607431340872,0.801486341724692,0.9004060186290901,0.8574166117731601,0.8724678231673195,0.774406528189911,0.8811240616357171,0.9207267394492424,0.8658927684177243,0.8974017321785477,0.8164407144394232,0.8427572781169808,0.87227175535563,0.9642370056069102,0.8139927623642943,0.907464846980976,0.8723145071982281,0.8532001187061035,0.7949875610430296,0.679085233441911,0.8633035756459307,0.9549224237133448,0.8824678041749965,0.7694336040502057,0.77761651346557,0.9530196016189192,0.8219447597427166,0.9130514875195728,0.8566057686659225,0.8520978152929494,0.9389276268333734,0.738401390095569,0.8103235536057033,0.8150415083720276,0.8157387247278383,0.8748549771830768,0.9222395023328148,0.900336254892233,0.8583170518089335,0.84915785997358,0.8234786361674579,0.8277084701247538,0.8888244112384545,0.8451160520126038,0.8420054424012534,0.9436417523386126,0.8835144292557542,0.8677339636832492,0.8089702517162471,0.8261682242990654,0.8270042194092827,0.8229628497171686,0.9183479910329369,0.95952410927861,0.8811992304403591,0.888363369485444,0.8782297101904821,0.8353257621040048,0.9465478841870824,0.9011371237458194,0.8619091751621872,0.8443264546499535,0.8083992772135336,0.8416010570940924,0.8057620159977348,0.8922682301209234,0.8373450734555199,0.862365378915127,0.9163261029026512,0.8873110778940375,0.8195721523738038,0.8141340612678192,0.8115330520393812,0.7930432446951383,0.8114266281244686,0.8153950185957399,0.7755139166818265,0.9108481552256358,0.9605035000963328,0.872347425563415,0.7985776883844551,0.8220786846741045,0.9370297752040492,0.9401687103226368,0.8042758490209062,0.828546963509419,0.925290875688916,0.838698487581518,0.9251681614349776,0.9057183249646564,0.8534007352941176,0.8707282122541143,0.7229935658652218,0.8575160868934153,0.8955290444865648,0.9632077400013628
"{'pca__n_components': 4, 'svm__nu': 0.5}",0.8632341479070194,0.8375593841222597,0.8200128562245554,0.8402270354906054,0.7890953150242326,0.8012854847348688,0.90016718414139,0.8576561470746751,0.872299944040291,0.7753709198813057,0.8815191623864085,0.9207267394492424,0.8959302588192782,0.897350484292523,0.8170862922315473,0.8728431112290947,0.872070036712793,0.9659039248370964,0.8139927623642943,0.907258064516129,0.8725359911406423,0.8532001187061035,0.7950797014650327,0.679085233441911,0.8632091067970337,0.9565890242450696,0.8827002650053466,0.7697500263685265,0.7929366231253023,0.9551622887072456,0.8458569807037457,0.9130514875195728,0.8811607824707748,0.8519116186693148,0.9388074056263525,0.7403127715030409,0.8102550041129696,0.8154636274095962,0.84149300155521,0.875087013690154,0.9221099015033696,0.9001157598809327,0.8581149363336252,0.8715323645970938,0.8526111350884765,0.8607353906762968,0.8887276947628029,0.8677495229219367,0.8665787086666117,0.943502824858757,0.9032597266035752,0.8674116256581068,0.8095194508009154,0.8260869565217391,0.8571752642802051,0.8522142383937217,0.9186066563200552,0.959335263754249,0.8814664386489953,0.8885264617140993,0.8782297101904821,0.8355499103407054,0.946240688119192,0.9008695652173913,0.8617665929992158,0.8707099458098418,0.8318275281949031,0.8415460001101139,0.8059743753096906,0.8920064911270481,0.8681628941953391,0.8625629878470507,0.9162213140521848,0.8873110778940375,0.8190091949709138,0.8141947224749773,0.8109470229723394,0.7921702927746441,0.8393980615541574,0.815113264961118,0.7760596689103147,0.9106276642657652,0.9614026074112132,0.872594176673795,0.7987213562244092,0.8221374045801527,0.936984177648078,0.9401687103226368,0.8314255983350677,0.828481096034778,0.9273321085935904,0.8387678645761065,0.9284379671150972,0.9057670745380978,0.8834558823529411,0.8966954709279604,0.7209617338300034,0.8834002612608254,0.8954175493366039,0.9647748177420454
"{'pca__n_components': 4, 'svm__nu': 0.7}",0.961166383934712,0.9598763665502832,0.8422255553174773,0.8668449895615866,0.8222940226171244,0.8253213711837172,0.9094021176657908,0.8843044493682256,0.8808617795187466,0.8024480712166172,0.8852232319241407,0.9269186899136386,0.9767830525317314,0.906267616460821,0.8195610071013557,0.9511547650650384,0.8812280630975915,0.974844673435369,0.8165259348612787,0.9165632754342432,0.8753045404208195,0.856959145316055,0.8252096194600571,0.7259093376764386,0.8712389589532852,0.970437681044403,0.8864661304570179,0.8088281826811518,0.892114175133043,0.9661138004920244,0.9386303443057132,0.9206042184765588,0.9618163660929332,0.8771722939424031,0.9388074056263525,0.779496090356212,0.8356183164244585,0.840227944280287,0.9413374805598757,0.8801144713434914,0.9228875064800416,0.9094867978611983,0.867614363673112,0.9489762219286658,0.94831678895123,0.9576493762311228,0.8933217273562551,0.945724049172325,0.956790632472994,0.9434565156988052,0.9405304357985746,0.879015794563232,0.8396338672768878,0.8498984152783421,0.962841976316864,0.9489374713346584,0.9241248491119158,0.959335263754249,0.8842454040188115,0.8919513985158607,0.8826302885522097,0.8600567842199641,0.9463174871361648,0.9034782608695652,0.8861481428673273,0.9640921780064592,0.9279082808897752,0.8729284809778121,0.8366249026686486,0.8949903156572266,0.962721921806958,0.889437802588677,0.9253379440427538,0.8896362730443448,0.8426534058922874,0.8476190476190476,0.8396624472573839,0.8235294117647058,0.9390409794252678,0.8470077764003155,0.7940694924504275,0.9172423930618844,0.971100122021707,0.8741569337062017,0.836003160692479,0.8500293599530241,0.942592677032511,0.9403426384903036,0.9194021379245104,0.8607561586088789,0.9491733006736068,0.8645761065630637,0.9478699551569508,0.9088870472383368,0.9744025735294116,0.9590082070432931,0.7529630883846935,0.9527795248923508,0.90639982160776,0.9736322136676432
"{'pca__n_components': 4, 'svm__nu': 0.8}",0.9668974370730364,0.9636540552916262,0.8717948717948718,0.8926800626304802,0.8516155088852989,0.8577262988752009,0.929464214632593,0.9087370501227618,0.9087856743144936,0.8288575667655786,0.8968787040695377,0.9435391885285972,0.9750214553502868,0.9299953876902578,0.8397891112545729,0.9488540837094064,0.9081776737806108,0.9800727382936808,0.82291917973462,0.934449958643507,0.8788482834994463,0.86338905925413,0.8487975674928591,0.7654044516829533,0.8959425629398706,0.978334193087576,0.8981356641405923,0.8438455859086594,0.8992098048701822,0.9727799381001508,0.9472569050321604,0.9413281753707284,0.9638724079186982,0.9005089374379345,0.9401298389035826,0.8081668114682884,0.8643405538799013,0.8732235823835655,0.9525349922239502,0.8906334596643205,0.9294971487817522,0.9300479576649578,0.8948325810146197,0.9498844121532364,0.9581355200690548,0.9596191726854892,0.9039121814401084,0.9597923046198908,0.954316813721448,0.943780679818468,0.9356233204813648,0.9050177285913829,0.8643478260869565,0.8750914262494921,0.967741935483871,0.9606584110482596,0.9366270046559751,0.9599018003273322,0.8956284737067123,0.8995351871483324,0.8922486955428428,0.8825463239689181,0.9471622763228632,0.9080267558528428,0.9129535895059528,0.9662269418140018,0.9451679232350926,0.9036502780377692,0.8753450838819282,0.9033659634612364,0.9684643728764896,0.9364193261535422,0.945666981033218,0.9031722305264906,0.8713642334396697,0.8852289960570215,0.8686122831692452,0.8575073865162504,0.94448223091311,0.8727037078778316,0.8080771329816263,0.9354696457445244,0.9775865390790572,0.8909360092120414,0.8699806048416062,0.8844392248972401,0.9572750900551732,0.9407774589094704,0.9325513196480938,0.8900671848241338,0.9631557460706268,0.8975301789926461,0.9592675635276532,0.916296982401404,0.9738051470588236,0.9664336271657477,0.7868269556383339,0.9619720354153564,0.9282528710001114,0.979423587926688
"{'pca__n_components': 4, 'svm__nu': 0.9}",0.9707487047819908,0.9648560471638716,0.9099350046425256,0.9244519832985386,0.8989499192245557,0.90285216925549,0.9578855186688958,0.9351458171147972,0.950699496362619,0.8614985163204748,0.9181647570130383,0.965781326380968,0.9731695198518452,0.9665863783118946,0.8816440714439423,0.9467303778426688,0.9533223060475248,0.9834065767540536,0.8420989143546441,0.9642266335814724,0.8837209302325582,0.8785240874468295,0.8905371786602783,0.8254614549402823,0.94539700533749,0.9855958096900916,0.921567715839881,0.9060753085117604,0.8992098048701822,0.978811205459884,0.9528566023458191,0.9634337293911762,0.9641073841273572,0.9306727904667328,0.9511901899495072,0.8463944396177238,0.90814367973677,0.916139017869706,0.9593779160186624,0.9061799056384872,0.93701399688958,0.960641640482884,0.9429360641379776,0.9488110964332892,0.964771255934398,0.959881812212738,0.9224817447652208,0.96933386588559,0.9508534674692836,0.9580902102435862,0.9305993690851736,0.9429461695498011,0.9017848970251716,0.9104429093864282,0.9711446849054036,0.9670794475870153,0.9516295913088464,0.967581518318016,0.917058572039333,0.9107885509255484,0.9112969133086064,0.9147489539748954,0.9571461485292988,0.920401337792642,0.9395451629001212,0.9665553670151624,0.9580659231104742,0.9367945823927766,0.92616974587669,0.9227346490080092,0.9702349619562616,0.9685307775911473,0.9712354605469978,0.9308254442783592,0.9052355038468756,0.9359417652411284,0.9003750586029067,0.9091458501208702,0.9472028566570312,0.9132762312633832,0.8448244496998363,0.9624430398353668,0.9829169610172755,0.9204638920875144,0.918324832986136,0.9275396359365824,0.976061283115225,0.9541699278198104,0.9407813830290416,0.92912659728626,0.976934068177179,0.9368669349243792,0.9715059790732437,0.9319455954760396,0.972564338235294,0.9714707542663598,0.8420250592617677,0.9686487009531182,0.961757163563385,0.984124821148736
