params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'pca__n_components': 4, 'svm__nu': 0.5}",0.5955821266707348,0.5806401993263077,0.5736648709909147,0.5906412323254429,0.5297160495075425,0.550909158029016,0.6656558089818483,0.5888610310472355,0.5994891083286369,0.6181509353171668,0.6872665267543985,0.7021629993750803,0.6149480033877696,0.6338928996904218,0.4781164647043664,0.6242000365426392,0.5973717458553608,0.9246445506498948,0.6479714807372516,0.6660209786190332,0.8179453935316304,0.7056340536925853,0.5415795079497439,0.5150740069347564,0.6074051998439798,0.8952396794207986,0.6830788650534463,0.4795361542315459,0.6059473100413455,0.9052963521514286,0.6074890574685354,0.680278021321745,0.63057007202934,0.5896327791290066,0.4956052610601833,0.590908560313791,0.5779859917954175,0.5833985022160711,0.6087843863550484,0.6989568078747103,0.7656067454330997,0.6596315049353724,0.5835389797841067,0.6443659584086799,0.5838179856562709,0.591387909042508,0.6923094579238687,0.634493454145496,0.6189302173206842,0.4860497536190866,0.6474592923081346,0.6060782301288632,0.5466470110349668,0.5901142455274168,0.5963992577355672,0.5987930492058531,0.5604896812710198,0.5620082747035162,0.7021993207608673,0.7734878520490628,0.7136495370752889,0.5915407768905957,0.5273192062053378,0.7961294894476877,0.6044333486819384,0.6156995721738606,0.5955325906056358,0.5851853446296551,0.5180889792935776,0.7422182898206492,0.5992932255213359,0.6179128639238747,0.6668278488412077,0.5854985628211068,0.5693494123270221,0.5082811720070023,0.577801341022739,0.5141197371353423,0.5810483412376175,0.5554474002625274,0.5801924441747324,0.6913549458005526,0.917292504040767,0.5357783841552165,0.5139334869666714,0.5749901956523407,0.7191493626382381,0.4815442577603345,0.5911592358959272,0.5469659939145691,0.8378416541987568,0.5524404251012545,0.8525223307261536,0.751333098054385,0.6195769067623982,0.6515696609457754,0.4636223111242584,0.6236127720678769,0.6318340523860957,0.9214081403888524
"{'pca__n_components': 4, 'svm__nu': 0.7}",0.6444953682923316,0.6350520115674809,0.5773513552817815,0.5950423459897144,0.5295497671986766,0.5530992705289354,0.666810136175563,0.5920380344019148,0.5979351972099025,0.6202081291438821,0.6882721913607484,0.7053238518970348,0.6690407097365415,0.6335649448629594,0.4759690579418739,0.6736780878233519,0.5960291963039775,0.9292783040228746,0.6478010003752612,0.6661438266003689,0.8183108362690544,0.7068536375337372,0.5450687763210449,0.5146899077315016,0.6066037038040475,0.9019555935264588,0.6848355355155449,0.4788349275249751,0.6474309070782882,0.9100726196616312,0.6531992129223978,0.6811691804639617,0.6754496910546001,0.5933614105000615,0.4954656038262256,0.5922816651505537,0.5813123248298819,0.5884970391710542,0.6515870530829174,0.700365429684038,0.7673441186453244,0.6601752430481711,0.5820182743443807,0.6876449962510476,0.6331903061051346,0.6463120923448851,0.6943052819989439,0.6687569609849616,0.671303979165405,0.4858238671235401,0.6929607270776212,0.6060588932355581,0.5495611924521706,0.5940357663133571,0.6475961546989288,0.6476948774536107,0.5590614382623742,0.5619524760883123,0.7035023505641589,0.7755615306482636,0.7155195179455047,0.5930389131801107,0.5272866915151604,0.7969925195122255,0.6118606138107416,0.6632696618084967,0.6334714555607281,0.5915994129892395,0.5186193874540748,0.7433950450321584,0.6520972900211438,0.6174187389530554,0.6681235147361102,0.5838374700931078,0.5682562284190664,0.509447309564365,0.5839634177975083,0.5138457485197546,0.6298427957282746,0.5571547376316737,0.5840229849589774,0.6927533480880762,0.92171478912816,0.5358891840194363,0.5154889222787066,0.5787282214376472,0.7207970788052782,0.4816201035902804,0.6372006900319799,0.5490714122980092,0.8453496997660385,0.5531987637922557,0.8602570926088768,0.7529277857819183,0.6715040692296264,0.6891533139327543,0.4630699161688368,0.6671099920842644,0.6320208077800086,0.9268183445287907
"{'pca__n_components': 4, 'svm__nu': 0.8}",0.6501706595558892,0.6418344131803732,0.5799583655631431,0.5962683493209809,0.5287625757848373,0.5557316713729631,0.6686960483459389,0.5928162339304598,0.5995429643151764,0.6205077923556045,0.6877738074247361,0.7075514362686617,0.6739143805402186,0.6356064607451264,0.4733387644762745,0.6784336733301616,0.5973795391157491,0.9304600163923996,0.6476808759421119,0.6674344959958389,0.8177296821861686,0.7066239049667875,0.54457882824489,0.5128439328370827,0.6073442409902384,0.9034845501828026,0.6849871161666296,0.4774822167240037,0.6538452577673423,0.9108698082236912,0.6591251809503882,0.6840417286115452,0.6802434417158536,0.594233875438298,0.496132004782782,0.5917697543851618,0.583685420141043,0.5921108732794829,0.6575142192972606,0.7005836901925473,0.7694613714717499,0.6614967554194073,0.5831252222059965,0.6921083171613813,0.6388915990769335,0.652137788512732,0.6946045413890639,0.673570480279786,0.6767112558569769,0.4861047120697715,0.6964983480589493,0.6081145537392099,0.549276753094113,0.5960881671199649,0.6533635741741171,0.6538292788922667,0.5593702911130591,0.5628812423875336,0.7036398994787458,0.7761200091904412,0.7159066034477217,0.5928191087505271,0.5281900344292197,0.7967270366310444,0.6163934990315365,0.6686962570775046,0.6393958912691315,0.5957732546570541,0.5205513956023649,0.743094302609768,0.658005439009079,0.6180743299576464,0.670314875944647,0.5827971507498622,0.5677656138255149,0.5115949026683441,0.5884246000277394,0.5142891128272687,0.6359679051940814,0.5569778359131605,0.5857303998710868,0.6945344178607777,0.9226919344548804,0.5370130975512223,0.5156769821401783,0.5827838211646083,0.722654987199646,0.4829688303427315,0.6436371040562622,0.5499414613031067,0.8468458489391398,0.554688466954454,0.8624965289026704,0.7532413752475065,0.6767512081274354,0.6931516808591567,0.4633245837763474,0.6716802554514655,0.6333033049983828,0.9279090403389392
"{'pca__n_components': 4, 'svm__nu': 0.9}",0.6535770520834765,0.645477017637627,0.5814738039031815,0.5974716903137955,0.5295437371808827,0.5571221138898346,0.6700621117105435,0.5931732310744826,0.6013069393055793,0.6215489718828782,0.6850621940114191,0.7090733697520952,0.6760438020473758,0.637700865034855,0.4726973139826881,0.6805772906480505,0.5982465164126064,0.9304731153418638,0.646397237634299,0.6671753727370295,0.8166409134861566,0.7056190151623493,0.5449551184578407,0.5118621667469874,0.6069905291228503,0.903578557393594,0.6831579438022043,0.4782255123586435,0.658055669835959,0.9107869516019274,0.6632733962941763,0.68582489400543,0.6828320805876025,0.5953202332198203,0.4971430848943802,0.5918513523623505,0.5850891231930491,0.5943252783894967,0.6617929695728761,0.699045257990546,0.7714149747598651,0.660521646709492,0.583732919021203,0.6943732633528866,0.6427818972636057,0.6552120565328006,0.6933429688837679,0.6775715113869721,0.6791430368734894,0.4862638978905882,0.698065456467481,0.6102708652516027,0.5499194552346165,0.5966977158070743,0.656662863896705,0.6581484467325962,0.5607326455135586,0.5639674994527444,0.7020450690465952,0.7755189243847352,0.714832848203384,0.5926935302565648,0.5288797093792561,0.796090030953082,0.6197281920510909,0.6715822533612091,0.6444289675296792,0.5978255441520871,0.5250730841091389,0.7412190955833659,0.6613826061020591,0.6184962676612159,0.6713181454355118,0.5847369912776355,0.5681178389523839,0.5165819028213895,0.5904689556306333,0.5165583160156422,0.6396800755171904,0.5567230206517211,0.5876735271832112,0.6940793902090973,0.9225937845800214,0.540028264038091,0.5178614359874365,0.5850646166589545,0.7229161193991449,0.4840258599908893,0.6487235108847514,0.5520057154438709,0.8459945375493276,0.5585757113957676,0.8631311611977601,0.7525551480288183,0.6791151148035601,0.6959331197159657,0.467066406868343,0.67502920230485,0.6321413279389121,0.927787198357066
"{'pca__n_components': 10, 'svm__nu': 0.5}",0.578301006908563,0.5531766408751233,0.5917193731140077,0.5742517902517902,0.5205695479715934,0.5639066811439728,0.6275527898430889,0.5737350500498524,0.5495143262029029,0.6057870237536238,0.6183263163121568,0.6623765110945662,0.5849264634475793,0.5798993228882815,0.4565219418974302,0.5996863621209443,0.5503936971777394,0.9434013106434578,0.6036052071825362,0.6321402591797949,0.7943894228365439,0.6530098477211301,0.5129494986300793,0.5115423913416077,0.5551874371865779,0.91938784257835,0.6278527462875007,0.4613533792294951,0.5640193453361853,0.9301445137149772,0.5832944564547103,0.6548772326628461,0.6112845386747435,0.5747355626254151,0.4507810282981266,0.5874438488048985,0.5864591959845469,0.606313349923272,0.5904214825938097,0.6442197043581734,0.75409116460869,0.6246784202585307,0.5348100134879424,0.6092393761301989,0.5777189578596396,0.5681010035187758,0.6348914692472087,0.6188552239392571,0.5935756327737431,0.4439090904909049,0.6203437857794144,0.5553746647032283,0.5319766058369071,0.6089725796381747,0.5770973301184702,0.5772906503347022,0.5374934827572377,0.5213211791402985,0.6711495108375194,0.7373815792317262,0.6687973941263415,0.5825385543924262,0.4948703532266689,0.7854047855415495,0.6135743189473526,0.5936755152968838,0.5843272222099064,0.6036614987525064,0.4971295651871682,0.6843760587752832,0.5772049614756377,0.6026750280689663,0.6301395622721958,0.5656234377660948,0.5500949864718402,0.4847264191537147,0.6019458911194565,0.5050969601900456,0.5598079230498028,0.5380659613467033,0.5706905773325243,0.6560076775819453,0.939431633071442,0.5197877477510146,0.4845850640759497,0.5901826139643567,0.6922273279774778,0.439279340879115,0.5755394297620549,0.5275352433214455,0.8612676224281799,0.5224067581625286,0.8659577914564724,0.7060861204326163,0.5889424286686574,0.6316755309679247,0.4287466553517516,0.6043910142818065,0.5878012241186772,0.9541159902055852
"{'pca__n_components': 10, 'svm__nu': 0.7}",0.6472087528785678,0.6372094035019669,0.5902426732292201,0.5767871515239936,0.5201615167675304,0.5622188014735914,0.6280211648555922,0.5740590108409037,0.5495506981369402,0.6065336875021409,0.6178217324644115,0.6645912008922298,0.660630988262285,0.5805120345061251,0.4549869378080834,0.6703575127750931,0.5505637736250396,0.9459841427860344,0.6033282495739084,0.6318426207820623,0.7939315418527091,0.6525162679447116,0.5155283829331017,0.5108246610470002,0.5556813436664504,0.9220146865565793,0.6273682519337234,0.4607651543380426,0.6409872917665831,0.9322845678806552,0.6483486988170698,0.6543539307996289,0.6684997710228444,0.5763914089482537,0.4507803905938621,0.5843870134829572,0.5856277478475133,0.6038450977718351,0.6521718905866163,0.643748626919381,0.7540704868691923,0.6240022041127014,0.5351214869886644,0.6760408856348962,0.6377806723764438,0.6472322157881867,0.6344295535128222,0.6640507282772476,0.6676439536176983,0.4438914166279092,0.6735673862603855,0.5556000138828978,0.5321408125113241,0.6057684662250895,0.6494141231269708,0.6481974889504623,0.5373226737024241,0.5213030198276583,0.6708013495862145,0.7368005416445657,0.6683158502942338,0.5825010322787769,0.4948590437692159,0.7849762203190713,0.615297783794876,0.6584676076545064,0.633226010987378,0.6028545981234024,0.4994081850811353,0.6838479567365948,0.6516102308963201,0.6028617839634492,0.6308476892923457,0.5635279460946517,0.5489882279646746,0.4874270668296507,0.5997994712563115,0.5059388761774968,0.6283884642942441,0.5382603487505331,0.5733367275918936,0.6558131465296737,0.9409664121629856,0.5189343873422235,0.4860333133381846,0.5875122011080063,0.6918599584429426,0.439267883805105,0.6359645100938509,0.5285825245312852,0.8643245614475494,0.5239387901004199,0.8708022862961077,0.7055735823940552,0.6667943043965894,0.679942195298534,0.4302627683066094,0.6581510123992134,0.5879577223418948,0.9555470032754486
"{'pca__n_components': 10, 'svm__nu': 0.8}",0.6508092414207769,0.6418333795641673,0.5901346067294589,0.5784237516869096,0.5193347343277706,0.5622356187436972,0.6293058193131134,0.5736757357902776,0.5510497323025655,0.6081026060055037,0.6143837562979844,0.6673057890283246,0.6635534986254108,0.582211351883738,0.4520560393749868,0.6732551927920831,0.5517090161604714,0.9476219792886896,0.6017898394580008,0.6322277721712927,0.791353217679869,0.6507227622959587,0.5176207527205713,0.5109651767147275,0.5573892666832664,0.923937937705854,0.6246063418129068,0.4617119389358602,0.6458638291537012,0.9336843054850104,0.6525750032442807,0.6549689322608928,0.6714391156307606,0.5774914754424336,0.4507880430450379,0.5837235798597848,0.585944532890695,0.6027698574840759,0.6562487448739629,0.6411216674315035,0.7551528188337577,0.624608787592213,0.5365523857761051,0.678414441185551,0.6409800493631295,0.6506770695135973,0.6324194517950885,0.6673809111658389,0.6710026648900733,0.443891174520197,0.6752122412903823,0.5570230109030329,0.5320949598848661,0.6045389633223059,0.6528434894587689,0.6526781256811187,0.5372292121441299,0.5212967466105642,0.6681730296480434,0.7340899017752641,0.6659485825369283,0.5811584809567701,0.4948562164048527,0.7823157600522047,0.6170211860801497,0.6620725237435972,0.6374144253877234,0.6032069863464512,0.5038730233275744,0.6808032648048852,0.6554805473051686,0.601928977177985,0.6321119545117637,0.5593282137332327,0.5483680116712976,0.4934947586902846,0.5992427763596304,0.5076136854757061,0.6326609005197494,0.5376872022060508,0.5766963578577086,0.6569019146163497,0.941947119380326,0.5195818614578642,0.4889996011731922,0.5868175880026486,0.6924033873110294,0.4392573432970159,0.6405299383199543,0.5305604713040528,0.8662320888853187,0.5278722019563986,0.8744561947517008,0.703067252735776,0.6698096427920954,0.6821502286416071,0.4348027686182799,0.6607948949506703,0.5889236634466934,0.9559952977397892
"{'pca__n_components': 10, 'svm__nu': 0.9}",0.6530832951317312,0.6442246506565155,0.5895517120767447,0.5801712319607056,0.5198391849072674,0.5619031993244966,0.631383571755563,0.573298152062909,0.5536967157547393,0.6098842850714467,0.6101603931066546,0.6696047607514585,0.6645691011404589,0.5845550205225701,0.4532952353846158,0.6742539606644591,0.5534781779540583,0.949362736108564,0.6014320934244061,0.6326575634310181,0.7894496131320133,0.6502688561518356,0.5197052743695212,0.5116676398293648,0.55954776916398,0.9262075055746763,0.6213520033648399,0.4638023751337733,0.6488685671813451,0.9349492172255484,0.6557794849792316,0.6563541679902751,0.6730515607901527,0.5783956965904632,0.4505233957752093,0.5828596191129221,0.5854847591863159,0.6017811868120477,0.6594376359122195,0.6381974869066076,0.7568420424525808,0.6255673051253161,0.5385598648371372,0.6793915119304901,0.643681959550797,0.6524982397449972,0.6307914741859132,0.6705447817826942,0.6722744754185914,0.4436151717282108,0.6758323180030437,0.5597715767501128,0.5321942492596088,0.6026961800945827,0.6548658481497489,0.6560227729457457,0.5370544640964381,0.5209520498397193,0.6650950932973689,0.7310094547042812,0.6635529844528905,0.5802230641982613,0.4948651024071372,0.7796939154771463,0.6181820911807249,0.6639640898054506,0.641555885620263,0.6026541285913273,0.5100356339339152,0.6772401645760893,0.6577866606077074,0.600875696165946,0.6331522362056714,0.5596507066256724,0.5484881111516762,0.5007068210484494,0.59765591003946,0.5111229553236148,0.6353519823262479,0.5375033312525785,0.5796538199122978,0.6581002326295213,0.9427160919885956,0.5250660518281474,0.4924467734093364,0.586157079199188,0.6932246517096118,0.4405336613417241,0.6447424224478178,0.5330156875062201,0.8669541189287974,0.5329324618447067,0.8793550701161661,0.7004540437572768,0.6709258800487924,0.6839727418850738,0.4406825419955497,0.6632060198127135,0.5895802949031669,0.9563087257345392
"{'pca__n_components': 20, 'svm__nu': 0.5}",0.5535682213871993,0.5236506892152861,0.588104598843864,0.5675779747358695,0.514174988192738,0.5584522603407167,0.6031867023843683,0.5663353960823064,0.5198082828975847,0.5944623534864231,0.6198888608827107,0.6396265581877928,0.5516791191916909,0.5450139891589272,0.459434718754472,0.5719786178102654,0.5191857234804518,0.9481276923019344,0.6063505540392826,0.6066859925504419,0.7959366030124788,0.6514692468493402,0.4987634977471638,0.5076325817751928,0.5248342284716336,0.9275496655194216,0.6324907801486555,0.4477689717816432,0.5383853826903451,0.9380203052653668,0.5588860221295157,0.6366230828854241,0.5932862295532667,0.5646635360336513,0.4558791550418493,0.579573945618075,0.579432873699755,0.606086467188388,0.5696188699644343,0.6465696305632034,0.7406301038938252,0.6040261758493802,0.5038895677018924,0.5821154291447977,0.5561583367269601,0.5368144760596648,0.6386211974422297,0.6041018371509538,0.5678462980602463,0.4443381053570447,0.5962580022132338,0.5203329912190671,0.5200590977038062,0.6103326181027492,0.550990806835644,0.5486184245168765,0.5328254181061896,0.5198446619379816,0.6787993930933531,0.7383127559456355,0.6728514997429471,0.5794800253916462,0.493508169467373,0.7928773816170458,0.603919149553806,0.5735905278244886,0.5713844469732985,0.598694006291041,0.4829169471208867,0.6853550675689255,0.5465491259795057,0.5926544765832565,0.60387821027134,0.5637513512655659,0.5418166243115357,0.4639549206444203,0.6055628198110541,0.4953015413639099,0.5352072599997726,0.5318482770006316,0.5554671562627499,0.6346198634378551,0.9449026970635772,0.5206340572593553,0.466494942992303,0.5875146042597142,0.6719691961527147,0.4371354931903735,0.554707131221973,0.5152512536673264,0.8656493814577916,0.5046711567676294,0.875,0.7076199771793317,0.5583710829471,0.6121065179954593,0.403698872709666,0.5798089199537817,0.5602593166659547,0.963162127142528
"{'pca__n_components': 20, 'svm__nu': 0.7}",0.6522414279489893,0.6428265437903721,0.5904934075674131,0.5718383971015549,0.513505838945412,0.5613039302604802,0.6044874195858878,0.5672424507264796,0.5200433604502054,0.5984827210525369,0.6155670219633125,0.6456051554375484,0.6635906148895885,0.54687383978245,0.4528725762725144,0.6737855356403446,0.5195810709956853,0.9499423646223571,0.6042050995522117,0.6060372421370225,0.7921204418627752,0.6482103914956584,0.5042772354932065,0.5069101849085942,0.5264942014906214,0.9288436041487866,0.6286494581565893,0.4491192675145218,0.64684575668654,0.9395323160435914,0.6495016130865735,0.6353147223386998,0.6728635137838068,0.5682142772411276,0.4558692706257473,0.5774001345741279,0.5828002236412324,0.6036105021346229,0.6547088333004097,0.6429083060567381,0.7410361260786763,0.6030787191008185,0.5046225008949857,0.6793404462356106,0.6421204493586046,0.6520441394780974,0.6352611650077769,0.6659127827236373,0.6717977271350779,0.4443327789873748,0.6744567317595846,0.5218075532880155,0.5215078737100383,0.6077938844196945,0.6543266214788409,0.6513707942269789,0.5328289990088061,0.5198486239698304,0.6755598050538625,0.7339990494869618,0.6692261503116765,0.5780059503678345,0.49349686000992,0.7894035783414698,0.6124767268432089,0.6628345957828874,0.6349110241612292,0.602453706892593,0.4892127558208733,0.6813093194922465,0.6567493371061286,0.5986105166913082,0.6057531768409632,0.5541386214842934,0.5390352603786741,0.4731173656431611,0.603153933867865,0.4976806207040153,0.6322384620196299,0.5314268260793613,0.5653346773225814,0.634973586856432,0.9456404041875168,0.519282097461575,0.4720866971565779,0.5871729476700932,0.6716008928916017,0.4371183075793585,0.6356223119255305,0.5194550168650589,0.8666538222092801,0.5102976677778316,0.8782709307168974,0.7039251121807759,0.6716356511725996,0.681670960113894,0.4086462318352826,0.6586859405037389,0.5610119320042554,0.963909144534841
