params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
{'pca__n_components': 4},0.5234159779614325,0.60137851809305,0.1116504854368932,0.6435185185185185,0.4906103286384976,0.8260869565217391,0.7822706065318819,0.8330434782608696,0.6476868327402135,0.6708479678876066,0.6264900662251656,0.592391304347826,0.5594059405940595,0.5105820105820106,0.4408517350157728,0.7032312925170068,0.5706134094151213,0.7048346055979644,0.4017155110793424,0.4410569105691057,0.2229729729729729,0.3497536945812808,0.3147208121827411,0.6313725490196078,0.2700661000944287,0.6472148541114059,0.660377358490566,0.1915887850467289,0.247148288973384,0.5426008968609866,0.4544618215271389,0.3421052631578947,0.8647342995169082,0.4,0.6546583850931676,0.8277474668745128,0.4680851063829787,0.6,0.4154175588865096,0.6366812227074236,0.5291479820627802,0.4275118004045853,0.6323529411764706,0.5937794533459001,0.5028112449799197,0.3942857142857143,0.4835443037974684,0.6122448979591837,0.5967894239848914,0.3994082840236686,0.5507462686567164,0.5888501742160279,0.5283018867924528,0.5271894676588438,0.5227722772277228,0.494199535962877,0.5908346972176759,0.3995171997585999,0.6727272727272727,0.514018691588785,0.6625,0.3567774936061381,0.7229551451187335,0.8088888888888889,0.3496240601503759,0.4645161290322581,0.5223880597014925,0.5789473684210527,0.3504531722054381,0.8577981651376146,0.9699248120300752,0.413953488372093,0.6447602131438721,0.6218825422365245,0.3508771929824561,0.7105263157894737,0.7515889830508474,0.3244813278008299,0.8592233009708737,0.5760598503740648,0.6482843137254902,0.6457242582897034,0.4942716857610474,0.4540117416829745,0.7072758037225042,0.975975975975976,0.7140221402214022,0.7272727272727273,0.4088098918083462,0.7385377942998761,0.535064935064935,0.5426356589147286,0.6136177194421657,0.8978288633461047,0.4129129129129129,0.6887631366208569,0.603988603988604,0.5276659959758552,0.4965675057208238,0.5275
{'pca__n_components': 10},0.5509641873278237,0.6375646180356117,0.1262135922330097,0.6620370370370371,0.4612676056338028,0.8260869565217391,0.7853810264385692,0.8765217391304347,0.6583629893238434,0.6733567486201706,0.6827814569536423,0.6195652173913043,0.5178217821782178,0.5238095238095238,0.3880126182965299,0.7346938775510204,0.5049928673323824,0.7837150127226463,0.4245889921372409,0.4695121951219512,0.2229729729729729,0.3497536945812808,0.3258883248730964,0.624313725490196,0.2568460812086874,0.5755968169761273,0.6264150943396226,0.205607476635514,0.2281368821292775,0.5829596412556054,0.4176632934682612,0.3578947368421052,0.8997584541062802,0.4181818181818181,0.662111801242236,0.843335931410756,0.5035460992907801,0.6121212121212121,0.4197002141327623,0.6384279475982533,0.4910313901345291,0.4881995954146999,0.6176470588235294,0.6013195098963242,0.3975903614457831,0.3142857142857143,0.4987341772151898,0.6616541353383458,0.6062322946175638,0.3816568047337278,0.5626865671641791,0.6097560975609756,0.4339622641509434,0.5397824842587292,0.4851485148514851,0.4918793503480278,0.513911620294599,0.3723596861798431,0.6727272727272727,0.4509345794392523,0.7125,0.2877237851662404,0.7216358839050132,0.8,0.3082706766917293,0.5064516129032258,0.5501066098081023,0.5263157894736842,0.1873111782477341,0.8738532110091743,0.962406015037594,0.3930232558139535,0.6039076376554174,0.6146419951729686,0.3192982456140351,0.75,0.7076271186440678,0.3269709543568465,0.9029126213592232,0.6483790523690773,0.5661764705882353,0.5846422338568935,0.4664484451718494,0.4657534246575342,0.688663282571912,0.978978978978979,0.7343173431734318,0.6818181818181818,0.3894899536321484,0.7596034696406444,0.5246753246753246,0.5064599483204134,0.6406890894175554,0.8773946360153256,0.4459459459459459,0.7291835084882781,0.6068376068376068,0.5653923541247485,0.562929061784897,0.525
{'pca__n_components': 20},0.553030303030303,0.6456059735784032,0.2135922330097087,0.6666666666666666,0.4448356807511737,0.8309178743961353,0.7869362363919129,0.8904347826086957,0.6779359430604982,0.6658304064224787,0.6735099337748345,0.6467391304347826,0.5069306930693069,0.5687830687830688,0.224763406940063,0.7559523809523809,0.4365192582025677,0.8371501272264631,0.4696211579699785,0.4878048780487805,0.2297297297297297,0.2512315270935961,0.3847715736040609,0.6549019607843137,0.2993389990557129,0.5729442970822282,0.5735849056603773,0.2523364485981308,0.2585551330798479,0.6188340807174888,0.405703771849126,0.4157894736842105,0.9082125603864736,0.5,0.6683229813664596,0.8339828526890102,0.5390070921985816,0.6545454545454545,0.4539614561027837,0.6462882096069869,0.468609865470852,0.5461901550910316,0.6360294117647058,0.6201696512723845,0.3164658634538153,0.3042857142857142,0.5139240506329114,0.7024704618689581,0.615675165250236,0.2337278106508875,0.5582089552238806,0.632404181184669,0.4150943396226415,0.5792787635947338,0.4683168316831683,0.5359628770301624,0.5073649754500819,0.4007242003621001,0.6818181818181818,0.3411214953271028,0.6979166666666666,0.2749360613810742,0.658311345646438,0.8355555555555556,0.3533834586466165,0.5338709677419354,0.5565031982942431,0.5,0.1873111782477341,0.8944954128440367,0.9360902255639098,0.3953488372093023,0.5737122557726465,0.6468222043443282,0.2982456140350877,0.7730263157894737,0.7213983050847458,0.3825726141078838,0.8980582524271845,0.6683291770573566,0.5404411764705882,0.5584642233856894,0.4991816693944353,0.50293542074364,0.7089678510998308,0.972972972972973,0.7361623616236163,0.6515151515151515,0.3554868624420402,0.7558859975216853,0.5402597402597402,0.524547803617571,0.6398687448728466,0.8212005108556832,0.4894894894894895,0.7380759902991108,0.6353276353276354,0.5648893360160966,0.6155606407322655,0.54
{'pca__n_components': 25},0.5550964187327824,0.6461803561171741,0.233009708737864,0.6666666666666666,0.4354460093896714,0.8357487922705314,0.7931570762052877,0.8973913043478261,0.6814946619217082,0.6618163572503764,0.6682119205298013,0.6521739130434783,0.502970297029703,0.5793650793650794,0.1790220820189274,0.7551020408163265,0.4208273894436519,0.8549618320610687,0.4917798427448177,0.5,0.2432432432432432,0.2216748768472906,0.4152284263959391,0.6745098039215687,0.3210576015108593,0.5809018567639257,0.5622641509433962,0.2710280373831775,0.2889733840304182,0.6278026905829597,0.4093836246550138,0.4526315789473684,0.9130434782608696,0.5181818181818182,0.6583850931677019,0.8277474668745128,0.5531914893617021,0.6666666666666666,0.4732334047109208,0.6506550218340611,0.4663677130044843,0.5529332434254889,0.6139705882352942,0.6314797360980208,0.2963855421686747,0.3028571428571429,0.5063291139240507,0.7228786251342643,0.6270066100094429,0.1893491124260355,0.5447761194029851,0.6411149825783972,0.4245283018867924,0.6021751574127076,0.4693069306930693,0.5475638051044084,0.5040916530278232,0.4206397103198551,0.6909090909090909,0.330607476635514,0.6901041666666666,0.2774936061381074,0.6266490765171504,0.8488888888888889,0.3759398496240601,0.5516129032258065,0.5394456289978679,0.4473684210526316,0.2205438066465256,0.9059633027522936,0.924812030075188,0.4116279069767442,0.5630550621669627,0.666130329847144,0.3052631578947368,0.7664473684210527,0.729343220338983,0.4157676348547718,0.9029126213592232,0.6733167082294265,0.5355392156862745,0.5514834205933682,0.5090016366612111,0.5068493150684932,0.7208121827411168,0.960960960960961,0.7435424354243543,0.6363636363636364,0.3415765069551777,0.7496902106567535,0.4857142857142857,0.537467700258398,0.6267432321575062,0.8084291187739464,0.509009009009009,0.7243330638641875,0.6324786324786325,0.5513078470824949,0.6338672768878718,0.545
{'pca__n_components': 42},0.5516528925619835,0.6450315910396324,0.3300970873786408,0.6574074074074074,0.4131455399061033,0.8405797101449275,0.7962674961119751,0.9060869565217392,0.708185053380783,0.6547917711991972,0.6635761589403973,0.6793478260869565,0.492079207920792,0.6296296296296297,0.1640378548895899,0.7525510204081632,0.4094151212553495,0.8778625954198473,0.5768406004288777,0.4857723577235772,0.2702702702702703,0.1625615763546798,0.5350253807106599,0.676078431372549,0.3890462700661001,0.5915119363395226,0.5358490566037736,0.3504672897196261,0.3574144486692015,0.6367713004484304,0.4231830726770929,0.5157894736842106,0.9202898550724636,0.5636363636363636,0.6360248447204969,0.809041309431021,0.5815602836879432,0.696969696969697,0.5724482512491078,0.6524017467248908,0.4573991031390134,0.5650708024275118,0.6213235294117647,0.6625824693685203,0.3124497991967871,0.3371428571428571,0.4354430379746835,0.7518796992481203,0.6525023607176582,0.2071005917159763,0.4955223880597015,0.6463414634146342,0.4716981132075472,0.6777332570120206,0.498019801980198,0.5870069605568445,0.497545008183306,0.4701267350633675,0.6636363636363637,0.322429906542056,0.665625,0.3056265984654731,0.5712401055408971,0.9022222222222224,0.4962406015037593,0.5693548387096774,0.5373134328358209,0.4473684210526316,0.2809667673716012,0.908256880733945,0.868421052631579,0.4325581395348837,0.5737122557726465,0.6427996781979083,0.4035087719298245,0.756578947368421,0.7404661016949152,0.5269709543568465,0.9271844660194176,0.6758104738154613,0.5245098039215687,0.5828970331588132,0.5270049099836334,0.5420743639921722,0.7749576988155669,0.918918918918919,0.7546125461254612,0.5378787878787878,0.3446676970633694,0.711276332094176,0.4753246753246753,0.6046511627906976,0.6004922067268252,0.768837803320562,0.5630630630630631,0.6903799514955538,0.6581196581196581,0.5291750503018109,0.6601830663615561,0.5725
{'pca__n_components': 100},0.5550964187327824,0.6266513497989661,0.4126213592233009,0.625,0.380281690140845,0.6763285024154589,0.7776049766718507,0.8991304347826087,0.6903914590747331,0.6297039638735574,0.6562913907284769,0.6956521739130435,0.4623762376237624,0.6772486772486772,0.2160883280757097,0.7525510204081632,0.3523537803138373,0.8676844783715013,0.629735525375268,0.4573170731707317,0.3851351351351351,0.2561576354679803,0.6091370558375635,0.7427450980392157,0.4409820585457979,0.5862068965517241,0.4943396226415094,0.4719626168224299,0.4486692015209125,0.672645739910314,0.4489420423183072,0.4947368421052631,0.9130434782608696,0.5909090909090909,0.6447204968944099,0.7833203429462198,0.5815602836879432,0.7212121212121212,0.6345467523197716,0.6655021834061136,0.4910313901345291,0.571813890761969,0.6507352941176471,0.702167766258247,0.3373493975903614,0.3585714285714286,0.4810126582278481,0.7604726100966702,0.6713881019830028,0.2751479289940828,0.4328358208955223,0.6480836236933798,0.490566037735849,0.7292501431024614,0.5495049504950495,0.6102088167053364,0.4713584288052373,0.4984912492456246,0.5363636363636364,0.3271028037383177,0.6697916666666667,0.3158567774936061,0.5079155672823219,0.9155555555555556,0.5864661654135338,0.5887096774193549,0.5245202558635395,0.4473684210526316,0.3655589123867069,0.9243119266055044,0.8233082706766918,0.4511627906976744,0.5914742451154529,0.7240547063555913,0.4947368421052631,0.7697368421052632,0.7738347457627118,0.6033195020746888,0.9320388349514565,0.6783042394014963,0.4926470588235294,0.6090750436300174,0.5990180032733224,0.5733855185909981,0.8155668358714044,0.8618618618618619,0.7601476014760148,0.4242424242424242,0.347758887171561,0.5724907063197026,0.4753246753246753,0.599483204134367,0.583264971287941,0.7637292464878672,0.5930930930930931,0.7097817299919159,0.6723646723646723,0.5130784708249497,0.6864988558352403,0.55
{'pca__n_components': 150},0.5564738292011019,0.6122917863296956,0.4271844660194174,0.6157407407407407,0.3532863849765258,0.6183574879227053,0.7776049766718507,0.8956521739130435,0.6832740213523132,0.6076266934269945,0.6443708609271523,0.6956521739130435,0.4316831683168317,0.6851851851851852,0.2192429022082019,0.7568027210884354,0.3309557774607703,0.8651399491094147,0.640457469621158,0.4491869918699187,0.3918918918918919,0.3251231527093596,0.6192893401015228,0.7529411764705882,0.4627006610009443,0.5862068965517241,0.4943396226415094,0.514018691588785,0.4562737642585551,0.6771300448430493,0.4397424103035878,0.5263157894736842,0.9166666666666666,0.5818181818181818,0.6546583850931676,0.7981293842556508,0.574468085106383,0.7151515151515152,0.6516773733047823,0.6794759825327511,0.5,0.5623735670937289,0.6433823529411765,0.6983977379830348,0.344578313253012,0.3628571428571429,0.4810126582278481,0.7454350161117078,0.6666666666666666,0.272189349112426,0.4149253731343283,0.6445993031358885,0.4622641509433962,0.7384087006296508,0.5504950495049505,0.6241299303944315,0.4525368248772504,0.4936632468316234,0.5545454545454546,0.3446261682242991,0.6708333333333333,0.3222506393861892,0.503957783641161,0.9066666666666666,0.6015037593984962,0.6,0.5501066098081023,0.4298245614035088,0.3625377643504531,0.9220183486238532,0.8345864661654135,0.4488372093023255,0.61101243339254,0.7457763475462591,0.5017543859649123,0.7763157894736842,0.7828389830508474,0.6149377593360996,,0.6683291770573566,0.4767156862745098,0.612565445026178,0.618657937806874,0.6027397260273972,0.8223350253807107,0.8618618618618619,0.7638376383763837,0.4545454545454545,0.3493044822256568,0.5650557620817844,0.4649350649350649,0.5891472868217055,0.5931091058244463,0.7535121328224776,0.6186186186186187,0.7267582861762328,0.6809116809116809,0.5090543259557344,0.6853546910755148,0.555
{'pca__n_components': 200},0.5585399449035813,0.6008041355542791,0.4174757281553398,0.6111111111111112,0.3380281690140845,,0.7682737169517885,0.8921739130434783,0.6832740213523132,0.5880582037129954,0.6390728476821192,0.6902173913043478,0.4247524752475247,0.6798941798941799,0.2208201892744479,0.7517006802721088,0.3238231098430813,0.8575063613231552,0.6397426733380986,0.4410569105691057,0.4121621621621621,0.3300492610837438,0.6142131979695431,0.7513725490196078,0.47780925401322,0.5994694960212201,0.4943396226415094,0.5514018691588785,0.4448669201520912,0.6816143497757847,0.4406623735050598,0.5368421052631579,0.9202898550724636,0.5818181818181818,0.6658385093167701,0.798908807482463,0.5673758865248227,0.7151515151515152,0.6581013561741613,0.6786026200873363,0.4977578475336323,0.5536075522589345,0.6433823529411765,0.6993402450518379,0.3485943775100402,0.37,0.4886075949367088,0.7518796992481203,0.6685552407932012,0.272189349112426,0.4111940298507462,0.6515679442508711,0.4622641509433962,0.7401259301659988,0.5554455445544555,0.62877030162413,0.4468085106382978,0.4906457453228726,,0.3551401869158878,0.6760416666666667,0.3248081841432225,0.5,0.9066666666666666,0.6015037593984962,0.6161290322580645,0.5714285714285714,0.4210526315789473,0.3564954682779456,0.9220183486238532,0.8458646616541353,0.4441860465116279,0.6127886323268206,0.7449718423169751,0.5052631578947369,0.7796052631578947,0.7796610169491526,0.6149377593360996,,0.6683291770573566,0.4632352941176471,0.612565445026178,0.6104746317512275,0.62426614481409,0.8206429780033841,0.8708708708708709,0.7619926199261993,,0.3508500772797527,0.550185873605948,0.4649350649350649,0.5813953488372093,0.6095159967186218,0.7650063856960408,0.6336336336336337,0.7299919159256265,0.6809116809116809,0.5025150905432596,0.6933638443935927,0.5475
{'pca__n_components': 250},0.5661157024793388,0.5944859276278002,0.4174757281553398,0.6157407407407407,0.3204225352112676,,0.7542768273716952,0.8921739130434783,0.6797153024911032,0.5604616156547918,0.6364238410596027,0.6847826086956522,0.4138613861386138,0.6772486772486772,0.2263406940063091,0.7465986394557823,0.3166904422253923,0.8524173027989822,0.6454610436025733,0.4390243902439024,0.4189189189189189,0.3497536945812808,0.6192893401015228,0.7568627450980392,0.4891406987724268,0.5994694960212201,0.5018867924528302,0.5607476635514018,0.4448669201520912,0.6816143497757847,0.4498620055197792,0.5473684210526316,0.9202898550724636,0.5727272727272728,0.6720496894409937,0.8004676539360873,0.5602836879432624,0.7090909090909091,0.6680942184154176,0.6716157205240174,0.5,0.5549561699258261,0.6544117647058824,0.704995287464656,0.3526104417670683,0.37,0.4936708860759494,0.7551020408163265,0.6704438149197356,0.2751479289940828,0.4111940298507462,0.6533101045296167,,0.7429879793932456,0.5584158415841585,0.62877030162413,0.44189852700491,0.488231744115872,,0.3656542056074766,0.6770833333333334,0.3273657289002558,0.4986807387862796,,0.5939849624060151,0.6290322580645161,0.5778251599147122,,0.3534743202416918,,0.8571428571428571,0.4372093023255814,0.6216696269982238,0.7497988736926791,0.5017543859649123,0.7631578947368421,0.774364406779661,0.6190871369294606,,0.6783042394014963,0.4534313725490196,0.6090750436300174,0.5875613747954174,0.6301369863013698,0.817258883248731,0.8768768768768769,0.7601476014760148,,0.3585780525502318,0.5439900867410161,0.4493506493506493,0.5710594315245479,0.623461853978671,0.7662835249042146,0.6396396396396397,0.7299919159256265,0.6809116809116809,0.5030181086519114,0.6967963386727689,0.54
{'pca__n_components': 300},0.568870523415978,0.5870189546237794,0.4029126213592233,0.6064814814814815,0.3110328638497652,,0.7558320373250389,0.888695652173913,0.6761565836298933,0.5363773206221776,0.633112582781457,0.6793478260869565,0.4099009900990099,0.6693121693121693,0.2318611987381703,0.7448979591836735,0.3152639087018545,0.8473282442748091,0.6468906361686919,0.4146341463414634,0.4189189189189189,0.334975369458128,0.6223350253807106,0.756078431372549,0.4985835694050991,0.6153846153846154,0.4981132075471698,0.5700934579439252,0.4334600760456273,0.6816143497757847,0.452621895124195,0.5578947368421052,0.9190821256038648,0.5636363636363636,0.6819875776397516,0.7981293842556508,0.5531914893617021,0.7090909090909091,0.6745182012847966,0.6759825327510917,0.4977578475336323,0.5522589345920431,0.6580882352941176,0.704995287464656,0.3542168674698795,0.3685714285714285,0.5012658227848101,0.7432867883995704,0.6742209631728046,0.2810650887573964,0.4052238805970149,0.6533101045296167,,0.7435603892386949,0.5633663366336633,0.6264501160092807,0.4361702127659574,0.4876282438141219,,0.3679906542056075,0.6760416666666667,0.3350383631713555,0.4934036939313984,,0.5939849624060151,0.635483870967742,0.5991471215351812,,0.338368580060423,,,0.4465116279069767,0.6234458259325044,0.7497988736926791,0.5052631578947369,0.7763157894736842,0.7722457627118644,0.620746887966805,,0.6733167082294265,0.446078431372549,0.6090750436300174,0.5728314238952537,0.639921722113503,0.817258883248731,,0.7693726937269373,,0.3624420401854714,0.5377942998760843,0.4441558441558441,0.5684754521963824,0.6251025430680885,0.7675606641123882,0.6426426426426426,0.7210994341147938,0.6752136752136753,0.4979879275653923,0.6979405034324943,0.5225
