params,mean,std
"{'pca__n_components': 250, 'svc__C': 10}",0.7544390245056912,0.14349262793954523
"{'pca__n_components': 350, 'svc__C': 10}",0.7543857222265737,0.14517716033910866
"{'pca__n_components': 250, 'svc__C': 5}",0.7539495414846268,0.1466226675510931
"{'pca__n_components': 300, 'svc__C': 10}",0.7539429673866519,0.14408568136214764
"{'pca__n_components': 200, 'svc__C': 5}",0.7537329055769365,0.14603212146861733
"{'pca__n_components': 200, 'svc__C': 10}",0.7536811163944067,0.14193022263802518
"{'pca__n_components': 400, 'svc__C': 10}",0.7534806085733134,0.1455088923790762
"{'pca__n_components': 150, 'svc__C': 5}",0.7523913266217338,0.14609500231669137
"{'pca__n_components': 150, 'svc__C': 10}",0.751872095218979,0.14170678761695166
"{'pca__n_components': 450, 'svc__C': 10}",0.7517437432504918,0.1478314551329306
"{'pca__n_components': 100, 'svc__C': 5}",0.7515048354588145,0.14565856381177658
"{'pca__n_components': 300, 'svc__C': 5}",0.7513016706256179,0.149129698055005
"{'pca__n_components': 150, 'svc__C': 2}",0.7506744636230206,0.14956845921648937
"{'pca__n_components': 500, 'svc__C': 10}",0.7505328406612146,0.14903242440483097
"{'pca__n_components': 350, 'svc__C': 5}",0.75052529554264,0.15061168867008282
"{'pca__n_components': 100, 'svc__C': 10}",0.7502104469479524,0.14227928900272296
"{'pca__n_components': 100, 'svc__C': 2}",0.749585529934942,0.15279921757733333
"{'pca__n_components': 400, 'svc__C': 5}",0.7493760244340112,0.15288141539141192
"{'pca__n_components': 450, 'svc__C': 5}",0.7483198869217439,0.15411910695442482
"{'pca__n_components': 200, 'svc__C': 2}",0.7479861155355064,0.1536472894368592
"{'pca__n_components': 500, 'svc__C': 5}",0.7474326892912662,0.15582023065207895
"{'pca__n_components': 250, 'svc__C': 2}",0.7462261454430045,0.15492256337814334
"{'pca__n_components': 300, 'svc__C': 2}",0.7447036565740103,0.157191881502309
"{'pca__n_components': 100, 'svc__C': 1}",0.74332268904782,0.15875843814387328
"{'pca__n_components': 350, 'svc__C': 2}",0.7428254197631121,0.16041324988422395
"{'pca__n_components': 400, 'svc__C': 2}",0.7425006180553778,0.16211619749370285
"{'pca__n_components': 150, 'svc__C': 1}",0.7417076843520267,0.1612073599157059
"{'pca__n_components': 450, 'svc__C': 2}",0.7416357102572851,0.1637980440757101
"{'pca__n_components': 500, 'svc__C': 2}",0.7413359462573801,0.1656191354781137
"{'pca__n_components': 200, 'svc__C': 1}",0.741032508133875,0.16127315234498468
"{'pca__n_components': 250, 'svc__C': 1}",0.7403990112213179,0.16357266116884328
"{'pca__n_components': 42, 'svc__C': 10}",0.7394828001550948,0.15425684475447224
"{'pca__n_components': 100, 'svc__C': 0.8}",0.7389558642329515,0.16307229888064517
"{'pca__n_components': 42, 'svc__C': 5}",0.7389138024053372,0.15661854664570068
"{'pca__n_components': 42, 'svc__C': 2}",0.7387346234259059,0.15977386367133345
"{'pca__n_components': 150, 'svc__C': 0.8}",0.7386954237562294,0.1639158467181546
"{'pca__n_components': 300, 'svc__C': 1}",0.7382116994520435,0.1658787551254338
"{'pca__n_components': 200, 'svc__C': 0.8}",0.7382018911364794,0.1643681539330789
"{'pca__n_components': 250, 'svc__C': 0.8}",0.737472126215132,0.1672824764146252
"{'pca__n_components': 350, 'svc__C': 1}",0.7368277952366307,0.1682421382579983
"{'pca__n_components': 450, 'svc__C': 1}",0.7364913475896416,0.16995304121569438
"{'pca__n_components': 400, 'svc__C': 1}",0.736414923432617,0.16905671098059316
"{'pca__n_components': 500, 'svc__C': 1}",0.736190271166519,0.169866095063431
"{'pca__n_components': 300, 'svc__C': 0.8}",0.7358266585384645,0.16840700315200383
"{'pca__n_components': 400, 'svc__C': 0.8}",0.735128336246992,0.1701658084605437
"{'pca__n_components': 450, 'svc__C': 0.8}",0.7346994100669189,0.1700250113082951
"{'pca__n_components': 350, 'svc__C': 0.8}",0.7346888064039488,0.1695699501216359
"{'pca__n_components': 500, 'svc__C': 0.8}",0.7346805986216706,0.1703486993232524
"{'pca__n_components': 200, 'svc__C': 0.6}",0.7344387449774754,0.1694268637845078
"{'pca__n_components': 150, 'svc__C': 0.6}",0.7343689002206358,0.16754425015642027
"{'pca__n_components': 400, 'svc__C': 0.6}",0.7338079812085803,0.17013299409439836
"{'pca__n_components': 450, 'svc__C': 0.6}",0.7333591877228349,0.17013708690770507
"{'pca__n_components': 350, 'svc__C': 0.6}",0.7332226596718363,0.17006022819845382
"{'pca__n_components': 250, 'svc__C': 0.6}",0.7331675424942462,0.17001411034120575
"{'pca__n_components': 300, 'svc__C': 0.6}",0.7330910181612543,0.17003509760911717
"{'pca__n_components': 500, 'svc__C': 0.6}",0.7326739443364633,0.17009155259844036
"{'pca__n_components': 400, 'svc__C': 0.5}",0.7323459421831257,0.1703017073825019
"{'pca__n_components': 350, 'svc__C': 0.5}",0.7322683524376931,0.17056850579861357
"{'pca__n_components': 42, 'svc__C': 1}",0.7319752630094521,0.1678828392708209
"{'pca__n_components': 300, 'svc__C': 0.5}",0.7319440128418029,0.17082326962260855
"{'pca__n_components': 150, 'svc__C': 0.5}",0.731836226977374,0.1707492873630427
"{'pca__n_components': 450, 'svc__C': 0.5}",0.7317374128742682,0.17016499954161887
"{'pca__n_components': 500, 'svc__C': 0.5}",0.7315353413927648,0.17032381065374483
"{'pca__n_components': 200, 'svc__C': 0.5}",0.7314970537640673,0.1709523210637189
"{'pca__n_components': 100, 'svc__C': 0.6}",0.7311326829396613,0.16957058133664618
"{'pca__n_components': 250, 'svc__C': 0.5}",0.731049049679168,0.17091747659759482
"{'pca__n_components': 100, 'svc__C': 0.5}",0.7271932090108622,0.1717426216715091
"{'pca__n_components': 25, 'svc__C': 5}",0.7256706179532679,0.15787304342870953
"{'pca__n_components': 25, 'svc__C': 2}",0.7254456155423749,0.15956263878272542
"{'pca__n_components': 25, 'svc__C': 10}",0.7254171933191986,0.15638925600435008
"{'pca__n_components': 42, 'svc__C': 0.8}",0.7252700304479456,0.17037972023704406
"{'pca__n_components': 20, 'svc__C': 5}",0.7211728900455313,0.15752890776188616
"{'pca__n_components': 20, 'svc__C': 2}",0.7210732185407791,0.1588793746613404
"{'pca__n_components': 25, 'svc__C': 1}",0.7191991437784239,0.16513595693852556
"{'pca__n_components': 20, 'svc__C': 10}",0.7191972223962663,0.15625943507562348
"{'pca__n_components': 42, 'svc__C': 0.6}",0.7175868950536978,0.1726520173623
"{'pca__n_components': 20, 'svc__C': 1}",0.7153333537165374,0.1652317677026271
"{'pca__n_components': 42, 'svc__C': 0.5}",0.7137967249712047,0.17394651897759278
"{'pca__n_components': 25, 'svc__C': 0.8}",0.7133414884691041,0.16833197149414358
"{'pca__n_components': 250, 'svc__C': 0.1}",0.7132962589627152,0.17755245501632808
"{'pca__n_components': 300, 'svc__C': 0.1}",0.7117988201607615,0.17625737451494564
"{'pca__n_components': 200, 'svc__C': 0.1}",0.7109004742695193,0.17948654376846937
"{'pca__n_components': 350, 'svc__C': 0.1}",0.7102246797128067,0.17569363114116215
"{'pca__n_components': 20, 'svc__C': 0.8}",0.7099796210502073,0.16746112257972567
"{'pca__n_components': 25, 'svc__C': 0.6}",0.7091477526317004,0.16972142781045466
"{'pca__n_components': 400, 'svc__C': 0.1}",0.7087820972357411,0.17472043066785625
"{'pca__n_components': 450, 'svc__C': 0.1}",0.7081298051462848,0.1738467527745346
"{'pca__n_components': 500, 'svc__C': 0.1}",0.7070398398594164,0.17303445080428584
"{'pca__n_components': 10, 'svc__C': 5}",0.7064297775141388,0.15593402783127955
"{'pca__n_components': 10, 'svc__C': 2}",0.7058750525371441,0.1578210147932449
"{'pca__n_components': 25, 'svc__C': 0.5}",0.7058137337840134,0.17081177386004706
"{'pca__n_components': 150, 'svc__C': 0.1}",0.7052749053337379,0.18159055869780458
"{'pca__n_components': 20, 'svc__C': 0.6}",0.7041887397247001,0.16955672852502668
"{'pca__n_components': 10, 'svc__C': 10}",0.7036659964598317,0.154003334690823
"{'pca__n_components': 20, 'svc__C': 0.5}",0.7010660815706938,0.17089357890504203
"{'pca__n_components': 10, 'svc__C': 1}",0.7001730475225788,0.1621189968984763
"{'pca__n_components': 100, 'svc__C': 0.1}",0.697389642995894,0.18089731963920716
"{'pca__n_components': 4, 'svc__C': 2}",0.6964357697529536,0.14905674812518335
"{'pca__n_components': 10, 'svc__C': 0.8}",0.6941008169950221,0.1649240002359956
"{'pca__n_components': 4, 'svc__C': 5}",0.6940219003935814,0.1469919472227675
"{'pca__n_components': 4, 'svc__C': 10}",0.6901178840062221,0.14588699481502088
"{'pca__n_components': 4, 'svc__C': 1}",0.6896350909633686,0.15512315549026565
"{'pca__n_components': 4, 'svc__C': 0.8}",0.6840194991706217,0.1597448096239353
"{'pca__n_components': 10, 'svc__C': 0.6}",0.6817334960985001,0.16844167445797914
"{'pca__n_components': 4, 'svc__C': 0.6}",0.677620281810755,0.1640620956673155
"{'pca__n_components': 42, 'svc__C': 0.1}",0.6749637311258115,0.17882635234489355
"{'pca__n_components': 10, 'svc__C': 0.5}",0.6748926280968596,0.16896496252283774
"{'pca__n_components': 4, 'svc__C': 0.5}",0.6661261545503718,0.1663144312200154
"{'pca__n_components': 25, 'svc__C': 0.1}",0.6559334010652266,0.18149971847849206
"{'pca__n_components': 20, 'svc__C': 0.1}",0.6458873834582911,0.18537547245000802
"{'pca__n_components': 10, 'svc__C': 0.1}",0.63084861842934,0.18881287745682235
"{'pca__n_components': 4, 'svc__C': 0.1}",0.6130866089109648,0.18856391218808935
