params,mean,std
"{'pca__n_components': 100, 'svc__gamma': 'auto'}",0.7434282396556092,0.15903782633494257
"{'pca__n_components': 150, 'svc__gamma': 'auto'}",0.741759000435976,0.16130520395992903
"{'pca__n_components': 200, 'svc__gamma': 'auto'}",0.7413187699544553,0.1611573235365205
"{'pca__n_components': 250, 'svc__gamma': 'auto'}",0.7403664701669841,0.16357778983993446
"{'pca__n_components': 300, 'svc__gamma': 'auto'}",0.7381223755945254,0.1658031575122665
"{'pca__n_components': 350, 'svc__gamma': 'auto'}",0.7368633644601811,0.1680383620254231
"{'pca__n_components': 450, 'svc__gamma': 'auto'}",0.7364675620168114,0.16998792698208817
"{'pca__n_components': 400, 'svc__gamma': 'auto'}",0.7362297005892288,0.16896553987251378
"{'pca__n_components': 500, 'svc__gamma': 'auto'}",0.7361071128991533,0.16982064292874194
"{'pca__n_components': 450, 'svc__gamma': 'scale'}",0.7335472116927744,0.17003475628072565
"{'pca__n_components': 500, 'svc__gamma': 'scale'}",0.7335447604936967,0.1701208317218944
"{'pca__n_components': 400, 'svc__gamma': 'scale'}",0.7334946865256924,0.17001247282553802
"{'pca__n_components': 350, 'svc__gamma': 'scale'}",0.7333881162244387,0.16986498854770724
"{'pca__n_components': 300, 'svc__gamma': 'scale'}",0.732697985494131,0.16977615389906192
"{'pca__n_components': 250, 'svc__gamma': 'scale'}",0.7323068632553955,0.16964076772906284
"{'pca__n_components': 200, 'svc__gamma': 'scale'}",0.731896273768023,0.16931364666374057
"{'pca__n_components': 150, 'svc__gamma': 'scale'}",0.7316732933956908,0.1692244928809866
"{'pca__n_components': 42, 'svc__gamma': 'auto'}",0.7315472185563645,0.1680175182915837
"{'pca__n_components': 100, 'svc__gamma': 'scale'}",0.7315067921226479,0.16913385036647668
"{'pca__n_components': 42, 'svc__gamma': 'scale'}",0.7298761697801572,0.16831801618094552
"{'pca__n_components': 25, 'svc__gamma': 'scale'}",0.729225451192733,0.16792777415137028
"{'pca__n_components': 20, 'svc__gamma': 'scale'}",0.7282616659611852,0.16798029906047587
"{'pca__n_components': 10, 'svc__gamma': 'scale'}",0.7252628782665689,0.16854081830715445
"{'pca__n_components': 25, 'svc__gamma': 'auto'}",0.7192197197021857,0.16504980844227782
"{'pca__n_components': 4, 'svc__gamma': 'scale'}",0.7178476652635233,0.16912631186299704
"{'pca__n_components': 20, 'svc__gamma': 'auto'}",0.7152220330690808,0.16517796677918503
"{'pca__n_components': 10, 'svc__gamma': 'auto'}",0.700132756647903,0.16211834839711675
"{'pca__n_components': 4, 'svc__gamma': 'auto'}",0.6896350909633686,0.15512315549026565
