params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'pca__n_components': 4, 'svc__gamma': 'scale'}",0.5604265402843602,0.620253164556962,0.9715302491103204,0.927927927927928,0.6685082872928176,0.7551963048498845,0.976525821596244,0.7280701754385965,0.6390328151986183,0.7443850267379679,0.7384393063583815,0.8835705045278137,0.84472049689441,0.5668449197860963,0.4235807860262008,0.5344827586206896,0.91,0.7131782945736435,0.5470085470085471,0.7668711656441718,0.6832844574780058,0.8556149732620321,0.8007968127490039,0.757847533632287,0.6090225563909775,1.0,0.7540983606557377,0.5242214532871973,0.7853403141361257,0.5534591194968553,0.4246575342465753,0.5094850948509485,0.4206896551724138,0.7176470588235294,0.9066951566951568,0.7881773399014779,0.738831615120275,0.9171974522292994,0.6931818181818182,0.7170868347338936,0.5813953488372093,0.7653061224489796,0.7327935222672065,0.4923076923076923,0.7142857142857143,0.7445378151260504,0.525,0.7435897435897436,0.4913793103448275,0.710541989279333,0.8571428571428571,0.6091954022988506,0.3186274509803921,0.6680327868852459,0.601018675721562,0.961038961038961,0.3211009174311927,0.589041095890411,0.7194719471947195,0.5573770491803278,0.8343558282208589,0.986725663716814,0.9788135593220338,0.7860151642796968,0.9906542056074766,0.7567567567567568,0.7837837837837838,0.594139989148128,0.9523809523809524,0.34375,0.8045112781954887,0.5609756097560976,0.824390243902439,0.6330275229357798,0.9863945578231292,0.9826989619377162,0.6893939393939394,0.7350427350427351,0.6560196560196561,0.3592233009708738,0.6237623762376238,0.8705636743215032,0.8904109589041096,0.808641975308642,0.9601990049751244,1.0,0.3567961165048544,0.7068403908794788,0.8341708542713567,0.6793650793650794,0.6481876332622601,0.94921875,0.7642810242941562,0.6939313984168866,0.7717391304347826,0.8410596026490066,0.5799086757990868,0.7687861271676301,0.7714285714285715,0.6453488372093024
"{'pca__n_components': 4, 'svc__gamma': 'auto'}",0.4869668246445497,0.6540084388185654,0.9715302491103204,0.927927927927928,0.6077348066298343,0.7725173210161663,0.8591549295774648,0.8245614035087719,0.6338514680483592,0.6716577540106952,0.5158959537572254,0.8460543337645536,0.7515527950310559,0.7486631016042781,0.4323144104803493,0.7155172413793104,0.76,0.661498708010336,0.5470085470085471,0.8404907975460123,0.6070381231671554,0.8074866310160428,0.7330677290836654,0.7533632286995515,0.5037593984962406,0.9043478260869564,0.7704918032786885,0.5034602076124568,0.837696335078534,0.7484276729559748,0.5068493150684932,0.3875338753387534,0.4344827586206896,0.7411764705882353,0.8368945868945868,0.7748064743138635,0.7044673539518901,0.8821656050955414,0.6363636363636364,0.726890756302521,0.7131782945736435,0.5561224489795918,0.48582995951417,0.5115384615384615,0.7407407407407407,0.6571428571428571,0.4875,0.6837606837606838,0.6422413793103449,0.653960690887433,0.6696428571428571,0.6781609195402298,0.3063725490196078,0.6639344262295082,0.4753820033955857,0.9047619047619048,0.4770642201834862,0.5958904109589042,0.8151815181518152,0.5573770491803278,0.7944785276073619,0.9247787610619468,0.961864406779661,0.7818028643639428,0.8535825545171339,0.7876447876447876,0.6426426426426426,0.5735214324470971,0.9251700680272108,0.421875,0.7744360902255639,0.5528455284552846,0.824390243902439,0.6972477064220184,0.8707482993197279,0.9619377162629758,0.8049242424242424,0.6923076923076923,0.6150696150696151,0.3689320388349514,0.4686468646864686,0.6597077244258872,0.815068493150685,0.7345679012345679,0.9601990049751244,1.0,0.3834951456310679,0.7100977198697068,0.7889447236180904,0.5968253968253968,0.6023454157782516,0.7421875,0.7944845699277742,0.5910290237467019,0.7125603864734299,0.7781456953642384,0.502283105022831,0.653179190751445,0.7904761904761904,0.5436046511627907
"{'pca__n_components': 10, 'svc__gamma': 'scale'}",0.5758293838862559,0.620253164556962,0.9715302491103204,0.927927927927928,0.6795580110497238,0.7609699769053118,0.9812206572769951,0.7982456140350878,0.6355785837651122,0.7422459893048128,0.7658959537572254,0.8913324708926261,0.8385093167701864,0.5668449197860963,0.4235807860262008,0.5344827586206896,0.94,0.7054263565891473,0.5470085470085471,0.7607361963190185,0.6891495601173021,0.8556149732620321,0.796812749003984,0.757847533632287,0.6015037593984962,1.0,0.7540983606557377,0.532871972318339,0.8167539267015707,0.6415094339622641,0.4246575342465753,0.5474254742547425,0.4206896551724138,0.7235294117647059,0.9273504273504274,0.7938071780436312,0.7319587628865979,0.9171974522292994,0.6893939393939394,0.7380952380952381,0.5813953488372093,0.8010204081632653,0.7368421052631579,0.4923076923076923,0.7142857142857143,0.7596638655462185,0.5291666666666667,0.7521367521367521,0.4913793103448275,0.7081596188207266,0.8660714285714286,0.6360153256704981,0.3235294117647059,0.6680327868852459,0.6383701188455009,0.961038961038961,0.3211009174311927,0.589041095890411,0.7194719471947195,0.5573770491803278,0.843558282208589,0.986725663716814,0.9788135593220338,0.776748104465038,0.9937694704049844,0.7683397683397684,0.8528528528528528,0.5968529571351058,0.9523809523809524,0.34375,0.7894736842105263,0.5609756097560976,0.824390243902439,0.6330275229357798,0.9863945578231292,0.9826989619377162,0.6893939393939394,0.7350427350427351,0.6699426699426699,0.3592233009708738,0.6270627062706271,0.872651356993737,0.8767123287671232,0.8333333333333334,0.9601990049751244,1.0,0.3834951456310679,0.7068403908794788,0.8341708542713567,0.6571428571428571,0.6631130063965884,0.94921875,0.7866053841103086,0.7058047493403694,0.7741545893719807,0.8554083885209713,0.6073059360730594,0.7630057803468208,0.8148809523809524,0.6569767441860465
"{'pca__n_components': 10, 'svc__gamma': 'auto'}",0.4798578199052132,0.6371308016877637,0.9715302491103204,0.927927927927928,0.6243093922651933,0.8036951501154734,0.8403755868544601,0.8421052631578947,0.6683937823834197,0.7155080213903743,0.7066473988439307,0.8421733505821475,0.7577639751552795,0.7807486631016043,0.4235807860262008,0.8448275862068966,0.75,0.6640826873385013,0.5470085470085471,0.8466257668711656,0.6041055718475073,0.8074866310160428,0.6852589641434262,0.7533632286995515,0.5112781954887218,0.8913043478260869,0.7868852459016393,0.5519031141868512,0.8743455497382199,0.7924528301886793,0.5684931506849316,0.3550135501355013,0.4206896551724138,0.7764705882352941,0.7571225071225072,0.7684729064039408,0.7285223367697594,0.8885350318471338,0.6060606060606061,0.7640056022408963,0.7596899224806202,0.5561224489795918,0.4655870445344129,0.4923076923076923,0.7883597883597884,0.6521008403361345,0.4916666666666666,0.6837606837606838,0.7974137931034483,0.6813579511614056,0.9017857142857144,0.7164750957854407,0.2990196078431372,0.680327868852459,0.4448217317487266,0.9047619047619048,0.4801223241590214,0.6027397260273972,0.834983498349835,0.5573770491803278,0.8251533742331288,0.9336283185840708,0.961864406779661,0.8138163437236732,0.8037383177570093,0.7915057915057915,0.5975975975975976,0.5371676614215952,0.9251700680272108,0.4921875,0.7819548872180451,0.5528455284552846,0.824390243902439,0.6972477064220184,0.7959183673469388,0.972318339100346,0.8257575757575758,0.6923076923076923,0.6576576576576577,0.3592233009708738,0.4224422442244224,0.6586638830897703,0.9041095890410958,0.7222222222222222,0.9601990049751244,1.0,0.3689320388349514,0.7166123778501629,0.7889447236180904,0.5714285714285714,0.5842217484008528,0.71484375,0.8529218647406435,0.5699208443271768,0.7741545893719807,0.7538631346578366,0.4657534246575342,0.6705202312138728,0.8297619047619048,0.4854651162790697
"{'pca__n_components': 20, 'svc__gamma': 'scale'}",0.5687203791469194,0.620253164556962,0.9715302491103204,0.927927927927928,0.6850828729281768,0.7644341801385681,0.9859154929577464,0.8070175438596491,0.6390328151986183,0.7454545454545455,0.7716763005780347,0.8958602846054333,0.8385093167701864,0.6417112299465241,0.4235807860262008,0.5344827586206896,0.94,0.710594315245478,0.5470085470085471,0.7668711656441718,0.6656891495601173,0.8716577540106952,0.8007968127490039,0.757847533632287,0.6015037593984962,1.0,0.7540983606557377,0.527681660899654,0.8167539267015707,0.6540880503144654,0.4246575342465753,0.5474254742547425,0.4206896551724138,0.7352941176470589,0.9273504273504274,0.7952146375791695,0.7319587628865979,0.9171974522292994,0.6931818181818182,0.742296918767507,0.5813953488372093,0.7959183673469388,0.7327935222672065,0.4923076923076923,0.7142857142857143,0.7529411764705882,0.5291666666666667,0.7521367521367521,0.4956896551724138,0.7129243597379392,0.875,0.6475095785440613,0.3308823529411764,0.6680327868852459,0.634974533106961,0.9653679653679652,0.3241590214067278,0.589041095890411,0.7161716171617162,0.5573770491803278,0.8466257668711656,0.991150442477876,0.9788135593220338,0.7759056444818871,0.9968847352024922,0.7644787644787645,0.8618618618618619,0.6017362995116657,0.9523809523809524,0.34375,0.7819548872180451,0.5609756097560976,0.8292682926829268,0.6330275229357798,0.9897959183673468,0.9826989619377162,0.7140151515151515,0.7350427350427351,0.6781326781326781,0.3592233009708738,0.6270627062706271,0.8768267223382046,0.863013698630137,0.8333333333333334,0.9601990049751244,1.0,0.3932038834951456,0.7068403908794788,0.8341708542713567,0.6825396825396826,0.6684434968017058,0.94140625,0.799080761654629,0.7097625329815304,0.7814009661835749,0.8620309050772627,0.6164383561643836,0.7745664739884393,0.8220238095238095,0.6569767441860465
"{'pca__n_components': 20, 'svc__gamma': 'auto'}",0.4739336492890995,0.6624472573839663,0.9750889679715302,0.927927927927928,0.6298342541436464,0.812933025404157,0.8591549295774648,0.8596491228070176,0.6822107081174439,0.7144385026737968,0.7341040462427746,0.8622250970245796,0.8074534161490683,0.8342245989304813,0.4235807860262008,0.8706896551724138,0.95,0.6718346253229974,0.5470085470085471,0.7484662576687117,0.6129032258064516,0.8074866310160428,0.7051792828685259,0.7623318385650224,0.5112781954887218,0.9260869565217392,0.8032786885245902,0.5692041522491349,0.900523560209424,0.7924528301886793,0.6232876712328768,0.3685636856368564,0.4206896551724138,0.7529411764705882,0.8133903133903134,0.7741027445460943,0.7697594501718213,0.9044585987261148,0.6022727272727273,0.7654061624649859,0.7906976744186046,0.5867346938775511,0.4574898785425101,0.4961538461538461,0.7777777777777778,0.6605042016806723,0.5041666666666667,0.7094017094017094,0.8146551724137931,0.6873138773079214,0.9107142857142856,0.7279693486590039,0.2892156862745098,0.6598360655737705,0.4550084889643463,0.9307359307359307,0.4801223241590214,0.5958904109589042,0.8514851485148515,0.5573770491803278,0.8343558282208589,0.9469026548672568,0.9533898305084746,0.8112889637742208,0.8629283489096573,0.7915057915057915,0.6696696696696697,0.6212696690179056,0.9387755102040816,0.5,0.7819548872180451,0.5609756097560976,0.824390243902439,0.7155963302752294,0.8435374149659864,0.9653979238754326,0.821969696969697,0.6923076923076923,0.6814086814086814,0.3640776699029126,0.4059405940594059,0.6711899791231732,0.9178082191780822,0.7469135802469136,0.9601990049751244,1.0,0.3592233009708738,0.7296416938110749,0.8190954773869347,0.5714285714285714,0.5906183368869936,0.79296875,0.8627708470124754,0.5883905013192612,0.7934782608695652,0.7671081677704195,0.502283105022831,0.6820809248554913,0.8422619047619048,0.561046511627907
"{'pca__n_components': 25, 'svc__gamma': 'scale'}",0.5687203791469194,0.620253164556962,0.9715302491103204,0.927927927927928,0.7016574585635359,0.7655889145496536,0.9859154929577464,0.7982456140350878,0.6390328151986183,0.7411764705882353,0.7745664739884393,0.8958602846054333,0.8385093167701864,0.6951871657754011,0.4235807860262008,0.5344827586206896,0.94,0.7054263565891473,0.5470085470085471,0.7668711656441718,0.6627565982404692,0.8770053475935828,0.8007968127490039,0.757847533632287,0.5789473684210527,1.0,0.7540983606557377,0.527681660899654,0.8167539267015707,0.6666666666666666,0.4246575342465753,0.5420054200542005,0.4206896551724138,0.7352941176470589,0.9252136752136751,0.7959183673469388,0.7319587628865979,0.9171974522292994,0.6856060606060606,0.742296918767507,0.5813953488372093,0.7959183673469388,0.7368421052631579,0.4923076923076923,0.7142857142857143,0.7596638655462185,0.5333333333333333,0.7521367521367521,0.4956896551724138,0.7123287671232876,0.875,0.6475095785440613,0.3308823529411764,0.6680327868852459,0.6417657045840407,0.9653679653679652,0.3241590214067278,0.589041095890411,0.7161716171617162,0.5573770491803278,0.843558282208589,0.991150442477876,0.9788135593220338,0.7750631844987363,0.9968847352024922,0.7644787644787645,0.8678678678678678,0.6033640803038525,0.9523809523809524,0.34375,0.7894736842105263,0.5609756097560976,0.8292682926829268,0.6330275229357798,0.9897959183673468,0.9826989619377162,0.7291666666666666,0.7350427350427351,0.6797706797706797,0.3592233009708738,0.6435643564356436,0.8757828810020877,0.863013698630137,0.8271604938271605,0.9601990049751244,1.0,0.3883495145631068,0.7068403908794788,0.8341708542713567,0.6825396825396826,0.6695095948827292,0.94140625,0.8017071569271176,0.712401055408971,0.7789855072463768,0.8675496688741722,0.6118721461187214,0.7745664739884393,0.8202380952380952,0.6627906976744186
"{'pca__n_components': 25, 'svc__gamma': 'auto'}",0.4834123222748815,0.6624472573839663,0.9715302491103204,0.927927927927928,0.6243093922651933,0.8083140877598153,0.8732394366197183,0.868421052631579,0.6822107081174439,0.7155080213903743,0.7312138728323699,0.8783958602846055,0.8136645962732919,0.8556149732620321,0.4235807860262008,0.8706896551724138,0.95,0.6770025839793282,0.5470085470085471,0.7668711656441718,0.624633431085044,0.8074866310160428,0.7171314741035857,0.7623318385650224,0.518796992481203,0.9434782608695652,0.8114754098360656,0.5761245674740484,0.8848167539267016,0.7987421383647799,0.6506849315068494,0.3766937669376693,0.4206896551724138,0.7529411764705882,0.8326210826210826,0.7733990147783252,0.7731958762886598,0.9044585987261148,0.6212121212121212,0.7724089635854342,0.751937984496124,0.6020408163265306,0.4534412955465587,0.4884615384615384,0.7936507936507936,0.6605042016806723,0.5041666666666667,0.7094017094017094,0.8146551724137931,0.6867182846932698,0.9017857142857144,0.7241379310344828,0.2867647058823529,0.6639344262295082,0.466893039049236,0.935064935064935,0.4740061162079511,0.5958904109589042,0.8481848184818482,0.5573770491803278,0.8374233128834356,0.9557522123893806,0.9533898305084746,0.802021903959562,0.8909657320872274,0.7992277992277992,0.6816816816816816,0.6294085729788389,0.9387755102040816,0.4921875,0.7819548872180451,0.5609756097560976,0.824390243902439,0.7155963302752294,0.8707482993197279,0.9653979238754326,0.8295454545454546,0.6923076923076923,0.6838656838656839,0.3689320388349514,0.4125412541254125,0.68580375782881,0.9178082191780822,0.7530864197530864,0.9601990049751244,1.0,0.3616504854368932,0.7328990228013029,0.8190954773869347,0.5904761904761905,0.5991471215351812,0.80859375,0.8614576493762311,0.5976253298153035,0.788647342995169,0.7781456953642384,0.5114155251141552,0.6878612716763006,0.8375,0.5697674418604651
"{'pca__n_components': 42, 'svc__gamma': 'scale'}",0.566350710900474,0.620253164556962,0.9715302491103204,0.927927927927928,0.7016574585635359,0.7678983833718245,0.9859154929577464,0.8157894736842105,0.6390328151986183,0.7422459893048128,0.7774566473988439,0.8965071151358344,0.8385093167701864,0.7593582887700535,0.4235807860262008,0.5344827586206896,0.93,0.7054263565891473,0.5470085470085471,0.7668711656441718,0.656891495601173,0.8770053475935828,0.8007968127490039,0.757847533632287,0.5714285714285714,1.0,0.7540983606557377,0.5294117647058824,0.8219895287958116,0.6792452830188679,0.4246575342465753,0.5392953929539296,0.4206896551724138,0.7352941176470589,0.9245014245014244,0.7952146375791695,0.7353951890034365,0.9171974522292994,0.6856060606060606,0.742296918767507,0.5813953488372093,0.7755102040816326,0.728744939271255,0.4923076923076923,0.7195767195767195,0.7647058823529411,0.5291666666666667,0.7521367521367521,0.4913793103448275,0.7093508040500298,0.8839285714285714,0.6551724137931034,0.3333333333333333,0.6680327868852459,0.6400679117147708,0.9653679653679652,0.3241590214067278,0.589041095890411,0.7128712871287128,0.5573770491803278,0.8404907975460123,0.991150442477876,0.9788135593220338,0.7775905644481887,0.9937694704049844,0.7606177606177607,0.8738738738738738,0.6060770482908302,0.9523809523809524,0.34375,0.7969924812030075,0.5609756097560976,0.824390243902439,0.6330275229357798,0.9863945578231292,0.9826989619377162,0.759469696969697,0.7350427350427351,0.6773136773136773,0.3592233009708738,0.6336633663366337,0.8747390396659708,0.863013698630137,0.8333333333333334,0.9601990049751244,1.0,0.3834951456310679,0.7068403908794788,0.8391959798994975,0.6698412698412698,0.6652452025586354,0.9453125,0.7984241628365069,0.7150395778364116,0.7765700483091788,0.8686534216335541,0.6073059360730594,0.7687861271676301,0.8208333333333333,0.6627906976744186
"{'pca__n_components': 42, 'svc__gamma': 'auto'}",0.4869668246445497,0.6666666666666666,0.9750889679715302,0.927927927927928,0.6298342541436464,0.812933025404157,0.9906103286384976,0.868421052631579,0.6787564766839378,0.7262032085561497,0.7413294797687862,0.9197930142302716,0.8260869565217391,0.8770053475935828,0.4235807860262008,0.8706896551724138,0.95,0.689922480620155,0.5470085470085471,0.7484662576687117,0.6275659824046921,0.8074866310160428,0.7250996015936255,0.757847533632287,0.5413533834586466,1.0,0.8032786885245902,0.5692041522491349,0.8795811518324608,0.7610062893081762,0.6712328767123288,0.3929539295392953,0.4206896551724138,0.7588235294117647,0.8931623931623932,0.7790288529204785,0.7663230240549829,0.910828025477707,0.6287878787878788,0.773109243697479,0.7596899224806202,0.6224489795918368,0.4777327935222672,0.5153846153846153,0.8095238095238095,0.6655462184873949,0.4916666666666666,0.717948717948718,0.8146551724137931,0.6813579511614056,0.9196428571428572,0.7049808429118773,0.284313725490196,0.6557377049180327,0.5025466893039049,0.935064935064935,0.4801223241590214,0.589041095890411,0.858085808580858,0.5573770491803278,0.8220858895705522,0.995575221238938,0.9576271186440678,0.8003369839932604,0.9657320872274144,0.7992277992277992,0.7237237237237237,0.631578947368421,0.9387755102040816,0.4921875,0.7819548872180451,0.5609756097560976,0.824390243902439,0.7064220183486238,0.95578231292517,0.9653979238754326,0.8276515151515151,0.6923076923076923,0.6773136773136773,0.3786407766990291,0.4356435643564356,0.7202505219206681,0.910958904109589,0.7716049382716049,0.9601990049751244,1.0,0.3762135922330097,0.739413680781759,0.8291457286432161,0.638095238095238,0.6204690831556503,0.9296875,0.8562048588312541,0.6675461741424802,0.7983091787439613,0.8322295805739515,0.5388127853881278,0.7167630057803468,0.8375,0.6104651162790697
