params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'pca__n_components': 4, 'svc__C': 0.1}",0.4798578199052132,0.620253164556962,0.9715302491103204,0.927927927927928,0.5580110497237569,0.7401847575057737,0.8309859154929577,0.2982456140350877,0.616580310880829,0.73475935828877,0.3656069364161849,0.8040103492884865,0.515527950310559,0.5828877005347594,0.4235807860262008,0.6120689655172413,0.41,0.6589147286821705,0.5470085470085471,0.7484662576687117,0.6129032258064516,0.8074866310160428,0.5776892430278885,0.757847533632287,0.3684210526315789,0.808695652173913,0.7540983606557377,0.4948096885813148,0.7120418848167539,0.8301886792452831,0.4246575342465753,0.2303523035230352,0.4206896551724138,0.5823529411764706,0.8326210826210826,0.7818437719915552,0.7285223367697594,0.7707006369426752,0.5113636363636364,0.6435574229691877,0.5813953488372093,0.423469387755102,0.4655870445344129,0.4923076923076923,0.7195767195767195,0.5546218487394958,0.4791666666666667,0.3333333333333333,0.4741379310344827,0.6730196545562835,0.6785714285714286,0.5287356321839081,0.284313725490196,0.6680327868852459,0.2920203735144312,0.7705627705627706,0.3363914373088685,0.589041095890411,0.7029702970297029,0.5573770491803278,0.6441717791411042,0.8716814159292036,0.9788135593220338,0.8500421229991575,0.6479750778816199,0.833976833976834,0.4324324324324324,0.5208898534997287,0.8571428571428571,0.3515625,0.8120300751879699,0.5609756097560976,0.824390243902439,0.6330275229357798,0.6156462585034014,0.9826989619377162,0.7178030303030303,0.6923076923076923,0.6625716625716626,0.3592233009708738,0.2871287128712871,0.6221294363256785,0.1164383561643835,0.6358024691358025,0.9601990049751244,1.0,0.2912621359223301,0.7068403908794788,0.6231155778894473,0.580952380952381,0.5490405117270789,0.53515625,0.8102429415627052,0.4432717678100263,0.7028985507246377,0.7306843267108167,0.410958904109589,0.5895953757225434,0.7779761904761905,0.3837209302325581
"{'pca__n_components': 4, 'svc__C': 0.5}",0.4786729857819905,0.6244725738396625,0.9715302491103204,0.927927927927928,0.6132596685082873,0.7736720554272517,0.8403755868544601,0.4736842105263157,0.6286701208981001,0.7176470588235294,0.4118497109826589,0.8214747736093143,0.7204968944099379,0.7058823529411765,0.4235807860262008,0.7155172413793104,0.59,0.6563307493540051,0.5470085470085471,0.8466257668711656,0.6070381231671554,0.8074866310160428,0.7051792828685259,0.757847533632287,0.4661654135338345,0.8913043478260869,0.7540983606557377,0.5034602076124568,0.8429319371727748,0.7672955974842768,0.4520547945205479,0.3252032520325203,0.4206896551724138,0.7470588235294118,0.8155270655270656,0.7804363124560169,0.6941580756013745,0.8598726114649682,0.6136363636363636,0.7331932773109243,0.6744186046511628,0.5357142857142857,0.4655870445344129,0.4923076923076923,0.7354497354497355,0.6369747899159663,0.4875,0.6153846153846154,0.6206896551724138,0.672424061941632,0.6964285714285714,0.6551724137931034,0.2818627450980392,0.6434426229508197,0.4142614601018676,0.8744588744588745,0.4464831804281345,0.589041095890411,0.735973597359736,0.5573770491803278,0.7852760736196319,0.9247787610619468,0.9788135593220338,0.8129738837405224,0.7757009345794392,0.8146718146718147,0.5405405405405406,0.5268583830710798,0.9251700680272108,0.4140625,0.8045112781954887,0.5609756097560976,0.824390243902439,0.6880733944954128,0.782312925170068,0.9826989619377162,0.8049242424242424,0.6923076923076923,0.6494676494676495,0.3592233009708738,0.4092409240924092,0.6377870563674322,0.589041095890411,0.6975308641975309,0.9601990049751244,1.0,0.308252427184466,0.7068403908794788,0.7738693467336684,0.5777777777777777,0.5628997867803838,0.6640625,0.8069599474720945,0.5329815303430079,0.711352657004831,0.7902869757174393,0.4200913242009132,0.6878612716763006,0.7839285714285714,0.4796511627906977
"{'pca__n_components': 4, 'svc__C': 0.6}",0.4739336492890995,0.6244725738396625,0.9715302491103204,0.927927927927928,0.6132596685082873,0.7725173210161663,0.8403755868544601,0.7982456140350878,0.6338514680483592,0.7101604278074867,0.4335260115606936,0.8285899094437258,0.7329192546583851,0.7272727272727273,0.4235807860262008,0.7241379310344828,0.65,0.6589147286821705,0.5470085470085471,0.852760736196319,0.6129032258064516,0.8074866310160428,0.7250996015936255,0.757847533632287,0.4812030075187969,0.8956521739130435,0.7622950819672131,0.4982698961937716,0.8481675392670157,0.779874213836478,0.4589041095890411,0.3387533875338753,0.4206896551724138,0.7588235294117647,0.8155270655270656,0.7818437719915552,0.7079037800687286,0.8662420382165605,0.6212121212121212,0.7317927170868347,0.6821705426356589,0.5357142857142857,0.4615384615384615,0.4961538461538461,0.7142857142857143,0.6436974789915967,0.4875,0.6410256410256411,0.6336206896551724,0.6718284693269804,0.7053571428571429,0.6743295019157088,0.2818627450980392,0.6434426229508197,0.4244482173174873,0.8831168831168831,0.4525993883792049,0.589041095890411,0.7656765676567657,0.5573770491803278,0.7883435582822086,0.9247787610619468,0.9703389830508474,0.8112889637742208,0.8130841121495327,0.8108108108108109,0.5795795795795796,0.5322843190450353,0.9251700680272108,0.4140625,0.7819548872180451,0.5609756097560976,0.824390243902439,0.6880733944954128,0.8129251700680272,0.9792387543252596,0.8068181818181818,0.6923076923076923,0.6552006552006552,0.3592233009708738,0.429042904290429,0.6377870563674322,0.815068493150685,0.7037037037037037,0.9601990049751244,1.0,0.3300970873786408,0.7068403908794788,0.7738693467336684,0.580952380952381,0.5746268656716418,0.69140625,0.7997373604727511,0.5435356200527705,0.7101449275362319,0.8079470198675497,0.4429223744292237,0.6936416184971098,0.7839285714285714,0.4854651162790697
"{'pca__n_components': 4, 'svc__C': 0.8}",0.4798578199052132,0.6329113924050633,0.9715302491103204,0.927927927927928,0.6187845303867403,0.76905311778291,0.8544600938967136,0.8245614035087719,0.6321243523316062,0.6855614973262032,0.4783236994219653,0.8415265200517464,0.7391304347826086,0.7379679144385026,0.4323144104803493,0.7155172413793104,0.7,0.6589147286821705,0.5470085470085471,0.852760736196319,0.5982404692082112,0.8074866310160428,0.7290836653386454,0.7488789237668162,0.4962406015037593,0.9,0.7704918032786885,0.4965397923875432,0.8534031413612565,0.7547169811320755,0.4794520547945205,0.3739837398373983,0.4275862068965517,0.7529411764705882,0.8183760683760684,0.7797325826882477,0.7079037800687286,0.8757961783439491,0.6325757575757576,0.7261904761904762,0.689922480620155,0.5408163265306123,0.4655870445344129,0.4961538461538461,0.7301587301587301,0.653781512605042,0.4875,0.6666666666666666,0.6422413793103449,0.6611078022632519,0.6696428571428571,0.6781609195402298,0.2941176470588235,0.6475409836065574,0.4533106960950764,0.8961038961038961,0.4648318042813456,0.5958904109589042,0.801980198019802,0.5573770491803278,0.7914110429447853,0.9247787610619468,0.9661016949152542,0.8011794439764112,0.8411214953271028,0.7953667953667953,0.5885885885885885,0.5800325556158438,0.9251700680272108,0.4140625,0.7744360902255639,0.5609756097560976,0.824390243902439,0.6880733944954128,0.8469387755102041,0.9688581314878892,0.8087121212121212,0.6923076923076923,0.6445536445536445,0.3592233009708738,0.4521452145214521,0.6503131524008351,0.8287671232876712,0.7283950617283951,0.9601990049751244,1.0,0.3519417475728155,0.7100977198697068,0.7839195979899497,0.5714285714285714,0.5863539445628998,0.7109375,0.7971109652002626,0.5633245382585752,0.711352657004831,0.782560706401766,0.4885844748858447,0.7109826589595376,0.7886904761904762,0.5058139534883721
"{'pca__n_components': 4, 'svc__C': 1}",0.4869668246445497,0.6540084388185654,0.9715302491103204,0.927927927927928,0.6077348066298343,0.7725173210161663,0.8591549295774648,0.8245614035087719,0.6338514680483592,0.6716577540106952,0.5158959537572254,0.8460543337645536,0.7515527950310559,0.7486631016042781,0.4323144104803493,0.7155172413793104,0.76,0.661498708010336,0.5470085470085471,0.8404907975460123,0.6070381231671554,0.8074866310160428,0.7330677290836654,0.7533632286995515,0.5037593984962406,0.9043478260869564,0.7704918032786885,0.5034602076124568,0.837696335078534,0.7484276729559748,0.5068493150684932,0.3875338753387534,0.4344827586206896,0.7411764705882353,0.8368945868945868,0.7748064743138635,0.7044673539518901,0.8821656050955414,0.6363636363636364,0.726890756302521,0.7131782945736435,0.5561224489795918,0.48582995951417,0.5115384615384615,0.7407407407407407,0.6571428571428571,0.4875,0.6837606837606838,0.6422413793103449,0.653960690887433,0.6696428571428571,0.6781609195402298,0.3063725490196078,0.6639344262295082,0.4753820033955857,0.9047619047619048,0.4770642201834862,0.5958904109589042,0.8151815181518152,0.5573770491803278,0.7944785276073619,0.9247787610619468,0.961864406779661,0.7818028643639428,0.8535825545171339,0.7876447876447876,0.6426426426426426,0.5735214324470971,0.9251700680272108,0.421875,0.7744360902255639,0.5528455284552846,0.824390243902439,0.6972477064220184,0.8707482993197279,0.9619377162629758,0.8049242424242424,0.6923076923076923,0.6150696150696151,0.3689320388349514,0.4686468646864686,0.6597077244258872,0.815068493150685,0.7345679012345679,0.9601990049751244,1.0,0.3834951456310679,0.7100977198697068,0.7889447236180904,0.5968253968253968,0.6023454157782516,0.7421875,0.7944845699277742,0.5910290237467019,0.7125603864734299,0.7781456953642384,0.502283105022831,0.653179190751445,0.7904761904761904,0.5436046511627907
"{'pca__n_components': 4, 'svc__C': 2}",0.5,0.6666666666666666,0.9786476868327402,0.927927927927928,0.6132596685082873,0.7771362586605081,0.863849765258216,0.8245614035087719,0.6407599309153713,0.6566844919786097,0.5491329479768786,0.8473479948253557,0.7701863354037267,0.7647058823529411,0.4541484716157205,0.7068965517241379,0.77,0.6795865633074936,0.5470085470085471,0.8282208588957055,0.592375366568915,0.8074866310160428,0.7370517928286853,0.7219730941704036,0.5488721804511278,0.9130434782608696,0.7622950819672131,0.5017301038062284,0.7853403141361257,0.7232704402515723,0.5684931506849316,0.3983739837398374,0.4482758620689655,0.7470588235294118,0.8319088319088319,0.7621393384940183,0.6941580756013745,0.8885350318471338,0.6363636363636364,0.7177871148459384,0.7209302325581395,0.5612244897959183,0.5060728744939271,0.5384615384615384,0.7248677248677249,0.6571428571428571,0.4916666666666666,0.6923076923076923,0.6681034482758621,0.6349017272185825,0.8303571428571429,0.7049808429118773,0.3259803921568627,0.6680327868852459,0.4889643463497453,0.9090909090909092,0.4862385321100917,0.6232876712328768,0.8250825082508251,0.5573770491803278,0.7852760736196319,0.9336283185840708,0.9533898305084746,0.7405223251895535,0.8847352024922118,0.749034749034749,0.6546546546546547,0.5735214324470971,0.9251700680272108,0.453125,0.7744360902255639,0.5691056910569106,0.824390243902439,0.7064220183486238,0.8741496598639455,0.944636678200692,0.803030303030303,0.6837606837606838,0.5896805896805897,0.3834951456310679,0.4851485148514851,0.6409185803757829,0.7808219178082192,0.7530864197530864,0.9601990049751244,0.9965753424657534,0.4126213592233009,0.7263843648208469,0.8190954773869347,0.5936507936507937,0.6183368869936035,0.796875,0.7826657912015759,0.6068601583113457,0.7137681159420289,0.7726269315673289,0.5388127853881278,0.7225433526011561,0.7928571428571428,0.5552325581395349
"{'pca__n_components': 4, 'svc__C': 5}",0.4881516587677725,0.679324894514768,0.9786476868327402,0.927927927927928,0.5911602209944752,0.7782909930715936,0.863849765258216,0.8333333333333334,0.6545768566493955,0.6310160427807486,0.5361271676300579,0.8382923673997412,0.7701863354037267,0.7486631016042781,0.4497816593886463,0.7241379310344828,0.77,0.6847545219638242,0.5470085470085471,0.8282208588957055,0.5865102639296188,0.8074866310160428,0.7330677290836654,0.7443946188340808,0.5413533834586466,0.9130434782608696,0.7540983606557377,0.5017301038062284,0.7801047120418848,0.6981132075471698,0.5821917808219178,0.3956639566395664,0.4620689655172413,0.7823529411764706,0.8098290598290598,0.7487684729064039,0.697594501718213,0.89171974522293,0.6363636363636364,0.7072829131652661,0.7054263565891473,0.5357142857142857,0.4979757085020243,0.55,0.7301587301587301,0.653781512605042,0.5291666666666667,0.6837606837606838,0.6810344827586207,0.6212030970815962,0.8125,0.7203065134099617,0.3333333333333333,0.680327868852459,0.4770797962648557,0.9090909090909092,0.4984709480122324,0.6232876712328768,0.8283828382838284,0.5655737704918032,0.7515337423312883,0.9336283185840708,0.9364406779661016,0.7203032855939343,0.881619937694704,0.7258687258687259,0.6486486486486487,0.5670103092783505,0.9251700680272108,0.4921875,0.7744360902255639,0.5934959349593496,0.8292682926829268,0.6972477064220184,0.8707482993197279,0.9377162629757786,0.7973484848484849,0.6752136752136753,0.588042588042588,0.3786407766990291,0.4851485148514851,0.6221294363256785,0.773972602739726,0.7469135802469136,0.9601990049751244,0.9897260273972602,0.4174757281553398,0.7296416938110749,0.8040201005025126,0.5873015873015873,0.6119402985074627,0.796875,0.7695338148391333,0.5976253298153035,0.7101449275362319,0.7593818984547461,0.54337899543379,0.7109826589595376,0.780952380952381,0.5465116279069767
"{'pca__n_components': 4, 'svc__C': 10}",0.4881516587677725,0.6582278481012658,0.9786476868327402,0.927927927927928,0.5966850828729282,0.7713625866050808,0.863849765258216,0.8333333333333334,0.6563039723661486,0.6224598930481283,0.5187861271676301,0.833117723156533,0.7701863354037267,0.7540106951871658,0.4585152838427948,0.7241379310344828,0.77,0.6692506459948321,0.5470085470085471,0.8282208588957055,0.5835777126099707,0.8074866310160428,0.7330677290836654,0.7354260089686099,0.5263157894736842,0.9130434782608696,0.7377049180327869,0.4965397923875432,0.7591623036649214,0.6981132075471698,0.5753424657534246,0.3983739837398374,0.4482758620689655,0.7705882352941177,0.7962962962962963,0.7375087966220971,0.6907216494845361,0.89171974522293,0.6363636363636364,0.7072829131652661,0.6976744186046512,0.5408163265306123,0.4898785425101215,0.5384615384615384,0.7407407407407407,0.6470588235294118,0.5375,0.6837606837606838,0.6896551724137931,0.6039309112567004,0.7678571428571429,0.7011494252873564,0.3357843137254901,0.680327868852459,0.4753820033955857,0.9090909090909092,0.5168195718654435,0.6164383561643836,0.8316831683168316,0.5655737704918032,0.7392638036809815,0.9336283185840708,0.9322033898305084,0.7211457455770851,0.881619937694704,0.7297297297297297,0.6366366366366366,0.5594139989148128,0.9251700680272108,0.5,0.7819548872180451,0.5934959349593496,0.8195121951219512,0.6880733944954128,0.8673469387755102,0.9204152249134948,0.7973484848484849,0.6581196581196581,0.5945945945945946,0.3786407766990291,0.504950495049505,0.6096033402922756,0.773972602739726,0.7469135802469136,0.9601990049751244,0.9828767123287672,0.4077669902912621,0.7198697068403909,0.8040201005025126,0.5746031746031746,0.6002132196162047,0.7890625,0.7603414313854235,0.5963060686015831,0.7041062801932367,0.7505518763796909,0.5570776255707762,0.7052023121387283,0.7708333333333334,0.5523255813953488
"{'pca__n_components': 10, 'svc__C': 0.1}",0.4798578199052132,0.620253164556962,0.9715302491103204,0.927927927927928,0.6022099447513812,0.7575057736720554,0.8309859154929577,0.3684210526315789,0.616580310880829,0.7358288770053476,0.3656069364161849,0.8072445019404916,0.6335403726708074,0.6310160427807486,0.4235807860262008,0.75,0.44,0.6589147286821705,0.5470085470085471,0.7730061349693251,0.6129032258064516,0.8074866310160428,0.5976095617529881,0.757847533632287,0.3684210526315789,0.8304347826086956,0.7540983606557377,0.4948096885813148,0.8010471204188482,0.8805031446540881,0.4246575342465753,0.2384823848238482,0.4206896551724138,0.7529411764705882,0.6082621082621082,0.7698803659394793,0.7250859106529209,0.8184713375796179,0.5037878787878788,0.7542016806722689,0.5891472868217055,0.4387755102040816,0.4655870445344129,0.4923076923076923,0.7195767195767195,0.5546218487394958,0.4791666666666667,0.5042735042735043,0.6293103448275862,0.6771888028588445,0.6785714285714286,0.6015325670498084,0.284313725490196,0.6680327868852459,0.2937181663837012,0.7705627705627706,0.327217125382263,0.589041095890411,0.7029702970297029,0.5573770491803278,0.7392638036809815,0.8805309734513275,0.9788135593220338,0.8500421229991575,0.6666666666666666,0.833976833976834,0.4624624624624625,0.5236028214867064,0.9183673469387756,0.3984375,0.8120300751879699,0.5609756097560976,0.824390243902439,0.6330275229357798,0.6122448979591837,0.9826989619377162,0.7897727272727273,0.6923076923076923,0.6527436527436528,0.3592233009708738,0.2673267326732673,0.6252609603340292,0.1164383561643835,0.6481481481481481,0.9601990049751244,1.0,0.2888349514563106,0.7068403908794788,0.7085427135678392,0.580952380952381,0.5490405117270789,0.5703125,0.8476690741956664,0.4393139841688654,0.7584541062801933,0.7339955849889624,0.410958904109589,0.6069364161849711,0.8244047619047619,0.3837209302325581
"{'pca__n_components': 10, 'svc__C': 0.5}",0.4798578199052132,0.620253164556962,0.9715302491103204,0.927927927927928,0.6187845303867403,0.7933025404157044,0.8356807511737089,0.8596491228070176,0.6476683937823834,0.7283422459893049,0.4060693641618497,0.8208279430789134,0.7204968944099379,0.7540106951871658,0.4235807860262008,0.8275862068965517,0.62,0.6589147286821705,0.5470085470085471,0.8343558282208589,0.6158357771260997,0.8074866310160428,0.6653386454183267,0.757847533632287,0.4812030075187969,0.8782608695652174,0.7622950819672131,0.5294117647058824,0.8743455497382199,0.8050314465408805,0.5342465753424658,0.3116531165311653,0.4206896551724138,0.7529411764705882,0.6253561253561254,0.7712878254750176,0.7010309278350515,0.8598726114649682,0.5606060606060606,0.7542016806722689,0.7364341085271318,0.5459183673469388,0.4655870445344129,0.4923076923076923,0.798941798941799,0.6386554621848739,0.4833333333333333,0.6153846153846154,0.771551724137931,0.6896962477665277,0.6875,0.7049808429118773,0.284313725490196,0.6639344262295082,0.3820033955857385,0.8874458874458875,0.4495412844036697,0.589041095890411,0.7293729372937293,0.5573770491803278,0.8220858895705522,0.9247787610619468,0.9788135593220338,0.8407750631844987,0.7538940809968847,0.8146718146718147,0.5555555555555556,0.530113944655453,0.9251700680272108,0.4375,0.7894736842105263,0.5609756097560976,0.824390243902439,0.6880733944954128,0.7040816326530612,0.9757785467128028,0.8276515151515151,0.6923076923076923,0.6642096642096642,0.3592233009708738,0.3465346534653465,0.6440501043841336,0.6301369863013698,0.6975308641975309,0.9601990049751244,1.0,0.3106796116504854,0.7068403908794788,0.7638190954773869,0.580952380952381,0.5543710021321961,0.6484375,0.8594878529218647,0.5197889182058048,0.7681159420289855,0.7152317880794702,0.4246575342465753,0.6705202312138728,0.8267857142857142,0.4534883720930232
