params,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"{'pca__n_components': 4, 'svc__gamma': 'scale'}",0.6358381502890174,0.6257309941520468,0.6284722222222222,0.7780821917808219,0.8990578734858681,0.9068877551020408,0.735897435897436,0.971153846153846,0.8836206896551724,0.8682170542635659,0.896774193548387,0.6642599277978339,0.6746666666666666,0.7592592592592593,0.74884437596302,0.6410763751483973,0.7837837837837838,0.8173076923076923,0.6900826446280992,0.8286755771567437,0.9746416758544652,0.6923076923076923,0.7663934426229508,0.6496519721577726,0.6891891891891891,0.9285714285714286,0.8057553956834532,0.8149882903981265,0.8361244019138756,0.9209621993127148,0.905084745762712,0.7466135458167331,0.7304015296367112,0.7816436712657469,0.8025078369905956,0.5958219800181653,0.7815013404825737,0.9195402298850576,0.924924924924925,0.8237986270022883,0.6254728877679697,0.6644518272425249,0.8926746166950597,0.7566101694915254,0.833117723156533,0.6653543307086615,0.6403508771929824,0.86875,0.6330827067669172,0.7984496124031008,0.9785522788203752,0.9566473988439308,0.8614072494669509,0.6622340425531915,0.6381578947368421,0.7246376811594203,0.7324414715719063,0.9536903039073806,0.6603498542274052,0.8076923076923077,0.8252853380158033,0.7203703703703703,0.7107438016528925,0.7953615279672579,0.8919753086419753,0.7920310981535471,0.8133971291866029,0.5568400770712909,0.7576301615798923,0.8079734219269104,0.9519343493552168,0.7049924357034796,0.6820956256358087,0.5308641975308642,0.5322862129144852,0.6787372330547818,0.7993348115299335,0.8106796116504854,0.8740740740740741,0.786235662148071,0.8330341113105925,0.6637554585152838,0.71875,0.4765217391304348,0.9287179487179488,0.6454106280193237,0.8420427553444181,0.8533627342888643,0.768762677484787,0.7291941875825627,0.7408056042031523,0.7915993537964459,0.7829457364341085,0.8851851851851852,0.8761467889908257,0.935093509350935,0.8242280285035629,0.8781979977753059,0.9452054794520548,0.6793943383805134
"{'pca__n_components': 4, 'svc__gamma': 'auto'}",0.6377649325626205,0.6691729323308271,0.5555555555555556,0.8054794520547945,0.8411843876177658,0.8698979591836735,0.7294871794871794,0.971153846153846,0.9116379310344828,0.7344961240310077,0.8451612903225807,0.7472924187725631,0.728,0.8042328042328042,0.7642526964560863,0.6636327661258409,0.7104247104247104,0.8145604395604396,0.6694214876033058,0.8286755771567437,0.9746416758544652,0.6402714932126696,0.7633196721311475,0.6450116009280742,0.6148648648648649,0.9126984126984128,0.7757793764988009,0.8208430913348946,0.8385167464114832,0.8762886597938144,0.905084745762712,0.6932270916334662,0.6907265774378585,0.79124175164967,0.8064263322884012,0.6239782016348774,0.7332439678284183,0.9195402298850576,0.9264264264264264,0.7803203661327232,0.626733921815889,0.6832779623477298,0.8500851788756388,0.7084745762711865,0.7710219922380336,0.6259842519685039,0.6081871345029239,0.85625,0.6165413533834586,0.7054263565891473,0.9785522788203752,0.9595375722543352,0.8742004264392325,0.6436170212765957,0.6381578947368421,0.6770186335403726,0.5540691192865106,0.9319826338639652,0.6034985422740525,0.7857142857142857,0.8059701492537313,0.687037037037037,0.6859504132231405,0.820600272851296,0.8302469135802469,0.7774538386783285,0.8110047846889952,0.5741811175337187,0.7217235188509874,0.7368770764119601,0.9519343493552168,0.6883509833585476,0.6098677517802645,0.5637860082304527,0.5340314136125655,0.6954503249767874,0.6929046563192904,0.8106796116504854,0.7685185185185185,0.7956204379562044,0.8321364452423698,0.5818777292576419,0.5694444444444444,0.4973913043478261,0.8425641025641025,0.7120772946859903,0.8123515439429929,0.7850055126791621,0.7647058823529411,0.7186261558784677,0.7705779334500875,0.8239095315024233,0.8372093023255814,0.9092592592592592,0.8646788990825688,0.935093509350935,0.8028503562945368,0.8270300333704116,0.9191780821917808,0.6359447004608295
"{'pca__n_components': 10, 'svc__gamma': 'scale'}",0.6358381502890174,0.633249791144528,0.6388888888888888,0.7780821917808219,0.917900403768506,0.9068877551020408,0.7294871794871794,0.971153846153846,0.8922413793103449,0.875968992248062,0.8903225806451613,0.6823104693140795,0.6746666666666666,0.7592592592592593,0.74884437596302,0.6410763751483973,0.7915057915057915,0.8173076923076923,0.6942148760330579,0.8286755771567437,0.9746416758544652,0.6900452488687783,0.7622950819672131,0.648491879350348,0.6858108108108109,0.9285714285714286,0.8189448441247003,0.8489461358313818,0.8361244019138756,0.9003436426116839,0.905084745762712,0.747410358565737,0.7265774378585086,0.7864427114577085,0.8025078369905956,0.6012715712988193,0.7788203753351206,0.9195402298850576,0.924924924924925,0.8375286041189931,0.6305170239596469,0.6766334440753046,0.899488926746167,0.7769491525423728,0.8408796895213454,0.6732283464566929,0.6461988304093568,0.88125,0.637593984962406,0.7906976744186046,0.9785522788203752,0.9479768786127168,0.8678038379530917,0.6595744680851063,0.6381578947368421,0.7329192546583851,0.7525083612040134,0.9536903039073806,0.6720116618075802,0.8021978021978022,0.8507462686567164,0.7537037037037037,0.7107438016528925,0.8083219645293315,0.8919753086419753,0.7891156462585034,0.8133971291866029,0.5568400770712909,0.7480550568521843,0.8617940199335549,0.9531066822977726,0.7186081694402421,0.6658189216683622,0.5267489711934157,0.5322862129144852,0.6787372330547818,0.8043237250554324,0.8252427184466019,0.8907407407407407,0.7977059436913452,0.8330341113105925,0.6615720524017468,0.7222222222222222,0.5026086956521739,0.9364102564102564,0.7111111111111111,0.8741092636579573,0.8687982359426681,0.768762677484787,0.7278731836195509,0.7425569176882661,0.789983844911147,0.7829457364341085,0.8925925925925926,0.8761467889908257,0.935093509350935,0.831353919239905,0.8804226918798665,0.9452054794520548,0.6761026991441738
"{'pca__n_components': 10, 'svc__gamma': 'auto'}",0.6377649325626205,0.6716791979949874,0.5451388888888888,0.8356164383561644,0.8398384925975774,0.8737244897959183,0.7269230769230769,0.971153846153846,0.9310344827586208,0.7170542635658915,0.8516129032258064,0.7725631768953068,0.7633333333333333,0.8148148148148148,0.773497688751926,0.6648199445983379,0.7258687258687259,0.8173076923076923,0.6735537190082644,0.8262454434993924,0.9746416758544652,0.6470588235294118,0.7776639344262295,0.6473317865429234,0.5675675675675675,0.9146825396825397,0.7553956834532374,0.8407494145199064,0.8361244019138756,0.9037800687285223,0.905084745762712,0.6932270916334662,0.6869024856596558,0.7984403119376124,0.8040752351097179,0.6494096276112625,0.7319034852546917,0.9195402298850576,0.927927927927928,0.8077803203661327,0.6305170239596469,0.7386489479512736,0.8228279386712095,0.7437288135593221,0.759379042690815,0.6338582677165354,0.5789473684210527,0.85625,0.6511278195488722,0.6976744186046512,0.9785522788203752,0.9595375722543352,0.8720682302771855,0.6382978723404256,0.6447368421052632,0.7039337474120083,0.5239687848383501,0.9247467438494936,0.5874635568513119,0.7857142857142857,0.8086040386303776,0.687037037037037,0.7024793388429752,0.8437926330150068,0.8641975308641975,0.7784256559766763,0.8086124401913876,0.5722543352601156,0.7145421903052065,0.746843853820598,0.9519343493552168,0.6838124054462935,0.6505595116988809,0.5555555555555556,0.5340314136125655,0.6870937790157846,0.6330376940133038,0.7864077669902912,0.7703703703703704,0.8498435870698644,0.8312387791741472,0.5829694323144105,0.5729166666666666,0.5113043478260869,0.7953846153846154,0.7507246376811594,0.7482185273159145,0.7519294377067255,0.7677484787018256,0.7186261558784677,0.7793345008756567,0.8416801292407108,0.8449612403100775,0.9444444444444444,0.8669724770642202,0.935093509350935,0.8266033254156769,0.8097886540600667,0.9287671232876712,0.6603028308097433
"{'pca__n_components': 20, 'svc__gamma': 'scale'}",0.6358381502890174,0.6382623224728488,0.6631944444444444,0.7780821917808219,0.9286675639300136,0.9056122448979592,0.732051282051282,0.971153846153846,0.8943965517241379,0.872093023255814,0.8903225806451613,0.6967509025270758,0.6746666666666666,0.7592592592592593,0.74884437596302,0.6410763751483973,0.8108108108108109,0.8173076923076923,0.7024793388429752,0.8286755771567437,0.9746416758544652,0.6787330316742082,0.7612704918032787,0.648491879350348,0.6621621621621622,0.9285714285714286,0.8201438848920863,0.8571428571428571,0.8385167464114832,0.9175257731958762,0.905084745762712,0.749003984063745,0.7308795411089866,0.785242951409718,0.8025078369905956,0.5940054495912807,0.7761394101876675,0.9195402298850576,0.924924924924925,0.8443935926773455,0.6330390920554855,0.6854928017718716,0.8977853492333902,0.7898305084745763,0.8486416558861578,0.6692913385826772,0.6345029239766082,0.875,0.6210526315789474,0.7984496124031008,0.9785522788203752,0.9479768786127168,0.8699360341151386,0.6595744680851063,0.6381578947368421,0.7329192546583851,0.7536231884057971,0.9522431259044862,0.6676384839650146,0.8131868131868132,0.8498683055311677,0.7592592592592593,0.7107438016528925,0.8171896316507503,0.8950617283950617,0.7881438289601554,0.8133971291866029,0.5568400770712909,0.748653500897666,0.8750830564784053,0.9531066822977726,0.7276853252647504,0.6709053916581892,0.5329218106995884,0.5270506108202443,0.6787372330547818,0.8043237250554324,0.8252427184466019,0.9,0.8018769551616267,0.8330341113105925,0.6604803493449781,0.7222222222222222,0.4956521739130435,0.9374358974358974,0.7468599033816425,0.8812351543942993,0.8732083792723263,0.768762677484787,0.7278731836195509,0.7425569176882661,0.789983844911147,0.7829457364341085,0.8944444444444445,0.8761467889908257,0.935093509350935,0.828978622327791,0.8809788654060067,0.9452054794520548,0.6767610269914417
"{'pca__n_components': 20, 'svc__gamma': 'auto'}",0.6339113680154143,0.6917293233082706,0.5416666666666666,0.8493150684931506,0.8613728129205922,0.8775510204081632,0.732051282051282,0.971153846153846,0.9396551724137931,0.7655038759689923,0.8516129032258064,0.7689530685920578,0.7813333333333333,0.8253968253968254,0.7673343605546995,0.6683814800158291,0.7335907335907336,0.8159340659340659,0.6652892561983471,0.8262454434993924,0.9746416758544652,0.6470588235294118,0.7909836065573771,0.6531322505800464,0.5878378378378378,0.9186507936507936,0.7589928057553957,0.8653395784543325,0.8325358851674641,0.8865979381443299,0.905084745762712,0.6972111553784861,0.6907265774378585,0.8008398320335933,0.8017241379310345,0.6575840145322435,0.7654155495978552,0.9195402298850576,0.927927927927928,0.8077803203661327,0.6317780580075663,0.7630121816168328,0.8330494037478705,0.7627118644067796,0.7981888745148771,0.6535433070866141,0.5935672514619883,0.85625,0.631578947368421,0.6976744186046512,0.9785522788203752,0.9609826589595376,0.8784648187633263,0.6356382978723404,0.6381578947368421,0.6977225672877847,0.5473801560758083,0.9319826338639652,0.5962099125364432,0.7857142857142857,0.8208955223880597,0.7018518518518518,0.71900826446281,0.854706684856753,0.8765432098765432,0.782312925170068,0.8133971291866029,0.5703275529865125,0.720526630760024,0.7674418604651163,0.9519343493552168,0.7049924357034796,0.6531027466937945,0.5555555555555556,0.525305410122164,0.6852367688022284,0.6707317073170732,0.7985436893203883,0.8425925925925926,0.8644421272158499,0.8330341113105925,0.6233624454148472,0.6041666666666666,0.5026086956521739,0.8123076923076923,0.7768115942028986,0.7648456057007126,0.7750826901874311,0.768762677484787,0.7173051519154557,0.7828371278458844,0.8416801292407108,0.8423772609819121,0.9648148148148148,0.8692660550458715,0.935093509350935,0.833729216152019,0.8292547274749722,0.9356164383561644,0.6662277814351547
"{'pca__n_components': 25, 'svc__gamma': 'scale'}",0.6358381502890174,0.6382623224728488,0.6631944444444444,0.7780821917808219,0.930013458950202,0.9056122448979592,0.7282051282051282,0.971153846153846,0.896551724137931,0.875968992248062,0.8903225806451613,0.6967509025270758,0.6746666666666666,0.7592592592592593,0.74884437596302,0.6410763751483973,0.8108108108108109,0.8173076923076923,0.6942148760330579,0.8286755771567437,0.9746416758544652,0.6787330316742082,0.7602459016393442,0.6473317865429234,0.6486486486486487,0.9285714285714286,0.8201438848920863,0.8583138173302107,0.8385167464114832,0.9106529209621992,0.905084745762712,0.747410358565737,0.7280114722753346,0.7870425914817036,0.8025078369905956,0.594913714804723,0.7734584450402144,0.9195402298850576,0.924924924924925,0.8443935926773455,0.6330390920554855,0.6877076411960132,0.8977853492333902,0.783728813559322,0.8525226390685641,0.6614173228346457,0.6345029239766082,0.875,0.6165413533834586,0.7906976744186046,0.9785522788203752,0.9465317919075144,0.8699360341151386,0.6569148936170213,0.6381578947368421,0.7391304347826086,0.7513935340022296,0.9536903039073806,0.6676384839650146,0.8131868131868132,0.8525021949078139,0.7648148148148148,0.7107438016528925,0.819918144611187,0.8981481481481481,0.7871720116618076,0.8133971291866029,0.5568400770712909,0.7468581687612208,0.8730897009966777,0.9531066822977726,0.7337367624810892,0.6744659206510681,0.5308641975308642,0.5340314136125655,0.6778087279480037,0.8070953436807096,0.8203883495145631,0.8944444444444445,0.8008342022940563,0.8330341113105925,0.648471615720524,0.7222222222222222,0.4973913043478261,0.9353846153846154,0.7468599033816425,0.8830166270783848,0.8721058434399118,0.768762677484787,0.726552179656539,0.7443082311733801,0.789983844911147,0.7829457364341085,0.8944444444444445,0.8761467889908257,0.935093509350935,0.831353919239905,0.8815350389321468,0.943835616438356,0.67412771560237
"{'pca__n_components': 25, 'svc__gamma': 'auto'}",0.6339113680154143,0.7017543859649122,0.6284722222222222,0.8465753424657534,0.8721399730820996,0.8826530612244898,0.732051282051282,0.971153846153846,0.9353448275862069,0.7655038759689923,0.8516129032258064,0.7617328519855595,0.7853333333333333,0.8174603174603174,0.7673343605546995,0.667194301543332,0.7297297297297297,0.8173076923076923,0.6694214876033058,0.827460510328068,0.97574421168688,0.6470588235294118,0.7940573770491803,0.6647331786542924,0.6047297297297297,0.9186507936507936,0.7649880095923262,0.8758782201405152,0.8325358851674641,0.8762886597938144,0.905084745762712,0.7083665338645418,0.6983747609942639,0.8026394721055788,0.7970219435736677,0.6557674841053588,0.7694369973190348,0.9195402298850576,0.927927927927928,0.8192219679633868,0.6305170239596469,0.7718715393133998,0.8500851788756388,0.7661016949152543,0.8046571798188874,0.6614173228346457,0.6111111111111112,0.85625,0.6225563909774436,0.6976744186046512,0.9785522788203752,0.9609826589595376,0.8763326226012793,0.6356382978723404,0.631578947368421,0.6894409937888198,0.5607580824972129,0.9363241678726484,0.6005830903790087,0.7857142857142857,0.8279192273924495,0.7277777777777777,0.7272727272727273,0.8519781718963165,0.8703703703703703,0.783284742468416,0.8133971291866029,0.5703275529865125,0.7283064033512866,0.772093023255814,0.9519343493552168,0.7125567322239031,0.6536113936927772,0.5699588477366255,0.5235602094240838,0.6796657381615598,0.6934589800443459,0.8009708737864077,0.8611111111111112,0.8706986444212722,0.8330341113105925,0.6353711790393013,0.6111111111111112,0.5078260869565218,0.8338461538461538,0.7835748792270532,0.7874109263657957,0.782800441014333,0.7677484787018256,0.7159841479524438,0.7828371278458844,0.8384491114701131,0.8475452196382429,0.9611111111111112,0.8692660550458715,0.935093509350935,0.833729216152019,0.8375973303670745,0.9356164383561644,0.6616194865042792
"{'pca__n_components': 42, 'svc__gamma': 'scale'}",0.6358381502890174,0.6407685881370092,0.65625,0.7780821917808219,0.9353970390309556,0.9068877551020408,0.7294871794871794,0.971153846153846,0.896551724137931,0.874031007751938,0.896774193548387,0.7003610108303249,0.6746666666666666,0.7592592592592593,0.74884437596302,0.6410763751483973,0.7992277992277992,0.8173076923076923,0.7024793388429752,0.8286755771567437,0.9746416758544652,0.6855203619909502,0.7612704918032787,0.648491879350348,0.6621621621621622,0.9285714285714286,0.8189448441247003,0.8676814988290398,0.8373205741626795,0.9106529209621992,0.905084745762712,0.7521912350597609,0.7294455066921606,0.7894421115776845,0.8025078369905956,0.594913714804723,0.7788203753351206,0.9195402298850576,0.924924924924925,0.8352402745995423,0.6330390920554855,0.7009966777408638,0.8977853492333902,0.7857627118644068,0.8525226390685641,0.6535433070866141,0.6345029239766082,0.875,0.6180451127819548,0.7984496124031008,0.9785522788203752,0.9465317919075144,0.8720682302771855,0.6542553191489362,0.6381578947368421,0.7349896480331263,0.758082497212932,0.9493487698986977,0.6676384839650146,0.8131868131868132,0.8542581211589113,0.7703703703703704,0.7107438016528925,0.820600272851296,0.8919753086419753,0.7871720116618076,0.8133971291866029,0.5568400770712909,0.7480550568521843,0.8744186046511628,0.9531066822977726,0.7322239031770046,0.6734486266531028,0.522633744855967,0.5305410122164049,0.6778087279480037,0.8082039911308204,0.8203883495145631,0.8981481481481481,0.8029197080291971,0.8330341113105925,0.6462882096069869,0.71875,0.5008695652173913,0.938974358974359,0.7497584541062802,0.8847980997624703,0.8732083792723263,0.768762677484787,0.726552179656539,0.7443082311733801,0.789983844911147,0.7829457364341085,0.8944444444444445,0.8784403669724771,0.935093509350935,0.828978622327791,0.8815350389321468,0.943835616438356,0.6728110599078341
"{'pca__n_components': 42, 'svc__gamma': 'auto'}",0.6358381502890174,0.7259816207184628,0.7465277777777778,0.8438356164383561,0.9084791386271872,0.8877551020408163,0.7333333333333333,0.9759615384615384,0.9288793103448276,0.8003875968992248,0.8580645161290322,0.7328519855595668,0.782,0.8148148148148148,0.765793528505393,0.6751088246933122,0.7451737451737451,0.8173076923076923,0.6983471074380165,0.8286755771567437,0.97574421168688,0.6561085972850679,0.7961065573770492,0.6589327146171694,0.6114864864864865,0.9186507936507936,0.7805755395683454,0.8899297423887588,0.833732057416268,0.8556701030927835,0.905084745762712,0.7019920318725099,0.7079349904397706,0.8008398320335933,0.7938871473354232,0.6575840145322435,0.7841823056300268,0.9195402298850576,0.927927927927928,0.8123569794050344,0.626733921815889,0.7729789590254706,0.8841567291311755,0.7694915254237288,0.8240620957309185,0.6496062992125984,0.6345029239766082,0.85625,0.6390977443609023,0.689922480620155,0.9785522788203752,0.9566473988439308,0.8763326226012793,0.6409574468085106,0.6381578947368421,0.6956521739130435,0.5886287625418061,0.9421128798842258,0.6166180758017493,0.7857142857142857,0.848990342405619,0.7574074074074074,0.7272727272727273,0.8512960436562074,0.8765432098765432,0.7881438289601554,0.8133971291866029,0.5703275529865125,0.75344105326152,0.7933554817275748,0.9519343493552168,0.7155824508320726,0.659206510681587,0.5864197530864198,0.518324607329843,0.6768802228412256,0.7400221729490022,0.8106796116504854,0.8759259259259259,0.862356621480709,0.8330341113105925,0.6703056768558951,0.6493055555555556,0.5008695652173913,0.9015384615384616,0.7739130434782608,0.83729216152019,0.8136714443219405,0.7697768762677485,0.7199471598414795,0.7758318739054291,0.8416801292407108,0.8372093023255814,0.9537037037037036,0.8738532110091743,0.935093509350935,0.828978622327791,0.8587319243604005,0.9356164383561644,0.6695194206714944
